ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
EK_9,0.411,0.803,0.605,0.303,patojenik,EVET
EK_7,0.388,0.786,0.572,0.286,patojenik,EVET
AL_7,-0.306,0.275,-0.451,0.225,benign,hayir
AL_327,-0.274,0.298,-0.403,0.202,benign,hayir
AL_58,-0.27,0.304,-0.393,0.196,benign,hayir
AL_55,-0.266,0.306,-0.387,0.194,benign,hayir
AL_211,-0.265,0.31,-0.381,0.19,benign,hayir
AL_287,-0.26,0.314,-0.372,0.186,benign,hayir
AL_19,-0.267,0.317,-0.366,0.183,benign,hayir
AL_82,-0.247,0.321,-0.358,0.179,benign,hayir
AL_130,-0.22,0.339,-0.323,0.161,benign,hayir
AL_264,0.232,0.661,0.322,0.161,patojenik,hayir
AL_298,-0.216,0.341,-0.317,0.159,benign,hayir
AL_14,-0.211,0.345,-0.31,0.155,benign,hayir
AL_8,-0.208,0.347,-0.306,0.153,benign,hayir
AL_224,-0.214,0.347,-0.307,0.153,benign,hayir
AL_73,-0.207,0.349,-0.302,0.151,benign,hayir
AL_219,-0.205,0.353,-0.294,0.147,benign,hayir
AL_148,-0.194,0.358,-0.285,0.142,benign,hayir
AL_178,-0.19,0.36,-0.279,0.14,benign,hayir
AL_27,-0.447,0.361,-0.278,0.139,benign,EVET
AL_33,-0.447,0.361,-0.278,0.139,benign,EVET
AL_289,0.228,0.634,0.268,0.134,patojenik,hayir
AL_49,-0.184,0.366,-0.268,0.134,benign,hayir
AL_206,-0.236,0.367,-0.265,0.133,benign,hayir
AL_199,-0.181,0.37,-0.26,0.13,benign,hayir
AL_151,-0.172,0.374,-0.252,0.126,benign,hayir
AL_92,-0.228,0.374,-0.252,0.126,benign,hayir
AL_157,-0.171,0.375,-0.251,0.125,benign,hayir
AL_11,-0.168,0.376,-0.248,0.124,benign,hayir
AL_60,0.203,0.623,0.246,0.123,patojenik,hayir
AL_279,-0.17,0.378,-0.244,0.122,benign,hayir
AL_79,-0.167,0.379,-0.241,0.121,benign,hayir
AL_169,-0.164,0.38,-0.24,0.12,benign,hayir
AL_21,-0.174,0.381,-0.238,0.119,benign,hayir
AL_318,0.192,0.619,0.238,0.119,patojenik,hayir
AL_91,-0.158,0.386,-0.229,0.114,benign,hayir
AL_205,-0.163,0.386,-0.229,0.114,benign,hayir
AL_121,-0.154,0.387,-0.226,0.113,benign,hayir
AL_94,-0.154,0.388,-0.223,0.112,benign,hayir
EK_1,-0.15,0.389,-0.221,0.111,benign,hayir
AL_325,0.177,0.611,0.222,0.111,patojenik,hayir
AL_37,-0.258,0.39,-0.22,0.11,benign,hayir
AL_159,-0.179,0.39,-0.221,0.11,benign,hayir
AL_315,-0.15,0.39,-0.22,0.11,benign,hayir
AL_106,-0.15,0.39,-0.22,0.11,benign,hayir
AL_126,-0.173,0.392,-0.216,0.108,benign,hayir
AL_34,-0.255,0.392,-0.217,0.108,benign,hayir
AL_109,-0.146,0.393,-0.214,0.107,benign,hayir
AL_23,-0.156,0.393,-0.214,0.107,benign,hayir
AL_22,0.154,0.605,0.211,0.105,patojenik,hayir
AL_76,-0.142,0.397,-0.205,0.103,benign,hayir
