ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
EK_9,0.454,0.783,0.567,0.283,patojenik,EVET
EK_7,0.443,0.777,0.553,0.277,patojenik,EVET
EK_2,0.418,0.761,0.522,0.261,patojenik,EVET
CAT_2,0.41,0.719,0.439,0.219,patojenik,EVET
EK_3,0.309,0.689,0.378,0.189,patojenik,EVET
EK_5,0.28,0.673,0.347,0.173,patojenik,EVET
AL_186,-0.269,0.333,-0.333,0.167,benign,EVET
AL_168,-0.365,0.333,-0.335,0.167,benign,EVET
EK_6,0.24,0.646,0.292,0.146,patojenik,EVET
EK_4,0.235,0.644,0.287,0.144,patojenik,EVET
AL_138,-0.311,0.358,-0.283,0.142,benign,EVET
AL_242,-0.368,0.359,-0.282,0.141,benign,EVET
AL_209,0.383,0.64,0.28,0.14,patojenik,EVET
AL_193,-0.345,0.367,-0.266,0.133,benign,EVET
AL_327,-0.219,0.371,-0.258,0.129,benign,EVET
AL_258,-0.343,0.372,-0.257,0.128,benign,EVET
AL_245,-0.335,0.372,-0.257,0.128,benign,EVET
AL_79,-0.236,0.374,-0.252,0.126,benign,EVET
AL_238,0.321,0.623,0.246,0.123,patojenik,EVET
AL_246,-0.334,0.378,-0.244,0.122,benign,EVET
AL_264,-0.326,0.378,-0.244,0.122,benign,EVET
AL_135,-0.266,0.378,-0.243,0.122,benign,EVET
AL_249,-0.314,0.379,-0.242,0.121,benign,EVET
AL_206,-0.313,0.379,-0.241,0.121,benign,EVET
AL_241,-0.326,0.38,-0.24,0.12,benign,EVET
AL_308,0.258,0.62,0.239,0.12,patojenik,EVET
CAT_1,-0.2,0.381,-0.239,0.119,benign,EVET
AL_217,0.35,0.619,0.238,0.119,patojenik,EVET
AL_222,-0.312,0.381,-0.237,0.119,benign,EVET
AL_205,0.305,0.617,0.234,0.117,patojenik,EVET
EK_8,0.187,0.617,0.233,0.117,patojenik,hayir
AL_257,0.305,0.617,0.234,0.117,patojenik,EVET
AL_229,0.311,0.616,0.233,0.116,patojenik,EVET
AL_281,0.311,0.616,0.233,0.116,patojenik,EVET
AL_127,-0.201,0.385,-0.231,0.115,benign,EVET
AL_250,0.341,0.615,0.229,0.115,patojenik,EVET
EK_1,0.183,0.614,0.228,0.114,patojenik,hayir
AL_73,-0.187,0.386,-0.228,0.114,benign,hayir
AL_330,-0.246,0.386,-0.228,0.114,benign,EVET
AL_156,-0.248,0.386,-0.227,0.114,benign,EVET
AL_141,0.25,0.613,0.227,0.113,patojenik,EVET
AL_254,0.308,0.612,0.224,0.112,patojenik,EVET
AL_165,0.255,0.612,0.225,0.112,patojenik,EVET
AL_202,-0.282,0.391,-0.218,0.109,benign,EVET
AL_228,0.288,0.609,0.217,0.109,patojenik,EVET
AL_8,-0.179,0.393,-0.213,0.107,benign,hayir
AL_310,0.232,0.607,0.215,0.107,patojenik,EVET
AL_103,-0.186,0.393,-0.214,0.107,benign,hayir
AL_26,-0.175,0.395,-0.21,0.105,benign,hayir
AL_129,-0.23,0.396,-0.208,0.104,benign,EVET
AL_259,0.278,0.604,0.208,0.104,patojenik,EVET
AL_198,0.269,0.604,0.207,0.104,patojenik,EVET
AL_314,0.217,0.602,0.204,0.102,patojenik,EVET
AL_274,-0.272,0.398,-0.205,0.102,benign,EVET
AL_105,-0.227,0.399,-0.203,0.101,benign,EVET
AL_294,0.27,0.6,0.2,0.1,patojenik,EVET
AL_270,0.268,0.598,0.196,0.098,patojenik,EVET
AL_213,-0.257,0.402,-0.197,0.098,benign,EVET
AL_290,-0.268,0.402,-0.196,0.098,benign,EVET
AL_265,0.263,0.598,0.197,0.098,patojenik,EVET
AL_317,-0.207,0.403,-0.194,0.097,benign,EVET
AL_333,0.217,0.596,0.191,0.096,patojenik,EVET
AL_334,0.201,0.595,0.189,0.095,patojenik,EVET
AL_321,0.204,0.595,0.19,0.095,patojenik,EVET
AL_192,0.248,0.595,0.189,0.095,patojenik,EVET
AL_214,0.295,0.594,0.188,0.094,patojenik,EVET
AL_293,0.242,0.593,0.186,0.093,patojenik,EVET
AL_318,0.199,0.593,0.186,0.093,patojenik,EVET
AL_196,-0.246,0.408,-0.184,0.092,benign,EVET
AL_268,0.25,0.592,0.183,0.092,patojenik,EVET
AL_90,0.23,0.592,0.185,0.092,patojenik,EVET
AL_218,0.25,0.592,0.183,0.092,patojenik,EVET
AL_61,-0.151,0.408,-0.184,0.092,benign,hayir
AL_304,-0.196,0.409,-0.182,0.091,benign,EVET
AL_253,-0.257,0.409,-0.183,0.091,benign,EVET
AL_87,0.222,0.59,0.18,0.09,patojenik,EVET
AL_78,0.22,0.59,0.181,0.09,patojenik,EVET
AL_171,0.196,0.59,0.179,0.09,patojenik,EVET
AL_64,-0.146,0.411,-0.178,0.089,benign,hayir
AL_160,-0.154,0.411,-0.178,0.089,benign,hayir
AL_326,0.189,0.589,0.177,0.089,patojenik,hayir
AL_285,0.236,0.588,0.176,0.088,patojenik,EVET
AL_325,0.2,0.588,0.177,0.088,patojenik,EVET
AL_237,-0.236,0.412,-0.175,0.088,benign,EVET
AL_169,-0.152,0.412,-0.175,0.088,benign,hayir
AL_40,-0.143,0.413,-0.174,0.087,benign,hayir
AL_221,-0.241,0.413,-0.175,0.087,benign,EVET
AL_261,0.246,0.587,0.174,0.087,patojenik,EVET
AL_282,0.235,0.586,0.172,0.086,patojenik,EVET
AL_210,0.235,0.586,0.172,0.086,patojenik,EVET
AL_187,0.224,0.584,0.169,0.084,patojenik,EVET
AL_277,-0.217,0.417,-0.165,0.083,benign,EVET
AL_94,-0.155,0.417,-0.166,0.083,benign,hayir
AL_286,0.225,0.582,0.163,0.082,patojenik,EVET
AL_120,0.179,0.581,0.163,0.081,patojenik,hayir
AL_111,0.184,0.58,0.159,0.08,patojenik,hayir
AL_232,0.218,0.58,0.16,0.08,patojenik,EVET
AL_93,0.214,0.58,0.16,0.08,patojenik,EVET
AL_184,-0.163,0.421,-0.159,0.079,benign,hayir
AL_223,0.234,0.578,0.157,0.078,patojenik,EVET
AL_153,-0.17,0.423,-0.154,0.077,benign,hayir
AL_297,0.163,0.577,0.153,0.077,patojenik,hayir
AL_323,-0.129,0.424,-0.151,0.076,benign,hayir
AL_313,-0.169,0.424,-0.153,0.076,benign,hayir
AA_2,-0.122,0.424,-0.151,0.076,benign,hayir
AL_96,0.188,0.576,0.153,0.076,patojenik,hayir
AL_67,-0.125,0.424,-0.152,0.076,benign,hayir
AL_60,-0.128,0.425,-0.15,0.075,benign,hayir
AL_201,-0.195,0.425,-0.149,0.075,benign,EVET
AL_150,0.171,0.574,0.148,0.074,patojenik,hayir
