ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
EK_7,0.325,0.712,0.423,0.212,patojenik,EVET
EK_9,0.242,0.657,0.314,0.157,patojenik,EVET
EK_2,0.231,0.65,0.301,0.15,patojenik,EVET
EK_3,0.206,0.628,0.256,0.128,patojenik,EVET
AL_26,-0.198,0.374,-0.252,0.126,benign,EVET
AL_186,-0.184,0.382,-0.237,0.118,benign,EVET
EK_4,0.184,0.617,0.234,0.117,patojenik,EVET
AL_327,-0.177,0.39,-0.22,0.11,benign,EVET
CAT_2,0.187,0.608,0.217,0.108,patojenik,EVET
EK_6,0.149,0.595,0.189,0.095,patojenik,EVET
AL_287,-0.168,0.408,-0.184,0.092,benign,EVET
AL_94,-0.158,0.408,-0.184,0.092,benign,EVET
AL_73,-0.142,0.413,-0.175,0.087,benign,EVET
AL_318,-0.17,0.414,-0.172,0.086,benign,EVET
AL_136,-0.133,0.418,-0.163,0.082,benign,EVET
AL_305,-0.159,0.42,-0.16,0.08,benign,EVET
AL_178,-0.126,0.423,-0.154,0.077,benign,EVET
AL_289,-0.175,0.426,-0.148,0.074,benign,EVET
AL_251,-0.134,0.426,-0.148,0.074,benign,EVET
AL_14,-0.115,0.427,-0.146,0.073,benign,EVET
AL_79,-0.126,0.427,-0.147,0.073,benign,EVET
EK_5,0.11,0.572,0.143,0.072,patojenik,EVET
AL_64,-0.115,0.429,-0.142,0.071,benign,EVET
AL_91,-0.122,0.429,-0.142,0.071,benign,EVET
AL_157,-0.115,0.43,-0.141,0.07,benign,EVET
AL_40,-0.114,0.43,-0.14,0.07,benign,EVET
AL_215,-0.139,0.431,-0.139,0.069,benign,EVET
AL_192,-0.158,0.432,-0.135,0.068,benign,EVET
AL_184,-0.124,0.432,-0.136,0.068,benign,EVET
AL_213,-0.159,0.432,-0.136,0.068,benign,EVET
AL_96,-0.148,0.433,-0.134,0.067,benign,EVET
AL_124,-0.11,0.433,-0.135,0.067,benign,EVET
AL_232,-0.155,0.433,-0.133,0.067,benign,EVET
AL_270,0.156,0.566,0.133,0.066,patojenik,EVET
AL_268,0.154,0.566,0.131,0.066,patojenik,EVET
AL_258,-0.152,0.435,-0.131,0.065,benign,EVET
AL_253,-0.154,0.435,-0.13,0.065,benign,EVET
AL_257,-0.152,0.435,-0.13,0.065,benign,EVET
AL_17,-0.114,0.436,-0.128,0.064,benign,EVET
AL_224,-0.112,0.437,-0.125,0.063,benign,EVET
AL_273,-0.146,0.438,-0.125,0.062,benign,EVET
AL_172,-0.102,0.438,-0.125,0.062,benign,EVET
AL_217,0.166,0.562,0.125,0.062,patojenik,EVET
AL_82,-0.105,0.439,-0.121,0.061,benign,EVET
AL_264,-0.143,0.439,-0.123,0.061,benign,EVET
AL_321,-0.121,0.439,-0.121,0.061,benign,EVET
AL_296,-0.097,0.439,-0.121,0.061,benign,EVET
AL_8,-0.095,0.44,-0.121,0.06,benign,EVET
AL_221,0.141,0.56,0.121,0.06,patojenik,EVET
AL_229,0.139,0.559,0.119,0.059,patojenik,EVET
AL_294,0.134,0.558,0.115,0.058,patojenik,EVET
AL_325,-0.114,0.442,-0.115,0.058,benign,EVET
AL_333,0.115,0.558,0.116,0.058,patojenik,EVET
EK_8,0.089,0.558,0.116,0.058,patojenik,EVET
AL_127,-0.093,0.443,-0.114,0.057,benign,EVET
AL_285,0.133,0.557,0.114,0.057,patojenik,EVET
AL_194,-0.101,0.443,-0.113,0.057,benign,EVET
AL_16,-0.101,0.443,-0.113,0.057,benign,EVET
AL_190,-0.102,0.443,-0.113,0.057,benign,EVET
AL_262,-0.1,0.444,-0.112,0.056,benign,EVET
AL_293,0.131,0.556,0.112,0.056,patojenik,EVET
AL_228,0.131,0.556,0.113,0.056,patojenik,EVET
AL_249,0.132,0.556,0.113,0.056,patojenik,EVET
AL_246,0.13,0.556,0.112,0.056,patojenik,EVET
AL_329,0.109,0.555,0.11,0.055,patojenik,EVET
AL_210,0.131,0.555,0.111,0.055,patojenik,EVET
AL_300,0.108,0.555,0.109,0.055,patojenik,EVET
AL_43,-0.089,0.445,-0.109,0.055,benign,EVET
AL_24,-0.096,0.446,-0.108,0.054,benign,EVET
AL_245,0.127,0.554,0.109,0.054,patojenik,EVET
AL_238,-0.125,0.446,-0.108,0.054,benign,EVET
AL_115,-0.088,0.446,-0.108,0.054,benign,EVET
AL_334,0.107,0.554,0.108,0.054,patojenik,EVET
AL_7,-0.085,0.446,-0.107,0.054,benign,EVET
AL_187,0.128,0.554,0.108,0.054,patojenik,EVET
AL_308,0.109,0.554,0.109,0.054,patojenik,EVET
AL_166,-0.084,0.448,-0.103,0.052,benign,EVET
AL_13,-0.082,0.448,-0.104,0.052,benign,EVET
AL_226,-0.094,0.448,-0.104,0.052,benign,EVET
AL_218,-0.12,0.448,-0.103,0.052,benign,EVET
AL_193,0.122,0.551,0.102,0.051,patojenik,EVET
AL_266,-0.091,0.449,-0.102,0.051,benign,EVET
AL_260,-0.091,0.449,-0.101,0.051,benign,EVET
AL_314,0.102,0.551,0.102,0.051,patojenik,EVET
AL_261,0.116,0.55,0.1,0.05,patojenik,EVET
AL_118,-0.082,0.45,-0.101,0.05,benign,EVET
AL_151,-0.081,0.45,-0.1,0.05,benign,EVET
AL_103,-0.081,0.45,-0.099,0.05,benign,EVET
AL_139,-0.081,0.45,-0.099,0.05,benign,EVET
AL_183,0.123,0.55,0.1,0.05,patojenik,EVET
AL_196,0.113,0.549,0.097,0.049,patojenik,EVET
AL_278,0.118,0.549,0.099,0.049,patojenik,EVET
AL_188,-0.087,0.451,-0.097,0.049,benign,EVET
AL_19,-0.087,0.451,-0.098,0.049,benign,EVET
AL_265,0.116,0.548,0.096,0.048,patojenik,EVET
AL_259,0.115,0.548,0.097,0.048,patojenik,EVET
AL_87,0.109,0.548,0.097,0.048,patojenik,EVET
AL_225,0.109,0.547,0.093,0.047,patojenik,EVET
AL_15,-0.074,0.453,-0.094,0.047,benign,EVET
AL_298,-0.075,0.453,-0.093,0.047,benign,EVET
AA_1,-0.072,0.453,-0.093,0.047,benign,EVET
AL_254,0.107,0.546,0.092,0.046,patojenik,EVET
AL_274,0.11,0.546,0.091,0.046,patojenik,EVET
AL_9,-0.073,0.454,-0.092,0.046,benign,EVET
AL_322,0.092,0.546,0.092,0.046,patojenik,EVET
AL_142,-0.073,0.455,-0.089,0.045,benign,EVET
AL_189,0.104,0.545,0.089,0.045,patojenik,EVET
AL_331,-0.072,0.455,-0.09,0.045,benign,EVET
AL_330,0.089,0.545,0.089,0.045,patojenik,EVET
AL_241,0.104,0.545,0.089,0.045,patojenik,EVET
AL_100,-0.073,0.455,-0.089,0.045,benign,EVET
AL_78,0.101,0.545,0.09,0.045,patojenik,EVET
AL_76,-0.078,0.455,-0.091,0.045,benign,EVET
AL_90,0.102,0.545,0.09,0.045,patojenik,EVET
AL_214,0.123,0.544,0.089,0.044,patojenik,EVET
AL_160,-0.072,0.456,-0.088,0.044,benign,EVET
AL_154,-0.072,0.456,-0.088,0.044,benign,EVET
AL_306,-0.071,0.456,-0.088,0.044,benign,EVET
AL_310,0.087,0.544,0.087,0.044,patojenik,EVET
AL_10,-0.068,0.457,-0.086,0.043,benign,hayir
AL_132,0.089,0.543,0.086,0.043,patojenik,EVET
AL_35,0.193,0.543,0.087,0.043,patojenik,EVET
AL_22,-0.076,0.457,-0.085,0.043,benign,EVET
AL_290,0.101,0.543,0.086,0.043,patojenik,EVET
AL_230,-0.075,0.458,-0.083,0.042,benign,EVET
AL_222,0.098,0.542,0.083,0.042,patojenik,EVET
AL_326,0.083,0.542,0.083,0.042,patojenik,EVET
AL_175,-0.067,0.459,-0.082,0.041,benign,hayir
AL_286,0.102,0.541,0.082,0.041,patojenik,EVET
AL_37,0.186,0.541,0.081,0.041,patojenik,EVET
AL_181,-0.066,0.459,-0.081,0.041,benign,hayir
AL_42,-0.082,0.459,-0.081,0.041,benign,EVET
CAT_5,-0.064,0.459,-0.082,0.041,benign,hayir
AL_153,0.084,0.541,0.082,0.041,patojenik,EVET
