ozellik,spearman_r,auc,cliff_delta,ayrim_gucu,yon,anlamli
EK_7,0.261,0.702,0.405,0.202,patojenik,EVET
EK_9,0.188,0.646,0.292,0.146,patojenik,hayir
AL_323,0.174,0.632,0.265,0.132,patojenik,hayir
AL_121,0.169,0.625,0.249,0.125,patojenik,hayir
AL_7,0.159,0.619,0.238,0.119,patojenik,hayir
AL_326,0.196,0.616,0.231,0.116,patojenik,EVET
CAT_3,-0.145,0.391,-0.218,0.109,benign,hayir
CAT_5,-0.145,0.391,-0.218,0.109,benign,hayir
CAT_4,-0.145,0.391,-0.218,0.109,benign,hayir
AL_133,0.139,0.603,0.205,0.103,patojenik,hayir
AL_171,-0.14,0.398,-0.205,0.102,benign,hayir
AL_145,0.137,0.601,0.202,0.101,patojenik,hayir
AL_296,0.132,0.6,0.201,0.1,patojenik,hayir
AL_306,0.129,0.598,0.196,0.098,patojenik,hayir
AL_112,0.13,0.596,0.191,0.096,patojenik,hayir
EK_2,0.123,0.595,0.19,0.095,patojenik,hayir
AL_150,0.123,0.591,0.182,0.091,patojenik,hayir
EK_8,0.116,0.59,0.179,0.09,patojenik,hayir
AL_295,0.159,0.587,0.174,0.087,patojenik,hayir
AL_123,0.117,0.586,0.172,0.086,patojenik,hayir
AL_322,0.154,0.586,0.172,0.086,patojenik,hayir
AL_115,0.108,0.579,0.159,0.079,patojenik,hayir
AL_177,0.107,0.578,0.156,0.078,patojenik,hayir
EK_5,0.102,0.578,0.157,0.078,patojenik,hayir
EK_3,0.105,0.577,0.154,0.077,patojenik,hayir
AL_300,-0.1,0.424,-0.152,0.076,benign,hayir
AL_283,0.113,0.575,0.149,0.075,patojenik,hayir
AL_126,0.1,0.574,0.148,0.074,patojenik,hayir
AL_49,0.107,0.574,0.149,0.074,patojenik,hayir
AL_172,0.1,0.574,0.148,0.074,patojenik,hayir
AL_247,0.107,0.571,0.142,0.071,patojenik,hayir
AL_103,0.096,0.571,0.141,0.071,patojenik,hayir
AL_43,-0.1,0.431,-0.139,0.069,benign,hayir
