feature1,feature2,spearman_r,p_value
AL_131,AL_143,1.0,0.0
AL_122,AL_170,1.0,0.0
AL_208,AL_231,1.0,0.0
AL_208,AL_233,1.0,0.0
AL_208,AL_236,1.0,0.0
AL_236,AL_263,1.0,0.0
AL_208,AL_244,1.0,0.0
AL_236,AL_256,1.0,0.0
AL_208,AL_248,1.0,0.0
AL_122,AL_173,1.0,0.0
AL_208,AL_272,1.0,0.0
AL_236,AL_248,1.0,0.0
AL_152,AL_179,1.0,0.0
AL_236,AL_244,1.0,0.0
AL_152,AL_176,1.0,0.0
AL_208,AL_256,1.0,0.0
AL_208,AL_263,1.0,0.0
AL_122,AL_176,1.0,0.0
AL_236,AL_272,1.0,0.0
AL_122,AL_167,1.0,0.0
AL_236,AL_276,1.0,0.0
AL_208,AL_220,1.0,0.0
AL_155,AL_164,1.0,0.0
AL_122,AL_146,1.0,0.0
AL_122,AL_149,1.0,0.0
AL_155,AL_161,1.0,0.0
AL_122,AL_152,1.0,0.0
AL_155,AL_158,1.0,0.0
AL_122,AL_155,1.0,0.0
AL_122,AL_158,1.0,0.0
AL_236,AL_292,1.0,0.0
AL_152,AL_182,1.0,0.0
AL_122,AL_161,1.0,0.0
AL_122,AL_164,1.0,0.0
AL_236,AL_284,1.0,0.0
AL_208,AL_212,1.0,0.0
AL_236,AL_280,1.0,0.0
AL_122,AL_179,1.0,0.0
AL_122,AL_182,1.0,0.0
AL_122,AL_140,1.0,0.0
AL_149,AL_170,1.0,0.0
AL_233,AL_292,1.0,0.0
AL_149,AL_182,1.0,0.0
AL_149,AL_179,1.0,0.0
AL_149,AL_176,1.0,0.0
AL_233,AL_284,1.0,0.0
AL_149,AL_173,1.0,0.0
AL_233,AL_280,1.0,0.0
AL_233,AL_276,1.0,0.0
AL_152,AL_173,1.0,0.0
AL_125,AL_155,1.0,0.0
AL_233,AL_272,1.0,0.0
AL_149,AL_167,1.0,0.0
AL_149,AL_164,1.0,0.0
AL_149,AL_161,1.0,0.0
AL_149,AL_158,1.0,0.0
AL_233,AL_263,1.0,0.0
AL_152,AL_155,1.0,0.0
AL_125,AL_152,1.0,0.0
AL_152,AL_158,1.0,0.0
AL_125,AL_149,1.0,0.0
AL_125,AL_128,1.0,0.0
AL_208,AL_276,1.0,0.0
AL_208,AL_280,1.0,0.0
AL_125,AL_131,1.0,0.0
AL_125,AL_134,1.0,0.0
AL_125,AL_137,1.0,0.0
AL_208,AL_284,1.0,0.0
AL_152,AL_170,1.0,0.0
AL_152,AL_167,1.0,0.0
AL_208,AL_292,1.0,0.0
AL_125,AL_140,1.0,0.0
AL_125,AL_143,1.0,0.0
AL_152,AL_164,1.0,0.0
AL_125,AL_146,1.0,0.0
AL_152,AL_161,1.0,0.0
AL_122,AL_143,1.0,0.0
AL_155,AL_167,1.0,0.0
AL_149,AL_152,1.0,0.0
AL_161,AL_179,1.0,0.0
AL_116,AL_161,1.0,0.0
AL_161,AL_182,1.0,0.0
AL_116,AL_164,1.0,0.0
AL_116,AL_167,1.0,0.0
AL_116,AL_170,1.0,0.0
AL_116,AL_173,1.0,0.0
AL_116,AL_176,1.0,0.0
AL_116,AL_179,1.0,0.0
AL_119,AL_131,1.0,0.0
AL_116,AL_182,1.0,0.0
AL_161,AL_176,1.0,0.0
AL_119,AL_122,1.0,0.0
AL_119,AL_125,1.0,0.0
AL_161,AL_173,1.0,0.0
AL_119,AL_128,1.0,0.0
AL_161,AL_170,1.0,0.0
AL_164,AL_167,1.0,0.0
AL_116,AL_158,1.0,0.0
AL_164,AL_170,1.0,0.0
AL_116,AL_155,1.0,0.0
AL_164,AL_182,1.0,0.0
AL_244,AL_276,1.0,0.0
AL_116,AL_143,1.0,0.0
AL_244,AL_272,1.0,0.0
AL_204,AL_267,1.0,0.0
AL_137,AL_164,1.0,0.0
AL_164,AL_179,1.0,0.0
AL_244,AL_263,1.0,0.0
AL_164,AL_176,1.0,0.0
AL_244,AL_256,1.0,0.0
AL_116,AL_146,1.0,0.0
AL_116,AL_149,1.0,0.0
AL_244,AL_248,1.0,0.0
AL_164,AL_173,1.0,0.0
AL_116,AL_152,1.0,0.0
AL_161,AL_167,1.0,0.0
AL_119,AL_134,1.0,0.0
AL_122,AL_137,1.0,0.0
AL_119,AL_179,1.0,0.0
AL_119,AL_167,1.0,0.0
AL_158,AL_161,1.0,0.0
AL_119,AL_170,1.0,0.0
AL_155,AL_182,1.0,0.0
AL_119,AL_173,1.0,0.0
AL_119,AL_176,1.0,0.0
AL_155,AL_179,1.0,0.0
AL_155,AL_176,1.0,0.0
AL_119,AL_137,1.0,0.0
AL_119,AL_182,1.0,0.0
AL_155,AL_173,1.0,0.0
AL_122,AL_125,1.0,0.0
AL_155,AL_170,1.0,0.0
AL_122,AL_128,1.0,0.0
AL_122,AL_131,1.0,0.0
AL_122,AL_134,1.0,0.0
AL_158,AL_164,1.0,0.0
AL_119,AL_164,1.0,0.0
AL_119,AL_161,1.0,0.0
AL_119,AL_158,1.0,0.0
AL_161,AL_164,1.0,0.0
AL_119,AL_140,1.0,0.0
AL_158,AL_182,1.0,0.0
AL_119,AL_143,1.0,0.0
AL_158,AL_179,1.0,0.0
AL_158,AL_176,1.0,0.0
AL_158,AL_173,1.0,0.0
AL_119,AL_146,1.0,0.0
AL_240,AL_269,1.0,0.0
AL_240,AL_267,1.0,0.0
AL_119,AL_149,1.0,0.0
AL_158,AL_170,1.0,0.0
AL_119,AL_152,1.0,0.0
AL_119,AL_155,1.0,0.0
AL_158,AL_167,1.0,0.0
AL_149,AL_155,1.0,0.0
AL_233,AL_256,1.0,0.0
AL_244,AL_284,1.0,0.0
AL_131,AL_158,1.0,0.0
AL_131,AL_146,1.0,0.0
AL_220,AL_244,1.0,0.0
AL_131,AL_149,1.0,0.0
AL_131,AL_152,1.0,0.0
AL_220,AL_248,1.0,0.0
AL_131,AL_155,1.0,0.0
AL_140,AL_152,1.0,0.0
AL_140,AL_149,1.0,0.0
AL_131,AL_179,1.0,0.0
AL_131,AL_161,1.0,0.0
AL_220,AL_256,1.0,0.0
AL_131,AL_164,1.0,0.0
AL_131,AL_167,1.0,0.0
AL_131,AL_170,1.0,0.0
AL_131,AL_173,1.0,0.0
AL_220,AL_263,1.0,0.0
AL_220,AL_236,1.0,0.0
AL_220,AL_233,1.0,0.0
AL_220,AL_231,1.0,0.0
AL_131,AL_140,1.0,0.0
AL_128,AL_164,1.0,0.0
AL_227,AL_269,1.0,0.0
AL_227,AL_267,1.0,0.0
AL_128,AL_167,1.0,0.0
AL_140,AL_161,1.0,0.0
AL_128,AL_170,1.0,0.0
AL_128,AL_173,1.0,0.0
AL_140,AL_158,1.0,0.0
AL_128,AL_176,1.0,0.0
AL_128,AL_179,1.0,0.0
AL_128,AL_182,1.0,0.0
AL_140,AL_155,1.0,0.0
AL_131,AL_134,1.0,0.0
AL_131,AL_137,1.0,0.0
AL_227,AL_240,1.0,0.0
AL_131,AL_176,1.0,0.0
AL_131,AL_182,1.0,0.0
