feature,spearman_r,p_value
AL_1,-0.3474558624160645,6.263460493928028e-84
AL_2,-0.34581974105132424,4.157277399514532e-83
AL_3,-0.3455232978965156,5.850831115563213e-83
AL_6,-0.3453291674351962,7.316745850182149e-83
AL_4,-0.34407518665479875,3.0893967111501005e-82
AL_5,-0.3435575042126821,5.588360938771275e-82
AL_16,-0.3252232483893948,3.5678683345047506e-73
AL_17,-0.3202741920370447,6.716604468851684e-71
AL_19,-0.31920352354229314,2.058965481071586e-70
AL_24,-0.3174255407648915,1.3096513681612116e-69
AL_23,-0.31564771619652315,8.224906747009505e-69
AL_22,-0.3131225449952387,1.0944745181232373e-67
AL_30,-0.3115551412585772,5.388100981366731e-67
AL_28,-0.31131699672042307,6.858715527169432e-67
AL_38,-0.3111444829235099,8.167805927410095e-67
AL_36,-0.31072444755847933,1.2491164142502827e-66
AL_32,-0.3106897573461053,1.2936800877337163e-66
AL_34,-0.3092430750458896,5.557586314851776e-66
AL_20,-0.307606346487966,2.8629943681659626e-65
AL_25,-0.30428834830945245,7.694004229241649e-64
AL_18,-0.3009024139992008,2.116632341395166e-62
AL_21,-0.29788904855952986,3.895966280943968e-61
AL_215,-0.29529116365127667,4.6671046821151556e-60
AL_216,-0.27323865670623376,2.3929174018656886e-51
AL_287,-0.2637247339037289,7.868412022570878e-48
AL_251,-0.2597764969256586,2.0590950492683568e-46
AL_327,-0.2569730576048967,2.0213749913244866e-45
AL_27,-0.25527822565164787,7.933082727311954e-45
AL_184,-0.24865293903267355,1.5073367656931e-42
AL_29,-0.2485044579440912,1.692425063888729e-42
AL_224,-0.24639299694913042,8.712507858169982e-42
AL_35,-0.24629848285736217,9.372139687127869e-42
AL_260,-0.2451685078486665,2.2373121529566463e-41
AL_188,-0.2433930519379852,8.700799583603839e-41
AL_37,-0.24173626707793808,3.0595580196692014e-40
AL_226,-0.24099735872837447,5.344102614255563e-40
AL_194,-0.240801269960328,6.194621242459573e-40
AL_190,-0.23991887050411903,1.2020614632230213e-39
AL_262,-0.2385654317246681,3.305602307388865e-39
AL_31,-0.2373037633535507,8.439259644904997e-39
AL_266,-0.23681981540912428,1.2072763542588485e-38
AL_211,-0.23584256866837108,2.4816760976487657e-38
AL_255,-0.23561983740466622,2.923269406916364e-38
AL_26,-0.23549204900612386,3.2110079241967125e-38
AL_83,-0.23484239844043622,5.170621432797537e-38
AL_33,-0.2335379538511315,1.3399163634811873e-37
AL_230,-0.2332411953922768,1.662651217936705e-37
AL_283,-0.23254529340567726,2.7546625829625124e-37
AL_219,-0.2325399649822576,2.7653144457034585e-37
AL_214,-0.2323773310618697,3.1108738204963016e-37
AL_296,-0.23217010468624194,3.6139705115131284e-37
AL_252,-0.2313869185864101,6.359932928449114e-37
AL_207,-0.23061744241982945,1.1059472953385035e-36
AL_203,-0.23025030920448813,1.439023008441707e-36
AL_288,-0.22800254761294683,7.140150787248562e-36
AL_243,-0.2273212328569619,1.1563321449407393e-35
AL_275,-0.22674885204596648,1.7316113017257117e-35
AL_291,-0.22646334449675873,2.11711301737453e-35
AL_279,-0.22516532210827742,5.261325221883819e-35
AL_298,-0.22446605598788005,8.571307901054414e-35
AL_239,-0.2244033467324448,8.954048709737494e-35
AL_247,-0.2243511274409542,9.285679815779003e-35
AL_185,-0.22405536955831043,1.1407562684524174e-34
AL_271,-0.22391099341267606,1.2611800607245263e-34
AL_280,-0.22285789564371658,2.616724986531429e-34
AL_195,-0.22285789564371658,2.616724986531429e-34
AL_284,-0.22285789564371658,2.616724986531429e-34
AL_244,-0.22285789564371658,2.616724986531429e-34
AL_212,-0.22285789564371658,2.616724986531429e-34
AL_233,-0.22285789564371658,2.616724986531429e-34
AL_208,-0.22285789564371658,2.616724986531429e-34
AL_236,-0.22285789564371658,2.616724986531429e-34
AL_248,-0.22285789564371658,2.616724986531429e-34
AL_197,-0.22285789564371658,2.616724986531429e-34
AL_220,-0.22285789564371658,2.616724986531429e-34
AL_231,-0.22285789564371658,2.616724986531429e-34
AL_292,-0.22285789564371658,2.616724986531429e-34
AL_191,-0.22285789564371658,2.616724986531429e-34
AL_256,-0.22285789564371658,2.616724986531429e-34
AL_272,-0.22285789564371658,2.616724986531429e-34
AL_276,-0.22285789564371658,2.616724986531429e-34
AL_263,-0.22285789564371658,2.616724986531429e-34
AL_199,-0.22269396421099655,2.930586291696146e-34
AL_235,-0.22258632852853627,3.1567115692388196e-34
AL_227,-0.2217239560173102,5.718071855317892e-34
AL_204,-0.2217239560173102,5.718071855317892e-34
AL_269,-0.2217239560173102,5.718071855317892e-34
AL_240,-0.2217239560173102,5.718071855317892e-34
AL_200,-0.2217239560173102,5.718071855317892e-34
AL_267,-0.2217239560173102,5.718071855317892e-34
AL_306,-0.21906635180358108,3.511751077624061e-33
AL_331,-0.21809881336165154,6.759891795042624e-33
AL_94,-0.21783804462957493,8.060481025974139e-33
AL_79,-0.2177970908928927,8.286171060690225e-33
AL_92,-0.217783351598281,8.363282666388587e-33
AL_77,-0.21541881341554936,4.07959133900705e-32
AL_323,-0.2133365013659215,1.6217102296519589e-31
AL_91,-0.2110294858110374,7.356354226098634e-31
AL_324,-0.20897836128024863,2.780024918879954e-30
AL_307,-0.20897836128024863,2.780024918879954e-30
AL_309,-0.20897836128024863,2.780024918879954e-30
AL_299,-0.20897836128024863,2.780024918879954e-30
AL_320,-0.20897836128024863,2.780024918879954e-30
AL_332,-0.20897836128024863,2.780024918879954e-30
AL_303,-0.20897836128024863,2.780024918879954e-30
AL_316,-0.20897836128024863,2.780024918879954e-30
AL_312,-0.20897836128024863,2.780024918879954e-30
AL_315,-0.20818965486121951,4.6179740965931025e-30
AL_82,-0.20580993216602006,2.1087941298760706e-29
AL_311,-0.20579752579423988,2.125452972965213e-29
AL_302,-0.19663453599359967,6.183850243739182e-27
AL_76,-0.19647248008439872,6.819575499011964e-27
AL_88,-0.19546501848569242,1.2506154720324806e-26
AL_319,-0.19538837701415196,1.30948404092063e-26
AL_136,-0.1943284235158134,2.4690021695227376e-26
AL_217,-0.1934015139734391,4.2861696493537554e-26
AL_223,-0.19310741449612787,5.1029556813517325e-26
AL_234,-0.19206464688794816,9.449906501748366e-26
AL_97,-0.19130923773529676,1.4734318864311676e-25
AL_250,-0.19109399374995245,1.6716596568553338e-25
AL_178,-0.18854145559528154,7.383278765308627e-25
AL_157,-0.18846565651924438,7.713755354177094e-25
AL_85,-0.18671013313670717,2.1156232915620006e-24
AL_14,-0.1857541543059141,3.6494747175962914e-24
AL_286,-0.18521597645059126,4.954181386872033e-24
AL_124,-0.18489046676615678,5.957474584800598e-24
AL_206,-0.1836804760568675,1.1788996199923151e-23
AL_80,-0.18304489576108696,1.6840598453932603e-23
AL_172,-0.18112675110600235,4.901886133750748e-23
AL_282,-0.1797663260649545,1.0383642961643719e-22
AL_222,-0.1787479988421133,1.8141744956119189e-22
AL_127,-0.1776302757780303,3.3342990603781145e-22
AL_186,-0.17734670306116754,3.888570165765523e-22
AL_115,-0.17726488536020998,4.0647931734825705e-22
AL_290,-0.17670626873902956,5.498083753656951e-22
AL_328,-0.17652320747256736,6.068806771577405e-22
AL_7,-0.17645864397187985,6.283761889601629e-22
AL_103,-0.17574501680252047,9.223988131184589e-22
AL_202,-0.1755596741541628,1.018822246550041e-21
AL_289,-0.1754905981814582,1.0572533006817648e-21
AL_151,-0.1746420429727179,1.6641076486514695e-21
AL_166,-0.17460122808562098,1.7007168305066565e-21
AL_89,-0.17419835360414995,2.1076244978763305e-21
AL_118,-0.17400358152455847,2.3375033080652842e-21
AL_241,-0.17382414037090818,2.5711420497841808e-21
AL_8,-0.1730376929628519,3.898824224502771e-21
AL_189,-0.1728243345997845,4.363536030969332e-21
AL_160,-0.17248954356986684,5.205364965346848e-21
AL_100,-0.171872461348282,7.198763544086637e-21
AL_254,-0.17176423149323225,7.619033884357026e-21
AL_196,-0.17145442575056183,8.960824643492209e-21
AL_139,-0.17142349759021555,9.106963910306135e-21
AL_225,-0.1712970028625849,9.72958779018508e-21
AL_121,-0.170381746278472,1.5676501528664543e-20
AL_175,-0.17020488167546377,1.718490131084177e-20
AL_318,-0.16985742593799769,2.0577967239254887e-20
AL_93,-0.16868372713275012,3.77156857467019e-20
AL_181,-0.16802711591393366,5.283193590940481e-20
AL_154,-0.16780943651608324,5.905981348009251e-20
AL_142,-0.16763645913743427,6.452127555023716e-20
AL_109,-0.1675558011462665,6.723565155700955e-20
AL_13,-0.16637111614154887,1.228669943757337e-19
AL_274,-0.16567703062193995,1.7456122987786619e-19
AL_133,-0.16535471259210954,2.0537487481574625e-19
AL_15,-0.16460987638750837,2.9864198282218627e-19
AL_261,-0.16365434084021938,4.815513405008101e-19
AL_169,-0.16323719737819878,5.926980593658777e-19
AL_112,-0.16312447054716908,6.268527584267826e-19
AL_145,-0.16297384417812083,6.755401104992184e-19
AL_265,-0.1629255265818625,6.919349209111788e-19
AL_297,-0.16281268765203025,7.31768213420346e-19
AL_259,-0.16263239574264982,8.00160048626998e-19
AL_98,-0.1620835554924733,1.0496111766699938e-18
AL_205,-0.16184273233536342,1.1819811297299737e-18
AL_148,-0.16175814361244742,1.232281509980433e-18
AL_9,-0.16174075261710016,1.2428819017511158e-18
AL_277,-0.16074779669217756,2.023674191294175e-18
AL_106,-0.1604792771500763,2.3076080163715307e-18
AL_163,-0.1594453000102869,3.817836095687258e-18
AL_278,-0.15927391416211933,4.148776118751504e-18
AL_183,-0.1590366804713769,4.654016269270266e-18
AL_305,-0.15850650063264907,6.0129579204613266e-18
AL_213,-0.15850155476422614,6.027320411729985e-18
AL_130,-0.15777674855444254,8.542914583346896e-18
AL_192,-0.1577729668934863,8.558438808956227e-18
AL_193,-0.15747865061426528,9.856002429490055e-18
AL_281,-0.1569221187695655,1.2861926943785878e-17
AL_198,-0.15621829940714566,1.7984820688767657e-17
AL_95,-0.1561980821263151,1.815844212555173e-17
AL_295,-0.15538678648058651,2.667220628440155e-17
AL_81,-0.1551002414723202,3.0536752457517965e-17
