feature1,feature2,spearman_r
EK_7,EK_9,0.6644
EK_1,EK_2,0.5804
EK_2,EK_7,0.4753
EK_3,EK_7,0.4655
EK_8,EK_9,0.4185
EK_2,EK_9,0.4111
EK_2,EK_3,0.3954
EK_3,EK_9,0.3595
EK_7,EK_8,0.3162
EK_4,EK_7,0.2951
EK_2,EK_8,0.2542
EK_6,EK_7,0.2493
EK_2,EK_6,0.241
EK_3,EK_4,0.2378
EK_2,EK_4,0.2354
EK_4,EK_6,0.2318
EK_4,EK_9,0.2289
EK_6,EK_9,0.2092
EK_3,EK_6,0.209
EK_2,EK_5,0.2045
EK_3,EK_8,0.1882
EK_1,EK_5,0.1763
EK_5,EK_7,0.1763
EK_5,EK_6,0.1383
EK_4,EK_5,0.1294
EK_4,EK_8,0.1273
EK_5,EK_9,0.1264
EK_3,EK_5,0.1262
EK_1,EK_8,0.1209
EK_5,EK_8,0.1183
EK_1,EK_7,0.1116
EK_1,EK_3,0.1108
EK_6,EK_8,0.1081
EK_1,EK_9,0.0848
EK_1,EK_4,0.0758
EK_1,EK_6,0.0719
