panel,column,category,missing_count,missing_pct
MASTER,AL_1,AL,2637,89.96929375639714
MASTER,AL_2,AL,2637,89.96929375639714
MASTER,AL_3,AL,2637,89.96929375639714
MASTER,AL_4,AL,2637,89.96929375639714
MASTER,AL_5,AL,2637,89.96929375639714
MASTER,AL_6,AL,2637,89.96929375639714
MASTER,AL_7,AL,1144,39.03104742408734
MASTER,AL_8,AL,1144,39.03104742408734
MASTER,AL_9,AL,1144,39.03104742408734
MASTER,AL_10,AL,1144,39.03104742408734
MASTER,AL_11,AL,1144,39.03104742408734
MASTER,AL_12,AL,1144,39.03104742408734
MASTER,AL_13,AL,1144,39.03104742408734
MASTER,AL_14,AL,1144,39.03104742408734
MASTER,AL_15,AL,1144,39.03104742408734
MASTER,AL_16,AL,1875,63.97134083930399
MASTER,AL_17,AL,1875,63.97134083930399
MASTER,AL_18,AL,1875,63.97134083930399
MASTER,AL_19,AL,1875,63.97134083930399
MASTER,AL_20,AL,1876,64.00545888775162
MASTER,AL_21,AL,1876,64.00545888775162
MASTER,AL_22,AL,1876,64.00545888775162
MASTER,AL_23,AL,1875,63.97134083930399
MASTER,AL_24,AL,1876,64.00545888775162
MASTER,AL_25,AL,1876,64.00545888775162
MASTER,AL_26,AL,1085,37.01808256567724
MASTER,CAT_1,CAT,1085,37.01808256567724
MASTER,AL_27,AL,2679,91.40225179119754
MASTER,AL_28,AL,2679,91.40225179119754
MASTER,AL_29,AL,2679,91.40225179119754
MASTER,AL_30,AL,2679,91.40225179119754
MASTER,AL_31,AL,2679,91.40225179119754
MASTER,AL_32,AL,2679,91.40225179119754
MASTER,AL_33,AL,2679,91.40225179119754
MASTER,AL_34,AL,2679,91.40225179119754
MASTER,AL_35,AL,2679,91.40225179119754
MASTER,AL_36,AL,2679,91.40225179119754
MASTER,AL_37,AL,2679,91.40225179119754
MASTER,AL_38,AL,2679,91.40225179119754
MASTER,AL_39,AL,1417,48.34527465029
MASTER,AL_40,AL,1417,48.34527465029
MASTER,AL_41,AL,1417,48.34527465029
MASTER,AL_42,AL,1417,48.34527465029
MASTER,AL_43,AL,1417,48.34527465029
MASTER,AL_44,AL,1417,48.34527465029
MASTER,AL_45,AL,1417,48.34527465029
MASTER,AL_46,AL,1417,48.34527465029
MASTER,AL_47,AL,1417,48.34527465029
MASTER,AL_48,AL,1417,48.34527465029
MASTER,AL_49,AL,1417,48.34527465029
MASTER,AL_50,AL,1417,48.34527465029
MASTER,AL_51,AL,1417,48.34527465029
MASTER,AL_52,AL,1417,48.34527465029
MASTER,AL_53,AL,1417,48.34527465029
MASTER,AL_54,AL,1417,48.34527465029
MASTER,AL_55,AL,1417,48.34527465029
MASTER,AL_56,AL,1417,48.34527465029
