panel,feature,label,mean,std,n
MASTER,EK_1,0,5.1755,0.7061,639
MASTER,EK_1,1,5.2924,0.5494,1933
MASTER,EK_2,0,3.2943,3.1144,639
MASTER,EK_2,1,4.851,1.4888,1933
MASTER,EK_3,0,1.8959,3.016,470
MASTER,EK_3,1,3.5242,2.0813,1131
MASTER,EK_4,0,0.7487,0.3947,639
MASTER,EK_4,1,0.9455,0.1812,1933
MASTER,EK_5,0,0.7231,0.3615,639
MASTER,EK_5,1,0.8323,0.2794,1933
MASTER,EK_6,0,0.7696,0.3924,639
MASTER,EK_6,1,0.9508,0.1744,1933
MASTER,EK_7,0,3.8494,3.2843,639
MASTER,EK_7,1,6.6367,2.8109,1933
MASTER,EK_8,0,0.4202,0.5733,639
MASTER,EK_8,1,0.6051,0.2028,1933
MASTER,EK_9,0,5.3105,4.5273,583
MASTER,EK_9,1,8.2093,3.3767,1741
KANSER,EK_1,0,5.2377,0.7141,103
KANSER,EK_1,1,5.5035,0.4824,262
KANSER,EK_2,0,2.7123,3.139,103
KANSER,EK_2,1,5.07,1.5047,262
KANSER,EK_3,0,1.9426,3.2458,89
KANSER,EK_3,1,4.2127,2.0669,170
KANSER,EK_4,0,0.6395,0.4405,103
KANSER,EK_4,1,0.9448,0.1722,262
KANSER,EK_5,0,0.7159,0.3668,103
KANSER,EK_5,1,0.9293,0.1583,262
KANSER,EK_6,0,0.6723,0.4381,102
KANSER,EK_6,1,0.9626,0.1261,262
KANSER,EK_7,0,2.8316,3.126,103
KANSER,EK_7,1,6.4612,2.5811,262
KANSER,EK_8,0,0.3632,0.5665,103
KANSER,EK_8,1,0.6319,0.1404,262
KANSER,EK_9,0,4.0403,4.0698,102
KANSER,EK_9,1,8.64,3.0137,262
PAH,EK_1,0,5.5632,0.6498,57
PAH,EK_1,1,5.6792,0.2762,304
PAH,EK_2,0,3.5769,3.6861,57
PAH,EK_2,1,4.8755,1.8624,304
PAH,EK_3,0,1.7789,3.078,40
PAH,EK_3,1,2.7406,1.8056,154
PAH,EK_4,0,0.8767,0.304,57
PAH,EK_4,1,0.9663,0.1409,304
PAH,EK_5,0,0.7504,0.3268,57
PAH,EK_5,1,0.8587,0.2285,304
PAH,EK_6,0,0.8096,0.3666,57
PAH,EK_6,1,0.9305,0.2251,304
PAH,EK_7,0,4.1595,3.1826,57
PAH,EK_7,1,6.5127,2.8476,304
PAH,EK_8,0,0.3688,0.5808,57
PAH,EK_8,1,0.5899,0.2455,304
PAH,EK_9,0,5.8353,4.1307,57
PAH,EK_9,1,7.9311,3.7197,304
CFTR,EK_1,0,5.5278,0.4574,21
CFTR,EK_1,1,5.4389,0.3383,90
CFTR,EK_2,0,4.3349,1.9142,21
CFTR,EK_2,1,5.214,0.7842,90
CFTR,EK_3,0,2.5059,2.2247,17
CFTR,EK_3,1,3.382,0.8951,45
CFTR,EK_4,0,0.9355,0.2123,21
CFTR,EK_4,1,0.9827,0.0647,90
CFTR,EK_5,0,0.9373,0.1364,21
CFTR,EK_5,1,0.9474,0.1155,90
CFTR,EK_6,0,0.8187,0.3633,21
CFTR,EK_6,1,0.9908,0.0152,90
CFTR,EK_7,0,4.3477,2.9716,21
CFTR,EK_7,1,7.2613,2.0069,90
CFTR,EK_8,0,0.6011,0.176,21
CFTR,EK_8,1,0.6429,0.0968,90
CFTR,EK_9,0,5.0785,3.7991,21
CFTR,EK_9,1,9.0326,2.724,90
