feature,importance,category
EK_7,0.04456997776499536,EK
EK_2,0.03151069097807886,EK
EK_4,0.02419954249597224,EK
EK_9,0.02135975618796515,EK
AL_26,0.020446753382333874,AL
AL_1,0.018151851797335923,AL
AL_16,0.016376153293677895,AL
AL_20,0.01604587191503086,AL
AL_8,0.015753234549070842,AL
AL_215,0.015722304586336916,AL
AL_19,0.015027615880290777,AL
AL_11,0.014969312001928302,AL
EK_6,0.01493576532803739,EK
AL_10,0.014722566279519981,AL
AL_9,0.014423438766203812,AL
AL_7,0.012549711086255135,AL
AL_12,0.012520749737512311,AL
EK_8,0.0123178771330704,EK
AL_23,0.012201991154690433,AL
AL_13,0.011881392824259039,AL
AL_5,0.011765865186960838,AL
AL_22,0.01175879509117599,AL
AL_18,0.011718377940598108,AL
AL_327,0.011318464895370434,AL
AL_21,0.011176431155223765,AL
AL_4,0.010806053857212283,AL
AL_331,0.010281762131411338,AL
EK_1,0.010086397429506698,EK
AL_17,0.010079659273814913,AL
AL_6,0.009854801729543809,AL
AL_15,0.009792903133212683,AL
AL_25,0.009775273591940864,AL
AL_188,0.009714897875570538,AL
AL_14,0.009677278096633872,AL
AL_3,0.009595816925387001,AL
AL_287,0.00919930070672385,AL
AL_296,0.009170519536348586,AL
AL_184,0.008739885803912426,AL
AL_94,0.008429778950914133,AL
AL_319,0.007870083079038973,AL
EK_5,0.007832989129307912,EK
AL_302,0.0077235706557181,AL
AL_24,0.007583870234265901,AL
AL_186,0.0074990091312360455,AL
AL_251,0.007475826129613671,AL
AL_298,0.007197075884243621,AL
AL_224,0.007094514858501725,AL
EK_3,0.006751736364894426,EK
AL_91,0.006682749916255073,AL
AL_311,0.006220142318017546,AL
AL_28,0.006124346993154328,AL
AL_306,0.0060067664695452804,AL
AL_315,0.005863580267270103,AL
AL_79,0.005717552885833437,AL
AL_52,0.005511093186249899,AL
AL_49,0.005377322431994511,AL
AL_38,0.005313349842375831,AL
AL_309,0.005093920197336051,AL
AL_40,0.0048183948077627145,AL
AL_73,0.004792756935111043,AL
AL_323,0.004730299223172416,AL
AL_58,0.004708711961979935,AL
AL_61,0.004705575040172163,AL
AL_266,0.004659394182717794,AL
AL_67,0.00446124321270085,AL
AL_2,0.004433718967005894,AL
AL_34,0.004406840959369319,AL
AL_151,0.004397414102245186,AL
AL_139,0.00426934007720543,AL
AL_216,0.004254586467952295,AL
AL_46,0.004077551423036926,AL
AL_255,0.004062625156881535,AL
AL_64,0.004043988287298994,AL
AL_291,0.003989810225580222,AL
AL_103,0.003934250422266544,AL
AL_70,0.0038871333681781087,AL
AL_181,0.0038096594638578566,AL
AL_55,0.003726433042545758,AL
AL_136,0.0037170607878617336,AL
AL_178,0.003713552196038898,AL
AL_43,0.0036652842817374914,AL
AL_166,0.0036359805881988074,AL
AL_82,0.003578704447749401,AL
AL_279,0.0034238292938363053,AL
AL_275,0.003390583053053245,AL
AL_142,0.0033428989598311225,AL
AL_226,0.003316390954940119,AL
AL_154,0.0032915360135287175,AL
AL_190,0.003270817771913685,AL
AL_124,0.0032080310365420277,AL
AL_85,0.003192136419845057,AL
AL_148,0.00313256453403576,AL
AL_260,0.0031236597636145696,AL
AL_100,0.0030689432072671012,AL
AL_312,0.003046674762600599,AL
AL_115,0.0029844823542301236,AL
AL_230,0.002978929905823798,AL
AL_130,0.002921548670092858,AL
AL_316,0.002915344682174046,AL
AL_175,0.00289208603751801,AL
AL_243,0.0028882477888473885,AL
AL_71,0.0028614584673891993,AL
AL_271,0.0028508884227406166,AL
AL_163,0.0028217850836793905,AL
AL_109,0.002819259469074482,AL
AL_76,0.0027763692714661576,AL
AL_199,0.0027689615963260687,AL
AL_211,0.0026555256886407006,AL
AL_127,0.002649372319006644,AL
AL_32,0.002635770392395373,AL
AL_303,0.0025708733092416796,AL
AL_169,0.002560038106966577,AL
AL_172,0.0025518589030250295,AL
AL_283,0.002546786720958933,AL
AL_219,0.0025185656417449865,AL
AL_97,0.002493738116471274,AL
AL_157,0.0024553390237233037,AL
AL_88,0.0024468234216814973,AL
AL_235,0.0024381886518956555,AL
AL_118,0.0023990007130151314,AL
AL_65,0.002370248241572139,AL
AL_262,0.0023673198586972,AL
AL_145,0.0023480630429673667,AL
AL_36,0.002344961643869387,AL
AL_106,0.002328300209148759,AL
AL_121,0.0023030899025313317,AL
AL_160,0.0022092188788347396,AL
AL_203,0.0021670226121156292,AL
AL_194,0.0021126594197306094,AL
AL_247,0.0020957578201150247,AL
AL_112,0.0020571006508724966,AL
AL_207,0.0019262791235047693,AL
AL_332,0.0019111438290062923,AL
AL_239,0.001902592498084165,AL
AL_68,0.0018994962678230863,AL
AL_56,0.0018756214956056688,AL
AL_133,0.0017651560544467988,AL
AL_328,0.0017490251959565155,AL
AL_324,0.001690661831517252,AL
AL_83,0.001579338290685653,AL
AL_47,0.0015460534324862891,AL
AL_59,0.0012909310875748351,AL
AL_330,0.0012483582409937354,AL
AL_326,0.0012217783252424397,AL
AL_307,0.001035815661714593,AL
AL_185,0.0010087356258791458,AL
AL_297,0.0009792353504018065,AL
AL_205,0.0009681614223779586,AL
AL_252,0.0009593308255710673,AL
AL_313,0.0009227831624542629,AL
AL_250,0.000919123379112752,AL
AL_60,0.0009158970932489252,AL
AL_30,0.0008975072820360868,AL
AL_299,0.0008869905905249636,AL
AL_320,0.000840870742619514,AL
AL_45,0.0008374347468742527,AL
AL_63,0.0008286510875748423,AL
AL_304,0.0008255166438525452,AL
AL_300,0.0007979604978233279,AL
AL_322,0.0007976664009733885,AL
AL_295,0.0007697911482754567,AL
AL_222,0.0007571881768922111,AL
AL_317,0.0007391748459607579,AL
AL_50,0.0007362636566245742,AL
AL_42,0.0007245560250032431,AL
AL_96,0.0006885970679352577,AL
AL_168,0.0006794584587325584,AL
AL_120,0.0006597874369375298,AL
AL_305,0.0006578524904332544,AL
AL_39,0.0006275072489377345,AL
AL_292,0.0006265130962845405,AL
AL_77,0.000625427980550971,AL
AL_248,0.0006214993568394561,AL
AL_129,0.0006209953450658244,AL
AL_318,0.000613655624124077,AL
AL_177,0.0006069063242994734,AL
AL_223,0.0006013911190143391,AL
AL_132,0.0005973522400289322,AL
AL_53,0.0005910012795995267,AL
AL_221,0.0005855035172882036,AL
AL_183,0.0005811799427880083,AL
AL_329,0.000578476979067606,AL
AL_198,0.0005706214442084651,AL
AL_213,0.0005281157805289361,AL
AL_135,0.0005130553961275964,AL
AL_81,0.0005123116796011351,AL
AL_234,0.0005055926089035666,AL
AL_217,0.0005033176426697168,AL
AL_261,0.0005033106338878342,AL
AL_54,0.0004974587006143688,AL
AL_242,0.0004868793958292539,AL
AL_232,0.0004737434881095945,AL
AL_280,0.00047088866596476763,AL
AL_86,0.00046360463137793166,AL
AL_253,0.0004629320328353944,AL
AL_273,0.00046258583561661784,AL
AL_66,0.00046240522275379397,AL
AL_225,0.000458102693349893,AL
AL_189,0.0004565245227776759,AL
AL_268,0.00045266200596077,AL
AL_84,0.00044746025098763394,AL
AL_246,0.0004465476300790592,AL
AL_237,0.0004325328335993684,AL
AL_308,0.00042863003117450443,AL
AL_93,0.00041739264269078936,AL
AL_238,0.0004078535356104403,AL
AL_209,0.00040583596876404116,AL
AL_264,0.00040576650358018537,AL
AL_282,0.00039858155538550875,AL
AL_48,0.00039199840862544675,AL
AL_159,0.0003909382072563509,AL
AL_98,0.00038880098496079193,AL
AL_108,0.0003880982432421329,AL
AL_214,0.0003837644467368559,AL
AL_126,0.0003808565342306298,AL
AL_138,0.0003710192527992116,AL
AL_325,0.0003659593745685692,AL
AL_62,0.00036510564677901913,AL
AL_241,0.00036056217105424546,AL
AL_193,0.00035837221786443963,AL
AL_90,0.0003512545238858771,AL
AL_196,0.0003477087448296917,AL
AL_293,0.00034606814519424947,AL
AL_72,0.0003433564066089417,AL
AL_208,0.00033835455683639754,AL
AL_29,0.0003322568541446212,AL
AL_174,0.000327933797753345,AL
AL_92,0.0003245097445005088,AL
AL_229,0.00032345770206586717,AL
AL_153,0.0003206539286231094,AL
AL_192,0.00031887258445781016,AL
AL_41,0.00031528900659702914,AL
AL_80,0.00031287982816119144,AL
AL_117,0.0003099617474099975,AL
AL_278,0.00030270205932864553,AL
AL_218,0.0002968773114600286,AL
AL_276,0.0002925831708442518,AL
AL_147,0.000287407777208809,AL
AL_257,0.00028006408122258205,AL
AL_310,0.00027911845881938257,AL
AL_37,0.00027615925275243877,AL
AL_265,0.0002724708091290837,AL
AL_57,0.0002648477299039762,AL
AL_201,0.00026443598896843995,AL
AL_277,0.00026225047965209295,AL
AL_281,0.0002584150826212894,AL
AL_272,0.00025818692930486894,AL
AL_95,0.00025697884970326705,AL
AL_228,0.00025609432878707976,AL
AL_74,0.0002549086387979774,AL
AL_69,0.00025289764925124394,AL
AL_290,0.00025182823786920497,AL
AL_259,0.00024890534477952134,AL
AL_249,0.0002451818531767041,AL
AL_75,0.00024362400106859862,AL
AL_27,0.00024136643249799168,AL
AL_146,0.00023911244888844948,AL
AL_111,0.0002317592722828258,AL
AL_114,0.00022097883602486455,AL
AL_227,0.00021513625254893087,AL
AL_105,0.00021417638249885665,AL
AL_99,0.00021019419793872704,AL
AL_123,0.00020967256342392697,AL
AL_202,0.00020957510376029147,AL
AL_212,0.00020905468359859287,AL
AL_171,0.00020811822129834657,AL
AL_206,0.00019962065967599248,AL
AL_285,0.0001985381272499534,AL
AL_294,0.0001911837071265322,AL
AL_144,0.0001873454709587127,AL
AL_102,0.00017929686883467628,AL
AL_195,0.00017879585125622703,AL
AL_119,0.00017425626414133827,AL
AL_334,0.00017354382431597904,AL
AL_101,0.0001695831865773694,AL
AL_78,0.0001662168934419147,AL
AL_333,0.00016504363860785998,AL
AL_321,0.0001587624032444653,AL
AL_284,0.00015590410838447552,AL
AL_165,0.0001547817101324844,AL
AL_156,0.0001534350002188483,AL
AL_245,0.0001519522614768588,AL
AL_286,0.0001493230568739554,AL
AL_116,0.00014841235560830723,AL
AL_141,0.00014838650303474363,AL
AL_314,0.0001467224469011644,AL
AL_220,0.00014669669289368585,AL
AL_33,0.0001451262183176874,AL
AL_187,0.00014145638928407745,AL
AL_150,0.00013862257522115635,AL
AL_270,0.00013758372312873033,AL
AL_301,0.00013066765601672732,AL
AL_240,0.0001288627882821959,AL
AL_51,0.00012365050171840678,AL
AL_162,0.00012289848305472808,AL
AL_258,0.00012167860062625707,AL
AL_161,0.00011952506716790698,AL
AL_122,0.00011869087530995488,AL
AL_44,0.00011767318570634198,AL
AL_256,0.00011618770446737868,AL
AL_173,0.00011213341442139892,AL
AL_182,0.00011045819074783053,AL
AL_274,0.00010880397928235538,AL
AL_254,9.84063241798422e-05,AL
AL_152,9.630123170628698e-05,AL
AL_158,9.544464511202923e-05,AL
AL_155,9.464607949872756e-05,AL
AL_176,8.970828611852479e-05,AL
AL_288,8.401663675920427e-05,AL
AL_125,7.924466924866544e-05,AL
AL_87,7.604839534186184e-05,AL
AL_134,7.404093138661958e-05,AL
AL_89,7.345075646570817e-05,AL
AL_210,7.341286489741353e-05,AL
AL_267,6.904613383092184e-05,AL
AL_128,6.513312974078986e-05,AL
AL_204,6.48746630867167e-05,AL
AL_269,6.433924239677408e-05,AL
AL_31,5.665035327655946e-05,AL
AL_179,5.4696607546745707e-05,AL
AL_35,5.3096458999424766e-05,AL
AL_140,5.138742398712648e-05,AL
AL_113,5.0738992502867945e-05,AL
AL_167,5.064268330897043e-05,AL
AL_137,5.0619130614691776e-05,AL
AL_104,4.864114169981344e-05,AL
AL_143,4.735422822034925e-05,AL
AL_180,4.534063883869739e-05,AL
AL_231,4.342276740325552e-05,AL
AL_107,3.493984592746672e-05,AL
AL_149,2.8256619255105495e-05,AL
AL_200,1.6317771104175544e-05,AL
AL_197,1.5506352618366415e-05,AL
AL_110,1.4140437101896302e-05,AL
AL_164,1.3245136830246436e-05,AL
AL_131,4.304783445205797e-06,AL
AL_289,2.1291524737671304e-06,AL
AL_170,9.298660302783249e-07,AL
AL_244,2.0293258936225865e-19,AL
AL_233,1.8025929615291978e-19,AL
AL_236,8.389330420816643e-20,AL
AL_263,0.0,AL
AL_191,0.0,AL
