column,variance,category
AL_1,0.007822739270752761,AL
AL_2,0.009110074873568966,AL
AL_3,0.008340418207683251,AL
AL_4,0.011155884767418212,AL
AL_5,0.008860813908212714,AL
AL_6,0.009655091350822586,AL
AL_7,0.0017287661975395835,AL
AL_8,0.0017071763351880838,AL
AL_9,0.0016714499781433894,AL
AL_10,0.0017189614589338603,AL
AL_11,0.001970418427067504,AL
AL_12,0.0019270165711926105,AL
AL_13,0.0017809988864352535,AL
AL_14,0.001693089714345173,AL
AL_15,0.001817356871633698,AL
AL_16,0.0026127175439419536,AL
AL_17,0.0027677100695073747,AL
AL_18,0.002652918872328725,AL
AL_19,0.0025884088137109905,AL
AL_20,0.002701919660802311,AL
AL_21,0.003351425064406309,AL
AL_22,0.0029514341944575353,AL
AL_23,0.0028024613475954195,AL
AL_24,0.0025156296508802344,AL
AL_25,0.0028762424664050697,AL
AL_26,0.0030998988390517593,AL
AL_27,0.24221374431092946,AL
AL_28,0.006057708654026162,AL
AL_29,0.24018425072260519,AL
AL_30,0.008112121936298362,AL
AL_31,0.24236304903975647,AL
AL_32,0.005985369241455479,AL
AL_33,0.24416727307201255,AL
AL_34,0.006776220091923966,AL
AL_35,0.24434809211345232,AL
AL_36,0.006485156997601382,AL
AL_37,0.238882858927041,AL
AL_38,0.006732246994425605,AL
AL_39,0.24974142050611026,AL
AL_40,0.0015098019784162225,AL
AL_41,0.011755450996690068,AL
AL_42,0.250163488428337,AL
AL_43,0.0013236778848626546,AL
AL_44,0.010463259413572026,AL
AL_45,0.2406271118797207,AL
AL_46,0.0016458142472353162,AL
AL_47,0.017245182630462763,AL
AL_48,0.24853583440757498,AL
AL_49,0.0013933728310811069,AL
AL_50,0.1453790847960068,AL
AL_51,0.24922153360872668,AL
AL_52,0.0014928380299869394,AL
AL_53,0.1526569482258046,AL
AL_54,0.250163488428337,AL
AL_55,0.0014527192001472912,AL
AL_56,0.0850506530369558,AL
AL_57,0.24711918371487782,AL
AL_58,0.0012511543686186115,AL
AL_59,0.04889722798712349,AL
AL_60,0.2492845528509775,AL
AL_61,0.001216142733016038,AL
AL_62,0.02493948324158356,AL
AL_63,0.2486450798398901,AL
AL_64,0.0012645399470454452,AL
AL_65,0.07929848047804673,AL
AL_66,0.24430668147808976,AL
AL_67,0.0012328792961545877,AL
AL_68,0.14957097208807069,AL
AL_69,0.2483527057873841,AL
AL_70,0.0013778610667854068,AL
AL_71,0.09080956171451782,AL
AL_72,0.24963045940030085,AL
AL_73,0.00134274058888115,AL
AL_74,0.05419739623396002,AL
AL_75,0.24997557388476013,AL
AL_76,0.0019495698514943476,AL
AL_77,0.18243071446732773,AL
AL_78,0.24917365878464282,AL
AL_79,0.0015302290764696274,AL
AL_80,0.0,AL
AL_81,0.2496629354727377,AL
AL_82,0.0015220186361291567,AL
AL_83,0.1888011556203776,AL
AL_84,0.2488531522779423,AL
AL_85,0.0017338475482697468,AL
AL_86,0.245338820853695,AL
AL_87,0.24857522465517634,AL
AL_88,0.0016755355089271124,AL
AL_89,0.10655121639103333,AL
AL_90,0.24794817162392022,AL
AL_91,0.0014900407656854074,AL
AL_92,0.2024431200632574,AL
AL_93,0.24975482183720166,AL
AL_94,0.002775199019998868,AL
AL_95,0.04235225745523229,AL
AL_96,0.2465360560290854,AL
AL_97,0.001699642993459248,AL
AL_98,0.24521552192893076,AL
AL_99,0.25016427169859207,AL
AL_100,0.0015485970661770715,AL
AL_101,0.0,AL
AL_102,0.24908030506953796,AL
AL_103,0.001355404570711621,AL
AL_104,0.0,AL
AL_105,0.24496779329094798,AL
AL_106,0.001403369969305656,AL
AL_107,0.0,AL
AL_108,0.24925976769587357,AL
AL_109,0.0014353545349358827,AL
AL_110,0.0,AL
AL_111,0.24884692596671065,AL
AL_112,0.0014404467093361675,AL
AL_113,0.0,AL
AL_114,0.24968359927932945,AL
AL_115,0.0014203082777837306,AL
AL_116,0.0,AL
AL_117,0.2498179318794181,AL
AL_118,0.0012792948679240272,AL
AL_119,0.0,AL
AL_120,0.24983799411794033,AL
AL_121,0.0014093808932375883,AL
AL_122,0.0,AL
AL_123,0.24739081916664316,AL
AL_124,0.0014814438510211494,AL
AL_125,0.0,AL
AL_126,0.2475626474120923,AL
AL_127,0.001261988050520816,AL
AL_128,0.0,AL
AL_129,0.2426396377654229,AL
AL_130,0.001412622625834948,AL
AL_131,0.0,AL
AL_132,0.24922350685373335,AL
AL_133,0.0014910318749229343,AL
AL_134,0.0,AL
AL_135,0.24712128009570808,AL
AL_136,0.0015560438002600342,AL
AL_137,0.0,AL
AL_138,0.24992862677923242,AL
AL_139,0.0013240488760773717,AL
AL_140,0.0,AL
AL_141,0.24929461660582833,AL
AL_142,0.0014191118450244409,AL
AL_143,0.0,AL
AL_144,0.2487975311663064,AL
AL_145,0.0014450151138412836,AL
AL_146,0.0,AL
AL_147,0.248767405234413,AL
AL_148,0.0014455706466751112,AL
AL_149,0.0,AL
AL_150,0.2478151166513746,AL
AL_151,0.0013612000040822097,AL
AL_152,0.0,AL
AL_153,0.2500047582147178,AL
AL_154,0.0012278846917950486,AL
AL_155,0.0,AL
AL_156,0.2494838884967379,AL
AL_157,0.0015550825701410775,AL
AL_158,0.0,AL
AL_159,0.24987624895338614,AL
AL_160,0.0013880676597265256,AL
AL_161,0.0,AL
AL_162,0.2497626367446909,AL
AL_163,0.0013247108682712416,AL
AL_164,0.0,AL
AL_165,0.24950638779255532,AL
AL_166,0.0013264049959044056,AL
AL_167,0.0,AL
AL_168,0.24896687818416968,AL
AL_169,0.0013533920037819226,AL
AL_170,0.0,AL
AL_171,0.24967019787446476,AL
AL_172,0.0011927252740011065,AL
AL_173,0.0,AL
AL_174,0.24817601670687994,AL
AL_175,0.0016289935300912834,AL
AL_176,0.0,AL
AL_177,0.25015702108568866,AL
AL_178,0.0013095984668950499,AL
AL_179,0.0,AL
AL_180,0.2493218138229131,AL
AL_181,0.001506869653726015,AL
AL_182,0.0,AL
AL_183,0.24792621022656927,AL
AL_184,0.0017725924334287175,AL
AL_185,0.0,AL
AL_186,0.002047205576974578,AL
AL_187,0.24929255859959779,AL
AL_188,0.0017069091020271712,AL
AL_189,0.24719493462084843,AL
AL_190,0.0021700955168723946,AL
AL_191,0.0,AL
AL_192,0.2455555606024949,AL
AL_193,0.24751813072511253,AL
AL_194,0.00164896560955912,AL
AL_195,0.0,AL
AL_196,0.2481487171482712,AL
AL_197,0.0,AL
AL_198,0.2444518855758639,AL
AL_199,0.0018450190857455286,AL
AL_200,0.0009606147934678195,AL
AL_201,0.23257907103008868,AL
AL_202,0.24729771553737134,AL
AL_203,0.0019707752519893948,AL
AL_204,0.0009606147934678195,AL
AL_205,0.24536303950755173,AL
AL_206,0.24790237930697134,AL
AL_207,0.0018809845472783778,AL
AL_208,0.0,AL
AL_209,0.24640394087261266,AL
