panel,veri,rank,feature,importance,in_temiz
MASTER,orijinal,1,EK_7,11.538093000711157,True
MASTER,orijinal,2,CAT_1,5.303291789512194,True
MASTER,orijinal,3,AA_1,4.9867860011484915,True
MASTER,orijinal,4,AL_327,3.4073514930759257,False
MASTER,orijinal,5,AA_2,3.0432074231735484,True
MASTER,orijinal,6,EK_2,2.119397346074907,True
MASTER,orijinal,7,AL_73,2.011088299981074,False
MASTER,orijinal,8,AL_17,1.8702852907731427,False
MASTER,orijinal,9,AL_317,1.7780224572772274,True
MASTER,orijinal,10,AL_26,1.7706512975964113,True
MASTER,orijinal,11,CAT_3,1.739900531277863,True
MASTER,orijinal,12,AL_14,1.586099674859701,True
MASTER,orijinal,13,AL_40,1.5279724579335177,False
MASTER,orijinal,14,EK_9,1.454944425894385,True
MASTER,orijinal,15,AL_305,1.244496851035609,True
MASTER,orijinal,16,EK_6,1.1996518876663482,True
MASTER,orijinal,17,AL_311,1.1669273307094785,False
MASTER,orijinal,18,AL_318,1.164192629415863,True
MASTER,orijinal,19,AL_224,1.1412640938119465,False
MASTER,orijinal,20,CAT_4,1.1053289370922508,True
MASTER,temizlenmiş,1,EK_7,11.799130706095047,True
MASTER,temizlenmiş,2,CAT_1,5.8974698359553654,True
MASTER,temizlenmiş,3,BLOSUM62,4.956699610350212,True
MASTER,temizlenmiş,4,AL_26,3.554242944956246,True
MASTER,temizlenmiş,5,AA_1,3.3849896839577625,True
MASTER,temizlenmiş,6,POP_NFE,2.6626756553836075,True
MASTER,temizlenmiş,7,EK_4,2.579465167024871,True
MASTER,temizlenmiş,8,AL_186,2.3143298400947208,True
MASTER,temizlenmiş,9,AL_14,2.240104147909335,True
MASTER,temizlenmiş,10,AL_296,2.18816807821006,True
MASTER,temizlenmiş,11,AL_21,1.929204579811623,True
MASTER,temizlenmiş,12,AA_2,1.672646467910397,True
MASTER,temizlenmiş,13,EK_2,1.6628704589271692,True
MASTER,temizlenmiş,14,AL_7,1.6131893150116239,True
MASTER,temizlenmiş,15,CAT_3,1.352180918540212,True
MASTER,temizlenmiş,16,AL_304,1.3235038551993115,True
MASTER,temizlenmiş,17,AL_48,1.2813485418172939,True
MASTER,temizlenmiş,18,AL_305,1.2785879964613258,True
MASTER,temizlenmiş,19,AL_318,1.2138288316789043,True
MASTER,temizlenmiş,20,EK_9,1.2044247008284277,True
KANSER,orijinal,1,EK_9,9.163112692540516,True
KANSER,orijinal,2,EK_7,8.429564562101408,True
KANSER,orijinal,3,EK_4,3.369073334118674,True
KANSER,orijinal,4,AL_8,3.244134248254486,True
KANSER,orijinal,5,EK_2,3.0400372091110985,True
KANSER,orijinal,6,AL_16,2.995999508566622,False
KANSER,orijinal,7,EK_5,2.3860686277862726,True
KANSER,orijinal,8,AL_184,2.2431395368046165,True
KANSER,orijinal,9,AL_58,1.834436751282133,False
KANSER,orijinal,10,CAT_3,1.7987314695442995,True
