model,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,CFTR,111,350,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.92979726038631,0.7236842105263157
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_KNNImputer,CFTR,111,351,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.828516666466805,0.5789473684210527
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_KNNImputer_Yuksek_Eksik_Sutun_Silinmis,CFTR,111,350,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.8731375512579684,0.6052631578947368
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Medyan,CFTR,111,351,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.9132559070028516,0.7105263157894737
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Medyan_Yuksek_Eksik_Sutun_Silinmis,CFTR,111,350,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.8865015210379394,0.6710526315789473
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,CFTR,111,350,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.9530548985421776,0.7763157894736842
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Korundu,CFTR,111,351,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.9284637985265325,0.7105263157894737
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Ortalama,CFTR,111,351,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.945260407714446,0.763157894736842
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Korundu,KANSER,388,351,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9181312941049742,0.861111111111111
CatBoost,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,KANSER,388,350,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.9139110036122611,0.8541666666666666
