model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.7768313458262351,0.8412121212121212,0.7329269775115047,0.8784810126582279,0.8069767441860465,0.4729163230428109,0.8995308002480564,0.8164716338320248
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,50,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.9122929890688928,0.8831018518518517
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,50,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.937014765472788,0.7890818858560793
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9024802791219606,0.6578947368421052
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.8126064735945485,0.8693586698337292,0.769016684314455,0.8883495145631068,0.8511627906976744,0.5401100505804198,0.9198470646483864,0.8523181750851725
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,50,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8872793355681792,0.878858024691358
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,PAH,CatBoost_Kategorik_String_Eksik_Veri_Korundu,372,50,297,75,0.8266666666666667,0.9022556390977444,0.5687748783724016,0.8450704225352113,0.967741935483871,0.2048327448440817,0.885784822088316,0.6774193548387096
CatBoost,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,CFTR,CatBoost_Kategorik_String_Eksik_Veri_Korundu_Yuksek_Eksik_Sutun_Silinmis,111,50,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526316,0.2654971220267957,0.9431640105951656,0.7631578947368421
CatBoost,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE,MASTER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.8109028960817717,0.8689492325855962,0.7647498456505963,0.882494004796163,0.8558139534883721,0.5305917806740601,0.9303536507555514,0.8599614871870834
CatBoost,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE,KANSER,CatBoost_Kategorik_String_Eksik_Veri_Korundu,388,50,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.9169617933604997,0.8557098765432098
