model,veri_turu,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,CFTR,111,192,88,23,0.9130434782608695,0.95,0.8083333333333333,0.9047619047619048,1.0,0.6725927091345493,0.9233778026510631,0.736842105263158
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,CFTR,111,192,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8355762766916424,0.5526315789473684
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,CFTR,111,192,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9512068449537894,0.7894736842105263
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Ortalama,CFTR,111,192,88,23,0.8695652173913043,0.926829268292683,0.6634146341463415,0.8636363636363636,1.0,0.4646601886422926,0.9466088114083875,0.7631578947368421
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Medyan,CFTR,111,192,88,23,0.782608695652174,0.8780487804878049,0.43902439024390244,0.8181818181818182,0.9473684210526315,-0.0978231976089037,0.9212420284329088,0.6973684210526315
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,KANSER,388,192,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814815,0.7556542691506458,0.906104926062909,0.8541666666666666
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,KANSER,388,192,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.9035714651839449,0.8603395061728396
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Ortalama,KANSER,388,192,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8784469178378957,0.8557098765432098
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,KANSER,388,192,310,78,0.8333333333333334,0.8807339449541285,0.8020691001366387,0.8727272727272727,0.8888888888888888,0.6044956738991982,0.9129637852434251,0.8541666666666667
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Medyan,KANSER,388,192,310,78,0.8333333333333334,0.8828828828828829,0.796996996996997,0.8596491228070176,0.9074074074074074,0.5973424234499494,0.848917420320628,0.8194444444444445
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,MASTER,2931,192,2344,587,0.82793867120954,0.8807556080283353,0.7859435532496417,0.894484412470024,0.8674418604651163,0.5730177294638592,0.9407830893588582,0.87247815138498
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,MASTER,2931,192,2344,587,0.8262350936967632,0.8808411214953271,0.7800432022570976,0.8849765258215962,0.8767441860465116,0.5601956181252977,0.9239727087728786,0.8474892608502445
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,MASTER,2931,192,2344,587,0.8194207836456558,0.875,0.7749233128834356,0.8875598086124402,0.8627906976744186,0.5507959133996276,0.9245675286786529,0.8552510739149756
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Medyan,MASTER,2931,192,2344,587,0.8143100511073254,0.8703923900118906,0.7715325313422816,0.8905109489051095,0.8511627906976744,0.5453815488522746,0.9286757517302744,0.8608946822692936
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Ortalama,MASTER,2931,192,2344,587,0.8109028960817717,0.8686390532544379,0.7656265175086779,0.8843373493975903,0.8534883720930233,0.53270017176941,0.928514240141643,0.8608502444082359
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,PAH,372,192,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419355,0.4424521595673921,0.9376533833211884,0.7766749379652604
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Ortalama,PAH,372,192,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419355,0.4424521595673921,0.934169500680011,0.760545905707196
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,PAH,372,192,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9245799116075601,0.749379652605459
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_Medyan,PAH,372,192,297,75,0.84,0.9090909090909091,0.6212121212121212,0.8571428571428571,0.967741935483871,0.30124402353524565,0.920991244564539,0.739454094292804
CatBoost,TEMİZLENMİŞ,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,PAH,372,192,297,75,0.8266666666666667,0.9037037037037037,0.5185185185185185,0.8356164383561644,0.9838709677419355,0.14284075309146563,0.9224132463204822,0.7320099255583126
