model,k,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,10,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.7444633730834753,0.8157248157248157,0.6995290745290745,0.8645833333333334,0.772093023255814,0.4102925306461124,0.8740469260540427,0.7702414457117462
CatBoost,10,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.7223168654173765,0.7980173482032218,0.6769378294149624,0.8541114058355438,0.7488372093023256,0.36800394797397906,0.8739964682718682,0.7746926381276849
CatBoost,10,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.797274275979557,0.8561064087061668,0.7565834637190776,0.8916876574307305,0.8232558139534883,0.5197294260731596,0.9032999575213535,0.8364982965486594
CatBoost,10,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.787052810902896,0.847001223990208,0.7484305839838996,0.8940568475452196,0.8046511627906977,0.5075944331633484,0.9221339955316924,0.852718115834691
CatBoost,10,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,16,2344,587,0.797274275979557,0.8567990373044525,0.7549301308971241,0.8877805486284289,0.827906976744186,0.5149672386796037,0.9161240205740212,0.8363205451044289
CatBoost,10,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,16,2344,587,0.8040885860306644,0.8612786489746683,0.7639726578206675,0.8947368421052632,0.8302325581395349,0.5338367097554386,0.9187116016145309,0.8479632647015257
CatBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,15,2344,587,0.7938671209540034,0.8536880290205562,0.7524924294958688,0.889168765743073,0.8209302325581396,0.511503553200399,0.9055616860176212,0.8334320841356836
CatBoost,10,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,15,2344,587,0.8091993185689949,0.8657074340527577,0.7681478346734376,0.8935643564356436,0.8395348837209302,0.5405243457612725,0.9228512323311495,0.8509776329432676
CatBoost,10,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,16,2344,587,0.8109028960817717,0.8657799274486094,0.7729476006119128,0.9017632241813602,0.8325581395348837,0.552632917564202,0.9237933183077988,0.8574433417271514
CatBoost,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,21,2344,587,0.8126064735945485,0.868421052631579,0.7714886328246653,0.8940886699507389,0.8441860465116279,0.5466201682727982,0.9300386556846209,0.857376684935565
CatBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,19,2344,587,0.8091993185689949,0.8660287081339713,0.7673338806942045,0.8916256157635468,0.8418604651162791,0.5382862019141028,0.9206997219556449,0.852140423640942
CatBoost,10,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,10,310,78,0.8205128205128205,0.8703703703703703,0.7893518518518519,0.8703703703703703,0.8703703703703703,0.5787037037037037,0.8773841600270768,0.8244598765432098
CatBoost,10,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,10,310,78,0.8333333333333334,0.8807339449541285,0.8020691001366387,0.8727272727272727,0.8888888888888888,0.6044956738991982,0.9340201593011748,0.8850308641975309
CatBoost,10,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,10,310,78,0.8846153846153846,0.9174311926605505,0.8629709154792113,0.9090909090909091,0.9259259259259259,0.7263320112742305,0.9296026759495388,0.8873456790123457
CatBoost,10,EMBEDDED,KANSER,TEMİZLENMİŞ,388,10,310,78,0.8589743589743589,0.8952380952380953,0.8397759103641457,0.9215686274509803,0.8703703703703703,0.6826928704726409,0.9060884232470096,0.8834876543209877
CatBoost,10,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,16,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.9207557911006395,0.8742283950617284
CatBoost,10,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,16,310,78,0.8205128205128205,0.8703703703703703,0.7893518518518519,0.8703703703703703,0.8703703703703703,0.5787037037037037,0.9009909598999486,0.8580246913580247
