model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.7989778534923339,0.8571428571428571,0.7590311986863711,0.8939393939393939,0.8232558139534883,0.5250387393508136,0.9004120447939383,0.8296252407050808
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,50,310,78,0.8717948717948718,0.912280701754386,0.8370927318295739,0.8666666666666667,0.9629629629629628,0.6897247020435424,0.8918088394182196,0.8425925925925927
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,PAH,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,372,50,297,75,0.84,0.9090909090909092,0.6212121212121212,0.8571428571428571,0.967741935483871,0.3012440235352456,0.9324617084544776,0.7518610421836228
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,CFTR,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,111,50,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526316,0.2654971220267957,0.903065074443598,0.6447368421052632
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.8228279386712095,0.8755980861244019,0.7839528892160471,0.9014778325123152,0.8511627906976744,0.5716220673488845,0.9167153597042872,0.8482002666271664
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,50,310,78,0.8589743589743589,0.9026548672566372,0.8234204568841326,0.864406779661017,0.9444444444444444,0.6570824601984488,0.8979732275919635,0.8688271604938271
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,PAH,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,372,50,297,75,0.88,0.931297709923664,0.7288067496986741,0.8840579710144928,0.9838709677419356,0.5141487187108322,0.9425416496594532,0.792803970223325
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,CFTR,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9237821904617568,0.763157894736842
CatBoost,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.8160136286201022,0.8708133971291866,0.7756433849551259,0.896551724137931,0.8465116279069768,0.5549541346314937,0.9371099557723176,0.8708191379054955
CatBoost,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,50,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8900089488423383,0.8449074074074074
CatBoost,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE,PAH,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,372,50,297,75,0.8533333333333334,0.9172932330827068,0.6351172047766475,0.8591549295774648,0.9838709677419356,0.361592498551287,0.951378505507982,0.8213399503722084
CatBoost,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE,CFTR,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9721254215612204,0.8684210526315789
CatBoost,TEMİZLENMİŞ_COMBINED,EMBEDDED,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,50,2344,587,0.8194207836456558,0.8744075829383886,0.7765977308631338,0.8913043478260869,0.858139534883721,0.5548667704783143,0.9372841140332888,0.8722411494593393
CatBoost,TEMİZLENMİŞ_COMBINED,EMBEDDED,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,50,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.9133325559945316,0.8541666666666667
CatBoost,TEMİZLENMİŞ_COMBINED,EMBEDDED,PAH,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,372,50,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9537742487850978,0.8238213399503722
CatBoost,TEMİZLENMİŞ_COMBINED,EMBEDDED,CFTR,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,111,50,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.9671178044792998,0.8421052631578947
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,86,2344,587,0.8211243611584327,0.8760330578512396,0.7774660702100236,0.8896882494004796,0.8627906976744186,0.5560473499479396,0.9339865699808506,0.8649089023848319
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,78,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814816,0.724581776385293,0.8876284818306582,0.8371913580246915
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE,PAH,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,372,75,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9329855064666228,0.7866004962779156
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + WRAPPER_RFE,CFTR,CATBOOST_Kategorik_String_AL_Sifir_EK_Medyan,111,78,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526316,0.2654971220267957,0.963400791358262,0.8289473684210527
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,MASTER,CATBOOST_Kategorik_String_Eksik_Veri_Korundu,2931,88,2344,587,0.8194207836456558,0.8744075829383886,0.7765977308631338,0.8913043478260869,0.858139534883721,0.5548667704783143,0.9387468263738872,0.8689823729817805
CatBoost,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA + EMBEDDED,KANSER,CATBOOST_Kategorik_String_Eksik_Veri_KNNImputer,388,76,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.9158106992321532,0.8603395061728396
