model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
CatBoost,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.7989778534923339,0.8571428571428571,0.7590311986863711,0.8939393939393939,0.8232558139534883,0.5250387393508136,0.9004120447939383,0.8296252407050808
CatBoost,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8333333333333334,0.8828828828828829,0.796996996996997,0.8596491228070176,0.9074074074074074,0.5973424234499494,0.885308058732979,0.8530092592592593
CatBoost,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,50,297,75,0.84,0.9090909090909092,0.6212121212121212,0.8571428571428571,0.967741935483871,0.3012440235352456,0.9481897549076757,0.8076923076923076
CatBoost,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,50,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526316,0.2654971220267957,0.901915054872526,0.6973684210526316
CatBoost,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.8330494037478705,0.8833333333333333,0.7949600798403194,0.9048780487804878,0.8627906976744186,0.5925769046976637,0.923289393391459,0.8557250777662568
CatBoost,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.8818834801430113,0.8603395061728394
CatBoost,FILTER_MUTUAL_INFO,PAH,TEMİZLENMİŞ,372,50,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.9443056504208164,0.8089330024813896
CatBoost,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9318022729176384,0.75
CatBoost,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.82793867120954,0.8801897983392646,0.7875269233388166,0.8983050847457628,0.8627906976744186,0.576968207363068,0.9387260243125404,0.8723744630425123
CatBoost,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.8894916818588479,0.8703703703703703
CatBoost,WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,50,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.94233141407941,0.8101736972704715
CatBoost,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9464221559585742,0.7763157894736842
CatBoost,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.8194207836456558,0.8744075829383886,0.7765977308631338,0.8913043478260869,0.858139534883721,0.5548667704783143,0.9372841140332888,0.8722411494593393
CatBoost,EMBEDDED,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8846153846153846,0.9203539823008848,0.8555258283597448,0.8813559322033898,0.9629629629629628,0.7217951267331445,0.9072888267459552,0.8703703703703703
CatBoost,EMBEDDED,PAH,TEMİZLENMİŞ,372,50,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.9546900233525922,0.826302729528536
CatBoost,EMBEDDED,CFTR,TEMİZLENMİŞ,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9820196424074537,0.9078947368421052
CatBoost,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,86,2344,587,0.8160136286201022,0.8711217183770883,0.7748465734742584,0.8946078431372549,0.8488372093023255,0.5527884235096777,0.9324377472935336,0.8653680936157606
CatBoost,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,81,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.8917628597002529,0.875
CatBoost,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,74,297,75,0.88,0.9323308270676692,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9453525056441738,0.8039702233250621
CatBoost,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,78,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9512068449537894,0.7894736842105263
CatBoost,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,88,2344,587,0.8194207836456558,0.8744075829383886,0.7765977308631338,0.8913043478260869,0.858139534883721,0.5548667704783143,0.9387468263738872,0.8689823729817805
CatBoost,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,87,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8982146696561198,0.8626543209876543
CatBoost,FILTER_ANOVA + EMBEDDED,PAH,TEMİZLENMİŞ,372,75,297,75,0.8533333333333334,0.9172932330827068,0.6351172047766475,0.8591549295774648,0.9838709677419356,0.361592498551287,0.935608492276465,0.7754342431761786
CatBoost,FILTER_ANOVA + EMBEDDED,CFTR,TEMİZLENMİŞ,111,80,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9523948081773564,0.8026315789473685
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,64,2344,587,0.8262350936967632,0.8794326241134752,0.7842285071786887,0.8942307692307693,0.8651162790697674,0.5697605410389563,0.9287244583394686,0.861783439490446
CatBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,68,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.9049596848792668,0.8734567901234568
