panel,veri_turu,method,n_kolon,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc,baz_combined_mcc,delta_combined,baz_ablasyon_mcc,delta_ablasyon
MASTER,TEMIZ,FILTER_ANOVA,50,2344,587,0.7989778534923339,0.8571428571428571,0.7590311986863711,0.8939393939393939,0.8232558139534883,0.5250387393508136,0.9004120447939383,0.8296252407050808,0.578,-0.053,0.573,-0.048
MASTER,TEMIZ,FILTER_MUTUAL_INFO,50,2344,587,0.8160136286201022,0.8705035971223022,0.7764282691493865,0.8985148514851485,0.8441860465116279,0.5571419271875101,0.8983422342498157,0.8409568952747741,0.578,-0.0209,0.573,-0.0159
MASTER,TEMIZ,EMBEDDED,50,2344,587,0.8194207836456558,0.8744075829383886,0.7765977308631338,0.8913043478260869,0.858139534883721,0.5548667704783143,0.9372841140332888,0.8722411494593393,0.578,-0.0231,0.573,-0.0181
MASTER,TEMIZ,FILTER_ANOVA + EMBEDDED,88,2344,587,0.8194207836456558,0.8744075829383886,0.7765977308631338,0.8913043478260869,0.858139534883721,0.5548667704783143,0.9387468263738871,0.8689823729817805,0.578,-0.0231,0.573,-0.0181
MASTER,TEMIZ,FILTER_MUTUAL_INFO + EMBEDDED,76,2344,587,0.8228279386712095,0.8770685579196218,0.7799976935939572,0.8918269230769231,0.8627906976744186,0.5612900355787733,0.9425317811361902,0.8733520959857798,0.578,-0.0167,0.573,-0.0117
KANSER,TEMIZ,FILTER_ANOVA,50,310,78,0.8333333333333334,0.8828828828828829,0.796996996996997,0.8596491228070176,0.9074074074074074,0.5973424234499494,0.885308058732979,0.8530092592592593,0.725,-0.1277,0.756,-0.1587
KANSER,TEMIZ,FILTER_MUTUAL_INFO,50,310,78,0.8717948717948718,0.9107142857142857,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8756316093135772,0.8595679012345679,0.725,-0.035,0.756,-0.066
KANSER,TEMIZ,EMBEDDED,50,310,78,0.8846153846153846,0.9203539823008849,0.8555258283597448,0.8813559322033898,0.9629629629629629,0.7217951267331445,0.9072888267459551,0.8703703703703703,0.725,-0.0032,0.756,-0.0342
KANSER,TEMIZ,FILTER_ANOVA + EMBEDDED,87,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8982146696561198,0.8626543209876543,0.725,-0.0935,0.756,-0.1245
KANSER,TEMIZ,FILTER_MUTUAL_INFO + EMBEDDED,75,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.9073049939341633,0.8526234567901234,0.725,-0.065,0.756,-0.096
PAH,R095,FILTER_ANOVA,50,297,75,0.8533333333333334,0.9172932330827067,0.6351172047766475,0.8591549295774648,0.9838709677419355,0.36159249855128706,0.9403290535634055,0.7965260545905707,0.518,-0.1564,0.446,-0.0844
PAH,R095,FILTER_MUTUAL_INFO,50,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9246815597591516,0.7307692307692308,0.518,0.0004,0.446,0.0724
PAH,R095,EMBEDDED,50,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9454594304301935,0.8089330024813896,0.518,0.0004,0.446,0.0724
PAH,R095,FILTER_ANOVA + EMBEDDED,77,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9407763121744601,0.8014888337468983,0.518,0.0004,0.446,0.0724
PAH,R095,FILTER_MUTUAL_INFO + EMBEDDED,90,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.9144970001694626,0.7406947890818858,0.518,0.0004,0.446,0.0724
CFTR,TEMIZ,NO_FS,192,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9512068449537894,0.7894736842105263,0.504,-0.0005,0.673,-0.1695
