model,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,CFTR,111,351,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9337904125981253,0.75
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,CFTR,111,351,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.9230041090731058,0.6842105263157895
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,CFTR,111,351,88,23,0.7391304347826086,0.8421052631578947,0.5460526315789473,0.8421052631578947,0.8421052631578947,0.09210526315789473,0.8754786598061703,0.5
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,CFTR,111,351,88,23,0.6086956521739131,0.7272727272727273,0.5174825174825175,0.8571428571428571,0.631578947368421,0.10218988991416098,0.7461142645830496,0.3421052631578947
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,CFTR,111,351,88,23,0.782608695652174,0.8780487804878049,0.43902439024390244,0.8181818181818182,0.9473684210526315,-0.0978231976089037,0.864840175483476,0.5657894736842105
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Medyan,CFTR,111,351,88,23,0.782608695652174,0.8780487804878049,0.43902439024390244,0.8181818181818182,0.9473684210526315,-0.0978231976089037,0.8386023105927676,0.3815789473684211
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,CFTR,111,351,88,23,0.6956521739130435,0.8205128205128205,0.41025641025641024,0.8,0.8421052631578947,-0.1777046633277277,0.7675504983563375,0.42105263157894735
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Ortalama,CFTR,111,351,88,23,0.6956521739130435,0.8205128205128205,0.41025641025641024,0.8,0.8421052631578947,-0.1777046633277277,0.810469478512567,0.3157894736842105
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_KNNImputer,CFTR,111,351,88,23,0.6521739130434783,0.7894736842105263,0.39473684210526316,0.7894736842105263,0.7894736842105263,-0.21052631578947367,0.8223818566401156,0.39473684210526316
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,KANSER,388,351,310,78,0.8076923076923077,0.8648648648648649,0.7657657657657657,0.8421052631578947,0.8888888888888888,0.534717814539874,0.8949188288663565,0.7970679012345679
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_KNNImputer,KANSER,388,351,310,78,0.7692307692307693,0.8333333333333334,0.7291666666666667,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.8873546812300457,0.8047839506172839
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,KANSER,388,351,310,78,0.7307692307692307,0.7878787878787878,0.7097288676236044,0.8666666666666667,0.7222222222222222,0.44114940169152966,0.9021795356156059,0.7862654320987653
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Medyan,KANSER,388,351,310,78,0.7307692307692307,0.8108108108108109,0.6720720720720721,0.7894736842105263,0.8333333333333334,0.346843987809648,0.8833746947290124,0.7523148148148148
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Ortalama,KANSER,388,351,310,78,0.6666666666666666,0.723404255319149,0.6520247083047358,0.85,0.6296296296296297,0.3505426036290943,0.8868045587819897,0.7662037037037037
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,KANSER,388,351,310,78,0.6538461538461539,0.7096774193548387,0.6405529953917051,0.8461538461538461,0.6111111111111112,0.3333333333333333,0.8626246849655335,0.7484567901234568
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,KANSER,388,351,310,78,0.717948717948718,0.8225806451612904,0.5675403225806452,0.7285714285714285,0.9444444444444444,0.23241742005034205,0.8217409012669828,0.7314814814814815
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,KANSER,388,351,310,78,0.5769230769230769,0.6526315789473685,0.5558239861949957,0.7560975609756098,0.5740740740740741,0.14549058035621076,0.7791932346270446,0.5952932098765432
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,KANSER,388,351,310,78,0.717948717948718,0.8253968253968254,0.546031746031746,0.7222222222222222,0.9629629629629629,0.22452510468485445,0.8053624902392909,0.7253086419753086
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,MASTER,2931,351,2344,587,0.7342419080068143,0.8059701492537313,0.6921742638160548,0.8663101604278075,0.7534883720930232,0.4004651376201412,0.8477374469939889,0.7543993482447044
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Medyan,MASTER,2931,351,2344,587,0.7359454855195912,0.8102815177478581,0.6880539241400354,0.8552971576227391,0.7697674418604651,0.3857867098448244,0.8405140954981549,0.7320471041327212
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,MASTER,2931,351,2344,587,0.7427597955706985,0.8187274909963985,0.6879561208647682,0.8461538461538461,0.7930232558139535,0.37987026762842935,0.8430620618528117,0.721189453414309
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,MASTER,2931,351,2344,587,0.7206132879045997,0.7980295566502463,0.6724954413085487,0.8481675392670157,0.7534883720930232,0.35659590535831376,0.8599296309676219,0.7414308991260554
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Ortalama,MASTER,2931,351,2344,587,0.696763202725724,0.7855421686746988,0.6340501541047913,0.815,0.7581395348837209,0.2724679115154471,0.8559011399639883,0.711731595319212
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_KNNImputer,MASTER,2931,351,2344,587,0.6746166950596252,0.7633209417596035,0.6214424872285755,0.8169761273209549,0.7162790697674418,0.2555947729646808,0.844067406994911,0.6961783439490447
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,MASTER,2931,351,2344,587,0.6916524701873935,0.7863046044864227,0.6163938924572786,0.7985611510791367,0.7744186046511627,0.23361013914546627,0.8318691630720381,0.6760479928899423
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,MASTER,2931,351,2344,587,0.6831345826235093,0.7764423076923077,0.6162913292847503,0.8034825870646766,0.7511627906976744,0.23626448922148896,0.8296038298816215,0.6607835876166493
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,MASTER,2931,351,2344,587,0.666098807495741,0.755,0.6154679144385027,0.8162162162162162,0.7023255813953488,0.2468514830607992,0.8119210133162162,0.6515775440675455
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,PAH,372,351,297,75,0.7333333333333333,0.8214285714285714,0.6475563909774436,0.92,0.7419354838709677,0.3486948369707025,0.8534020229327026,0.6501240694789082
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Ortalama,PAH,372,351,297,75,0.7466666666666667,0.8347826086956521,0.6459627329192547,0.9056603773584906,0.7741935483870968,0.32390141998219407,0.8869286491178251,0.7022332506203474
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,PAH,372,351,297,75,0.7466666666666667,0.8376068376068376,0.6309246309246309,0.8909090909090909,0.7903225806451613,0.28143752990555704,0.9100847775014338,0.6687344913151364
