model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,FILTER_ANOVA,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,30,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9586629853046664,0.8157894736842105
TabNet,FILTER_ANOVA,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,30,310,78,0.6666666666666666,0.7346938775510204,0.6432090077410275,0.8181818181818182,0.6666666666666666,0.3102526139970115,0.8151121156021162,0.7260802469135802
TabNet,FILTER_ANOVA,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,30,2344,587,0.7086882453151618,0.7827191867852605,0.6704293608344907,0.8627450980392157,0.7162790697674418,0.3664863424153332,0.8704522110127002,0.745667308546882
TabNet,FILTER_ANOVA,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,30,297,75,0.7866666666666666,0.864406779661017,0.6822033898305084,0.9107142857142856,0.8225806451612904,0.3811854986392357,0.9305895838919136,0.771712158808933
TabNet,FILTER_MUTUAL_INFO,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,30,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526316,0.2654971220267957,0.9336947786882606,0.7105263157894737
TabNet,FILTER_MUTUAL_INFO,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,30,310,78,0.7564102564102564,0.819047619047619,0.7232492997198879,0.8431372549019608,0.7962962962962963,0.4491400463635795,0.8458069790354894,0.7584876543209876
TabNet,FILTER_MUTUAL_INFO,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,30,2344,587,0.7325383304940375,0.8115246098439376,0.6755570263295934,0.8387096774193549,0.786046511627907,0.3549808997193002,0.8816564102041917,0.7638127684787438
TabNet,FILTER_MUTUAL_INFO,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,30,297,75,0.7866666666666666,0.8666666666666667,0.6666666666666667,0.896551724137931,0.8387096774193549,0.3410103851597585,0.9470076234279332,0.7766749379652605
TabNet,WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,30,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9690981318303296,0.868421052631579
TabNet,WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,30,310,78,0.717948717948718,0.7608695652173914,0.7085597826086957,0.9210526315789472,0.6481481481481481,0.4830648074400933,0.9176056105259977,0.8155864197530863
TabNet,WRAPPER_RFE,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,30,2344,587,0.7529812606473595,0.8157560355781448,0.7205395164970827,0.8991596638655462,0.7465116279069768,0.4689805621240266,0.8984146594619784,0.8067249296400534
TabNet,WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,30,297,75,0.7733333333333333,0.8617886178861789,0.6160794941282746,0.8688524590163934,0.8548387096774194,0.2326273925085548,0.8159000734351686,0.5694789081885856
TabNet,EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,30,88,23,0.7391304347826086,0.8333333333333334,0.6166666666666667,0.8823529411764706,0.7894736842105263,0.24987096773334,0.9187425256473648,0.6973684210526316
TabNet,EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,30,310,78,0.717948717948718,0.7755102040816326,0.6980999296270232,0.8636363636363636,0.7037037037037037,0.422288280162599,0.833310637324807,0.7546296296296295
TabNet,EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,30,2344,587,0.7325383304940375,0.807361963190184,0.6850180289488526,0.8545454545454545,0.7651162790697674,0.3805343952706894,0.9031956760816592,0.7856021330173308
TabNet,EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,30,297,75,0.6933333333333334,0.7927927927927928,0.6015246015246015,0.8979591836734694,0.7096774193548387,0.2585526875330495,0.9443419587470908,0.7741935483870968
TabNet,FILTER_ANOVA + WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,53,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8562383308126343,0.7171052631578947
TabNet,FILTER_ANOVA + WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,49,310,78,0.782051282051282,0.8380952380952381,0.7523809523809524,0.8627450980392157,0.8148148148148148,0.5075282523908449,0.940553740787158,0.8780864197530864
TabNet,FILTER_ANOVA + WRAPPER_RFE,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,52,2344,587,0.7512776831345827,0.8170426065162907,0.7143723670879325,0.8858695652173914,0.7581395348837209,0.4490415538997511,0.9005828037846767,0.8101762701821952
TabNet,FILTER_ANOVA + WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,50,297,75,0.6266666666666667,0.7454545454545455,0.5227272727272727,0.8541666666666666,0.6612903225806451,0.0968646186304977,0.9185382192259204,0.6898263027295285
TabNet,FILTER_ANOVA + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,57,88,23,0.7391304347826086,0.8421052631578947,0.5460526315789473,0.8421052631578947,0.8421052631578947,0.0921052631578947,0.9307600742981113,0.6842105263157894
TabNet,FILTER_ANOVA + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,52,310,78,0.7692307692307693,0.8301886792452831,0.7350943396226415,0.8461538461538461,0.8148148148148148,0.4714045207910317,0.9032275173723604,0.8140432098765432
TabNet,FILTER_ANOVA + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,53,2344,587,0.7649063032367973,0.8413793103448276,0.6937159709618874,0.8318181818181818,0.8511627906976744,0.3880456650909478,0.8903054615866233,0.7838098059546734
TabNet,FILTER_ANOVA + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,53,297,75,0.7066666666666667,0.8035714285714286,0.612312030075188,0.9,0.7258064516129032,0.2739745147626948,0.8675392591022857,0.5992555831265508
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,51,88,23,0.6521739130434783,0.7777777777777778,0.4888888888888889,0.8235294117647058,0.7368421052631579,-0.0113577712606063,0.8398946714826518,0.4736842105263157
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,49,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8493774396893088,0.8294753086419754
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,45,2344,587,0.7802385008517888,0.8565072302558399,0.6937081605824653,0.8208955223880597,0.8953488372093024,0.3979617847914276,0.8899521509708138,0.7785439194193453
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,51,297,75,0.68,0.7857142857142857,0.5770676691729323,0.88,0.7096774193548387,0.1992541925546871,0.9180265189601864,0.6885856079404468
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,58,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.8987027256304483,0.6710526315789473
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,55,310,78,0.7564102564102564,0.822429906542056,0.7173374022506198,0.8301886792452831,0.8148148148148148,0.4349751191708486,0.89664085866604,0.8070987654320988
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,55,2344,587,0.7223168654173765,0.7939317319848294,0.6841721323109525,0.8698060941828255,0.7302325581395349,0.3919421648034351,0.8955922894668322,0.777218189897793
TabNet,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,53,297,75,0.6666666666666666,0.7787610619469026,0.5515426931356135,0.8627450980392157,0.7096774193548387,0.1389379403805375,0.8348882950214144,0.586848635235732
TabNet,WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,55,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.8953285605526822,0.6578947368421052
TabNet,WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,53,310,78,0.7435897435897436,0.8148148148148148,0.6990740740740741,0.8148148148148148,0.8148148148148148,0.3981481481481481,0.8730288203814787,0.7631172839506173
TabNet,WRAPPER_RFE + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,56,2344,587,0.7342419080068143,0.8015267175572519,0.6997324309435744,0.8848314606741573,0.7325581395348837,0.4271234043782015,0.9031235174512982,0.800414753369871
TabNet,WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,55,297,75,0.64,0.7476635514018691,0.5598782873288415,0.8888888888888888,0.6451612903225806,0.2013190579900677,0.8693383330797548,0.6674937965260547
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,77,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.9243507618048,0.6973684210526316
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,70,310,78,0.782051282051282,0.8440366972477065,0.741167284794066,0.8363636363636363,0.8518518518518519,0.482659336524166,0.8670351984638953,0.779320987654321
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,73,2344,587,0.727427597955707,0.8009950248756219,0.6842812962215947,0.8609625668449198,0.7488372093023256,0.3844563501110821,0.8724480152344589,0.7570582135979855
TabNet,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,70,297,75,0.64,0.7567567567567568,0.5322245322245323,0.8571428571428571,0.6774193548387096,0.1105263397087845,0.8659343392742268,0.575682382133995
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,76,88,23,0.9565217391304348,0.9743589743589745,0.9157509157509156,0.95,1.0,0.8440971508067066,0.8632768601503326,0.75
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,71,310,78,0.8076923076923077,0.8484848484848485,0.7926634768740032,0.9333333333333332,0.7777777777777778,0.6098241729265262,0.849755129740563,0.7924382716049382
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,70,2344,587,0.737649063032368,0.8162291169451074,0.678947891805887,0.8382352941176471,0.7953488372093023,0.3605123316430241,0.8726389352238195,0.7625907272996595
TabNet,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,71,297,75,0.72,0.8264462809917356,0.5511541749786264,0.847457627118644,0.8064516129032258,0.1054713025010102,0.8311197165475427,0.5117866004962779
