model,k,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,10,FILTER_ANOVA,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9176760482650981,0.7368421052631579
TabNet,10,FILTER_MUTUAL_INFO,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,10,88,23,0.6956521739130435,0.8108108108108109,0.5165165165165165,0.8333333333333334,0.7894736842105263,0.03627381250550058,0.9003465909283082,0.618421052631579
TabNet,10,WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,10,88,23,0.7391304347826086,0.8333333333333334,0.6166666666666667,0.8823529411764706,0.7894736842105263,0.24987096773334005,0.8987027256304483,0.6710526315789473
TabNet,10,EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,10,88,23,0.7391304347826086,0.8235294117647058,0.6617647058823529,0.9333333333333333,0.7368421052631579,0.3874398651698183,0.8372002853191439,0.6052631578947368
TabNet,10,FILTER_ANOVA + WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,16,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.8890299867242997,0.631578947368421
TabNet,10,FILTER_ANOVA + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,18,88,23,0.7391304347826086,0.8333333333333334,0.6166666666666667,0.8823529411764706,0.7894736842105263,0.24987096773334005,0.8504399756273637,0.6842105263157895
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,16,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.9011212548608669,0.631578947368421
TabNet,10,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,19,88,23,0.782608695652174,0.8571428571428571,0.7012987012987013,0.9375,0.7894736842105263,0.4443938593811115,0.8520064071299097,0.6842105263157895
TabNet,10,WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,18,88,23,0.6956521739130435,0.8,0.5818181818181818,0.875,0.7368421052631579,0.195099743142927,0.891641362772279,0.5789473684210527
TabNet,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,24,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.8121372443281251,0.5394736842105263
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,24,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.93548044309702,0.763157894736842
TabNet,10,FILTER_ANOVA,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,10,310,78,0.8333333333333334,0.8761904761904762,0.8106442577030812,0.9019607843137255,0.8518518518518519,0.6243046644453756,0.8523560675640082,0.8283179012345678
TabNet,10,FILTER_MUTUAL_INFO,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,10,310,78,0.6410256410256411,0.7142857142857143,0.6157635467980296,0.7954545454545454,0.6481481481481481,0.25423478091421775,0.7809378035587214,0.683641975308642
TabNet,10,WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,10,310,78,0.8076923076923077,0.8695652173913043,0.7518557794273595,0.819672131147541,0.9259259259259259,0.5227339958208185,0.851447972179838,0.779320987654321
TabNet,10,EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,10,310,78,0.7692307692307693,0.8301886792452831,0.7350943396226415,0.8461538461538461,0.8148148148148148,0.4714045207910317,0.8317685676905591,0.7600308641975309
TabNet,10,FILTER_ANOVA + WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,16,310,78,0.6282051282051282,0.7238095238095238,0.5775910364145658,0.7450980392156863,0.7037037037037037,0.15719901622725285,0.7322760496213818,0.6126543209876543
TabNet,10,FILTER_ANOVA + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,17,310,78,0.717948717948718,0.78,0.6935714285714285,0.8478260869565217,0.7222222222222222,0.40399667723558236,0.8375442402912681,0.7677469135802469
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,19,310,78,0.6794871794871795,0.7422680412371134,0.6592696138388957,0.8372093023255814,0.6666666666666666,0.34798900200286526,0.8458213103563226,0.7530864197530864
TabNet,10,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,20,310,78,0.6923076923076923,0.7446808510638298,0.6787920384351407,0.875,0.6481481481481481,0.4061164310337068,0.8614164531221883,0.8051697530864198
TabNet,10,WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,17,310,78,0.7692307692307693,0.8269230769230769,0.7403846153846154,0.86,0.7962962962962963,0.48552458947423766,0.9063249661020423,0.8410493827160493
TabNet,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,22,310,78,0.8333333333333334,0.8807339449541285,0.8020691001366387,0.8727272727272727,0.8888888888888888,0.6044956738991982,0.9290194866765629,0.8595679012345678
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,388,26,310,78,0.6666666666666666,0.74,0.6378571428571429,0.8043478260869565,0.6851851851851852,0.29105136962133354,0.835355406814509,0.7222222222222222
TabNet,10,FILTER_ANOVA,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,10,2344,587,0.7137989778534923,0.7873417721518987,0.6749208860759494,0.8638888888888889,0.7232558139534884,0.3737010279094322,0.8666799504439848,0.7457709968893498
TabNet,10,FILTER_MUTUAL_INFO,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,10,2344,587,0.7495741056218058,0.8196319018404908,0.7050805748756772,0.8675324675324675,0.7767441860465116,0.42104026877446027,0.870607225073587,0.7736335357724782
TabNet,10,WRAPPER_RFE,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,10,2344,587,0.7308347529812607,0.8,0.6942708333333334,0.8777777777777778,0.7348837209302326,0.4132158355944912,0.8853998315884479,0.7789068286179824
TabNet,10,EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,10,2344,587,0.7223168654173765,0.7959949937421777,0.6806641635377555,0.8617886178861789,0.7395348837209302,0.37990105618623576,0.8810074115840423,0.7737520367352985
TabNet,10,FILTER_ANOVA + WRAPPER_RFE,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,16,2344,587,0.7495741056218058,0.8182941903584673,0.707777232165535,0.8733509234828496,0.7697674418604651,0.4294211994093754,0.8824335022902128,0.7886387201896015
TabNet,10,FILTER_ANOVA + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,18,2344,587,0.686541737649063,0.7634961439588689,0.6494248396562021,0.853448275862069,0.6906976744186046,0.32961483037001355,0.8610806462100336,0.7436305732484076
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,17,2344,587,0.717206132879046,0.7882653061224489,0.6813121402407116,0.8728813559322034,0.7186046511627907,0.3908125956615726,0.8657691224170463,0.7645311805658421
TabNet,10,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,19,2344,587,0.7529812606473595,0.8271752085816448,0.6971696938430612,0.8484107579462102,0.8069767441860465,0.3968129211509811,0.8850614239304201,0.7774255665827285
TabNet,10,WRAPPER_RFE + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,19,2344,587,0.7597955706984668,0.8248447204968944,0.7213654496793416,0.8853333333333333,0.772093023255814,0.4591038148937501,0.8853981275155678,0.7979854836320546
TabNet,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,24,2344,587,0.7325383304940375,0.8005082592121983,0.6974117523451172,0.8823529411764706,0.7325581395348837,0.4216755376430912,0.8845796071235007,0.7849577840319952
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Ortalama,2931,25,2344,587,0.7035775127768313,0.7746113989637305,0.6708877890341041,0.8742690058479532,0.6953488372093023,0.3783100813267162,0.8778108728839513,0.7652940305139979
TabNet,10,FILTER_ANOVA,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,10,297,75,0.48,0.5806451612903226,0.44821731748726656,0.8709677419354839,0.43548387096774194,0.09823415610786372,0.8361241367037229,0.5669975186104218
TabNet,10,FILTER_MUTUAL_INFO,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,10,297,75,0.6933333333333334,0.8034188034188035,0.5532245532245532,0.8545454545454545,0.7580645161290323,0.12213326769486436,0.8309679600318092,0.5384615384615384
TabNet,10,WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,10,297,75,0.7466666666666667,0.8455284552845529,0.5709123757904246,0.8524590163934426,0.8387096774193549,0.14222814671507497,0.8412177746370371,0.5310173697270472
TabNet,10,EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,10,297,75,0.6533333333333333,0.7592592592592593,0.5701058201058201,0.8913043478260869,0.6612903225806451,0.21505989397303252,0.8459662647845556,0.6191066997518611
TabNet,10,FILTER_ANOVA + WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,17,297,75,0.72,0.8205128205128205,0.592074592074592,0.8727272727272727,0.7741935483870968,0.20178539880021068,0.8506954060619165,0.6228287841191067
TabNet,10,FILTER_ANOVA + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,17,297,75,0.7066666666666667,0.8135593220338984,0.5630296610169492,0.8571428571428571,0.7741935483870968,0.13822023746691833,0.7896533372593406,0.467741935483871
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,18,297,75,0.76,0.8548387096774194,0.5812655086848635,0.8548387096774194,0.8548387096774194,0.16253101736972705,0.8624053779446093,0.6594292803970223
TabNet,10,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,18,297,75,0.7466666666666667,0.848,0.544,0.8412698412698413,0.8548387096774194,0.08839356953989233,0.891353057102338,0.6389578163771712
TabNet,10,WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,20,297,75,0.68,0.7894736842105263,0.5614035087719298,0.8653846153846154,0.7258064516129032,0.15379557373305536,0.8982070967216955,0.6625310173697271
TabNet,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,24,297,75,0.7066666666666667,0.819672131147541,0.5169789227166276,0.8333333333333334,0.8064516129032258,0.03522349768381734,0.8725407750540681,0.5409429280397022
TabNet,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Ortalama,372,26,297,75,0.7333333333333333,0.8333333333333334,0.5833333333333334,0.8620689655172413,0.8064516129032258,0.17274868195593032,0.9123935070249276,0.7047146401985112
TabNet,20,FILTER_ANOVA,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8370458597401731,0.5657894736842105
TabNet,20,FILTER_MUTUAL_INFO,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.7391304347826086,0.8235294117647058,0.6617647058823529,0.9333333333333333,0.7368421052631579,0.3874398651698183,0.9456517045840709,0.7763157894736842
TabNet,20,WRAPPER_RFE,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.9402273751883385,0.7236842105263158
TabNet,20,EMBEDDED,CFTR,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,111,20,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.824497690899098,0.5131578947368421
