model,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,TABNET_Ordinal_Encoding_StandardScaler_AL_Sifir_EK_Medyan,CFTR,111,192,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9284397674185028,0.7894736842105263
TabNet,TABNET_Ordinal_Encoding_RobustScaler_AL_Sifir_EK_Medyan,CFTR,111,192,88,23,0.8695652173913043,0.926829268292683,0.6634146341463415,0.8636363636363636,1.0,0.4646601886422926,0.932117022079544,0.6973684210526315
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,CFTR,111,192,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.9016052024106342,0.6842105263157895
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,CFTR,111,192,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.8296777415981318,0.48684210526315785
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Medyan,CFTR,111,192,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.801289982985915,0.47368421052631576
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_AL_Sifir_EK_Medyan,CFTR,111,192,88,23,0.8260869565217391,0.9047619047619048,0.4523809523809524,0.8260869565217391,1.0,0.0,0.9255197682369645,0.7105263157894737
TabNet,TABNET_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,CFTR,111,192,88,23,0.782608695652174,0.8780487804878049,0.43902439024390244,0.8181818181818182,0.9473684210526315,-0.0978231976089037,0.8635156904434131,0.5657894736842105
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_KNNImputer,CFTR,111,192,88,23,0.6956521739130435,0.8205128205128205,0.41025641025641024,0.8,0.8421052631578947,-0.1777046633277277,0.8508469373110784,0.39473684210526316
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_Medyan,CFTR,111,192,88,23,0.6956521739130435,0.8205128205128205,0.41025641025641024,0.8,0.8421052631578947,-0.1777046633277277,0.7787458057285229,0.35526315789473684
TabNet,TABNET_Ordinal_Encoding_StandardScaler_Eksik_Veri_KNNImputer,KANSER,388,192,310,78,0.8333333333333334,0.8712871287128713,0.8174617461746174,0.9361702127659575,0.8148148148148148,0.6505867920189556,0.9255236476093492,0.8927469135802468
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_Medyan,KANSER,388,192,310,78,0.7692307692307693,0.8333333333333334,0.7291666666666667,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.8278732564668543,0.709104938271605
TabNet,TABNET_Ordinal_Encoding_RobustScaler_Eksik_Veri_KNNImputer,KANSER,388,192,310,78,0.7564102564102564,0.819047619047619,0.7232492997198879,0.8431372549019608,0.7962962962962963,0.44914004636357957,0.9015999243758752,0.8009259259259259
