model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabNet,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.6899488926746167,0.7666666666666667,0.6523688663282572,0.8542857142857143,0.6953488372093023,0.3342516300977791,0.8792692278986607,0.7713968300992444
TabNet,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8205128205128205,0.8852459016393442,0.7367405978784957,0.7941176470588235,1.0,0.5752237416355278,0.8826761809791898,0.7982253086419753
TabNet,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,30,297,75,0.6933333333333334,0.8067226890756303,0.5323936026023313,0.8421052631578947,0.7741935483870968,0.0725776219628767,0.9123058451460402,0.6594292803970223
TabNet,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9727653265730392,0.8684210526315789
TabNet,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.7427597955706985,0.8056628056628057,0.7126550804132668,0.9020172910662824,0.727906976744186,0.4603932583953978,0.8786318648233111,0.8043475040734706
TabNet,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8076923076923077,0.8598130841121495,0.7768453175662788,0.8679245283018868,0.8518518518518519,0.5540209412597124,0.915999830612562,0.841820987654321
TabNet,FILTER_MUTUAL_INFO,PAH,TEMİZLENMİŞ,372,30,297,75,0.7733333333333333,0.864,0.592,0.8571428571428571,0.8709677419354839,0.1844735364310796,0.8990363328230906,0.6681141439205955
TabNet,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,30,88,23,0.5217391304347826,0.6206896551724138,0.486815415821501,0.9,0.4736842105263157,0.1710292727744259,0.8613477274630933,0.6776315789473684
TabNet,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,30,2344,587,0.6729131175468483,0.75,0.6385467980295567,0.8520710059171598,0.6697674418604651,0.3146294448526958,0.8605690913444459,0.7448822396681973
TabNet,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,30,310,78,0.8076923076923077,0.8695652173913043,0.7518557794273595,0.819672131147541,0.925925925925926,0.5227339958208185,0.8669476327583251,0.8117283950617284
