model,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,CFTR,111,351,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8854990147722754,0.6710526315789473
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan_Yuksek_Eksik_Sutun_Silinmis,CFTR,111,350,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.8261644896482766,0.5921052631578947
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,CFTR,111,351,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9448760111848751,0.7763157894736842
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,CFTR,111,350,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9477845984424929,0.7763157894736842
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer,CFTR,111,351,88,23,0.6956521739130435,0.8108108108108109,0.5165165165165165,0.8333333333333334,0.7894736842105263,0.03627381250550058,0.8844029886069971,0.618421052631579
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer_Yuksek_Eksik_Sutun_Silinmis,CFTR,111,350,88,23,0.6956521739130435,0.8108108108108109,0.5165165165165165,0.8333333333333334,0.7894736842105263,0.03627381250550058,0.8608826492971842,0.618421052631579
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,KANSER,388,351,310,78,0.8333333333333334,0.8828828828828829,0.796996996996997,0.8596491228070176,0.9074074074074074,0.5973424234499494,0.893745086299957,0.8271604938271606
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,KANSER,388,350,310,78,0.8333333333333334,0.8828828828828829,0.796996996996997,0.8596491228070176,0.9074074074074074,0.5973424234499494,0.8911219754496095,0.8101851851851851
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,KANSER,388,351,310,78,0.8333333333333334,0.8849557522123894,0.7913150854085202,0.847457627118644,0.9259259259259259,0.5923697936637531,0.9050652827528053,0.8310185185185185
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer_Yuksek_Eksik_Sutun_Silinmis,KANSER,388,350,310,78,0.8076923076923077,0.8598130841121495,0.7768453175662788,0.8679245283018868,0.8518518518518519,0.5540209412597124,0.8637734184399065,0.8225308641975309
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan_Yuksek_Eksik_Sutun_Silinmis,KANSER,388,350,310,78,0.8205128205128205,0.8771929824561403,0.7719298245614035,0.8333333333333334,0.9259259259259259,0.5578655678293358,0.8886720198516268,0.8132716049382717
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_KNNImputer,KANSER,388,351,310,78,0.7948717948717948,0.8490566037735849,0.7645283018867925,0.8653846153846154,0.8333333333333334,0.5303300858899106,0.847481090857956,0.8040123456790124
TabPFN,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,MASTER,2931,351,2344,587,0.8262350936967632,0.8864142538975501,0.7584245182531228,0.8504273504273504,0.9255813953488372,0.5281737951796432,0.9114098815968426,0.8362168567619612
