model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,30,2344,587,0.8398637137989778,0.8982683982683982,0.7611341991341991,0.840080971659919,0.9651162790697676,0.5599596657863992,0.9297779718739868,0.8514294178640202
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,30,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814816,0.724581776385293,0.938820082901951,0.8819444444444445
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,30,297,75,0.84,0.9076923076923076,0.6538461538461539,0.8676470588235294,0.9516129032258064,0.3374234711923948,0.9496396908679656,0.8213399503722084
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_ANOVA,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,30,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8876635169367775,0.6842105263157895
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,30,2344,587,0.8006814310051107,0.8737864077669902,0.7000510986203372,0.8148893360160966,0.9418604651162792,0.4371997382426856,0.8851802299078404,0.7822174492667754
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,30,310,78,0.8589743589743589,0.9043478260869564,0.8180275715800636,0.8524590163934426,0.9629629629629628,0.6572991828638015,0.9155675661243624,0.8757716049382716
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,30,297,75,0.8533333333333334,0.9172932330827068,0.6351172047766475,0.8591549295774648,0.9838709677419356,0.361592498551287,0.916929261592714,0.7444168734491315
TabPFN,ORİJİNAL_VERİ_COMBINED,FILTER_MUTUAL_INFO,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.8939918377387825,0.7105263157894737
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,30,2344,587,0.8262350936967632,0.8876651982378855,0.752103275810672,0.8430962343096234,0.9372093023255814,0.5230516090566444,0.9147156005916136,0.8379573396533846
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,30,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.9109177249039176,0.8719135802469136
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE,PAH,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama_Yuksek_Eksik_Sutun_Silinmis,372,30,297,75,0.8666666666666667,0.9253731343283582,0.6501865671641791,0.8611111111111112,1.0,0.4457779141208643,0.922285830424217,0.7196029776674938
TabPFN,ORİJİNAL_VERİ_COMBINED,WRAPPER_RFE,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,30,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8947298123544662,0.7105263157894737
TabPFN,ORİJİNAL_VERİ_COMBINED,EMBEDDED,MASTER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,2931,30,2344,587,0.82793867120954,0.8888888888888888,0.7538784067085953,0.8434237995824635,0.9395348837209302,0.5275754332610495,0.9011386250543604,0.8392386313138794
TabPFN,ORİJİNAL_VERİ_COMBINED,EMBEDDED,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,30,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.9098006422898676,0.8672839506172839
