model,k,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,10,FILTER_ANOVA,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,10,88,23,0.8695652173913043,0.918918918918919,0.7927927927927928,0.9444444444444444,0.8947368421052632,0.5924722709231762,0.9422374194433014,0.8026315789473684
TabPFN,10,FILTER_MUTUAL_INFO,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9179551551231524,0.7105263157894737
TabPFN,10,WRAPPER_RFE,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9494923313971706,0.7894736842105263
TabPFN,10,EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8799379306895194,0.7105263157894737
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,17,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9233305030294601,0.763157894736842
TabPFN,10,FILTER_ANOVA + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,16,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.8968943145189683,0.7236842105263158
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,17,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9128041872399866,0.75
TabPFN,10,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,17,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9205785250452838,0.75
TabPFN,10,WRAPPER_RFE + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,14,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9233778026510631,0.736842105263158
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9100522092558103,0.736842105263158
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,TabPFN_Ordinal_Encoding_Eksik_Veri_Medyan,111,20,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9233305030294601,0.763157894736842
TabPFN,10,FILTER_ANOVA,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,10,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814815,0.724581776385293,0.89264688093283,0.8410493827160495
TabPFN,10,FILTER_MUTUAL_INFO,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,10,310,78,0.8333333333333334,0.8828828828828829,0.796996996996997,0.8596491228070176,0.9074074074074074,0.5973424234499494,0.9069391439471608,0.8464506172839507
TabPFN,10,WRAPPER_RFE,KANSER,TabPFN_Ordinal_Encoding_Eksik_Veri_Ortalama,388,10,310,78,0.8846153846153846,0.9203539823008849,0.8555258283597448,0.8813559322033898,0.9629629629629629,0.7217951267331445,0.928691031392094,0.875
