model,k,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,10,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.7853492333901193,0.8676470588235294,0.650039745627981,0.7911877394636015,0.9604651162790697,0.375488171336591,0.8850189553613255,0.7706561990816175
TabPFN,10,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.807495741056218,0.8788853161843515,0.7050028240672794,0.8151093439363817,0.9534883720930233,0.45648447492400673,0.8862452503172504,0.7831802695896904
TabPFN,10,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.8296422487223168,0.8903508771929824,0.7543357439400027,0.8423236514522822,0.9441860465116279,0.5314069043466939,0.9110151168790577,0.8300103688342468
TabPFN,10,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,10,2344,587,0.8057921635434412,0.8784648187633263,0.6977069856528495,0.8110236220472441,0.958139534883721,0.44963554240622455,0.8869087198740178,0.7932084135683604
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,16,2344,587,0.8313458262350937,0.8945686900958466,0.7366460471755829,0.825147347740668,0.9767441860465116,0.5344645599017488,0.9093642272749011,0.8259517108576506
TabPFN,10,FILTER_ANOVA + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,15,2344,587,0.8023850085178875,0.8765957446808511,0.6904346244771777,0.807843137254902,0.958139534883721,0.4378410444602249,0.891756312768539,0.7935861353873499
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,15,2344,587,0.8313458262350937,0.8922742110990207,0.7520194584906869,0.8384458077709611,0.9534883720930233,0.534468435938668,0.9063424305296434,0.8328395793215819
TabPFN,10,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,15,2344,587,0.8109028960817717,0.881283422459893,0.7084241380081892,0.8158415841584158,0.958139534883721,0.4670407494672819,0.8988404148005347,0.7987631462005629
TabPFN,10,WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,14,2344,587,0.82793867120954,0.8903365906623235,0.7455635522481578,0.835030549898167,0.9534883720930233,0.5236608114938276,0.9105223976002397,0.8407495185898386
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,19,2344,587,0.8364565587734242,0.896774193548387,0.7516657852987837,0.834,0.9697674418604652,0.5495173730867755,0.9192646463578027,0.8455191823433565
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,MASTER,TEMİZLENMİŞ,2931,18,2344,587,0.838160136286201,0.8966267682263329,0.7620388743092449,0.8425357873210634,0.958139534883721,0.555108763037089,0.9093083289766344,0.8325581395348837
TabPFN,10,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,10,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.8914012874721917,0.8321759259259258
TabPFN,10,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,10,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814815,0.724581776385293,0.8798729463710552,0.8441358024691358
TabPFN,10,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,10,310,78,0.9102564102564102,0.9391304347826087,0.8841993637327678,0.8852459016393442,1.0,0.7918643699067844,0.9219311323419452,0.8827160493827161
TabPFN,10,EMBEDDED,KANSER,TEMİZLENMİŞ,388,10,310,78,0.8589743589743589,0.8990825688073395,0.8325200078079251,0.8909090909090909,0.9074074074074074,0.6654138425867143,0.8947477870905843,0.8703703703703703
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,16,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814815,0.7556542691506458,0.9070701450796095,0.8611111111111112
TabPFN,10,FILTER_ANOVA + EMBEDDED,KANSER,TEMİZLENMİŞ,388,16,310,78,0.8846153846153846,0.9217391304347826,0.8511134676564157,0.8688524590163934,0.9814814814814815,0.724581776385293,0.9003675364799847,0.8572530864197531
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,16,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814815,0.7556542691506458,0.9095923985085405,0.8811728395061729
TabPFN,10,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,TEMİZLENMİŞ,388,17,310,78,0.8717948717948718,0.9122807017543859,0.8370927318295739,0.8666666666666667,0.9629629629629629,0.6897247020435424,0.9085605799235058,0.8765432098765432
TabPFN,10,WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,14,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.9239556420430555,0.8858024691358024
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,20,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814815,0.7556542691506458,0.8957863804341957,0.8541666666666667
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,TEMİZLENMİŞ,388,19,310,78,0.8846153846153846,0.9203539823008849,0.8555258283597448,0.8813559322033898,0.9629629629629629,0.7217951267331445,0.9074142355287954,0.8765432098765431
TabPFN,10,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,10,297,75,0.8533333333333334,0.9185185185185185,0.5925925925925926,0.8493150684931506,1.0,0.3614745588437089,0.8624802850085891,0.6538461538461537
TabPFN,10,FILTER_MUTUAL_INFO,PAH,TEMİZLENMİŞ,372,10,297,75,0.8266666666666667,0.9051094890510949,0.45255474452554745,0.8266666666666667,1.0,0.0,0.9140261508124362,0.7245657568238213
TabPFN,10,WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,10,297,75,0.8133333333333334,0.8955223880597015,0.5102611940298507,0.8333333333333334,0.967741935483871,0.08627959628145761,0.9221093089793937,0.7196029776674938
TabPFN,10,EMBEDDED,PAH,TEMİZLENMİŞ,372,10,297,75,0.84,0.9117647058823529,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.9320480486285928,0.7593052109181141
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,16,297,75,0.8266666666666667,0.9051094890510949,0.45255474452554745,0.8266666666666667,1.0,0.0,0.920052308601844,0.7196029776674938
TabPFN,10,FILTER_ANOVA + EMBEDDED,PAH,TEMİZLENMİŞ,372,18,297,75,0.84,0.9117647058823529,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.9177045783098774,0.7009925558312654
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,18,297,75,0.8533333333333334,0.9185185185185185,0.5925925925925926,0.8493150684931506,1.0,0.3614745588437089,0.9324599386384002,0.7456575682382134
TabPFN,10,FILTER_MUTUAL_INFO + EMBEDDED,PAH,TEMİZLENMİŞ,372,17,297,75,0.84,0.9104477611940298,0.5802238805970149,0.8472222222222222,0.9838709677419355,0.266028755201161,0.9235438466309692,0.7258064516129032
TabPFN,10,WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,14,297,75,0.84,0.9117647058823529,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.9237088840311941,0.7307692307692306
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,20,297,75,0.84,0.9117647058823529,0.5273109243697479,0.8378378378378378,1.0,0.2538682029106135,0.9209949192840606,0.7133995037220844
TabPFN,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,PAH,TEMİZLENMİŞ,372,21,297,75,0.8266666666666667,0.9051094890510949,0.45255474452554745,0.8266666666666667,1.0,0.0,0.9421119470875263,0.7729528535980149
TabPFN,10,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9099990761144416,0.6710526315789473
TabPFN,10,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,10,88,23,0.9130434782608695,0.95,0.8083333333333333,0.9047619047619048,1.0,0.6725927091345493,0.9546643200280966,0.8289473684210527
TabPFN,10,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9144849411266225,0.6973684210526315
TabPFN,10,EMBEDDED,CFTR,TEMİZLENMİŞ,111,10,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9057130113020613,0.6842105263157894
TabPFN,10,FILTER_ANOVA + WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,17,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9400653548649307,0.763157894736842
