model,veri_turu,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,30,2344,587,0.797274275979557,0.8746048472075869,0.672857979159349,0.7996146435452793,0.9651162790697676,0.4186513083423735,0.8991132478061206,0.7979410457709969
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,30,310,78,0.8461538461538461,0.8983050847457628,0.7912578055307762,0.828125,0.9814814814814816,0.6291775070021658,0.9165672513139088,0.8553240740740742
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,30,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419356,0.4424521595673921,0.9395863819048388,0.7741935483870968
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_ANOVA,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9546643200280966,0.8289473684210527
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,30,2344,587,0.817717206132879,0.8809788654060067,0.7459439781575488,0.8443496801705757,0.9209302325581395,0.5035995749002969,0.91486591809839,0.8374314916308695
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,30,310,78,0.8717948717948718,0.912280701754386,0.8370927318295739,0.8666666666666667,0.9629629629629628,0.6897247020435424,0.8834403686029777,0.8665123456790124
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,PAH,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_KNNImputer,372,30,297,75,0.8533333333333334,0.9172932330827068,0.6351172047766475,0.8591549295774648,0.9838709677419356,0.361592498551287,0.9322743777992466,0.7704714640198511
TabPFN,TEMİZLENMİŞ_COMBINED,FILTER_MUTUAL_INFO,CFTR,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,111,30,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9453285127596676,0.7763157894736842
TabPFN,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE,MASTER,TABPFN_Ordinal_Encoding_MinMaxScaler_Eksik_Veri_Medyan,2931,30,2344,587,0.8398637137989778,0.8980477223427332,0.7625159246634301,0.8414634146341463,0.9627906976744186,0.5600189204735442,0.9129460412557184,0.8432824766701229
TabPFN,TEMİZLENMİŞ_COMBINED,WRAPPER_RFE,KANSER,TABPFN_Ordinal_Encoding_AL_Sifir_EK_Medyan,388,30,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.9037644227510124,0.871141975308642
