model,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,FILTER_ANOVA,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.8742834759251576,0.6842105263157894
XGBoost,FILTER_ANOVA,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,50,310,78,0.8333333333333334,0.8828828828828829,0.796996996996997,0.8596491228070176,0.9074074074074074,0.5973424234499494,0.8676236627079157,0.8360339506172839
XGBoost,FILTER_ANOVA,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,50,2344,587,0.7614991482112436,0.8325358851674641,0.7091673508677557,0.8571428571428571,0.8093023255813954,0.4216106728923668,0.8854327519592393,0.7934676344245297
XGBoost,FILTER_ANOVA,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,50,297,75,0.88,0.931297709923664,0.7288067496986741,0.8840579710144928,0.9838709677419356,0.5141487187108322,0.9271247450698562,0.781637717121588
XGBoost,FILTER_MUTUAL_INFO,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,50,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.8914754944329655,0.6578947368421053
XGBoost,FILTER_MUTUAL_INFO,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,50,310,78,0.8589743589743589,0.9009009009009008,0.8282282282282283,0.8771929824561403,0.925925925925926,0.6599670323600246,0.8708205882272575,0.8518518518518519
XGBoost,FILTER_MUTUAL_INFO,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,50,2344,587,0.7836456558773425,0.8497041420118343,0.7318429524648837,0.8650602409638555,0.8348837209302326,0.4650520469788762,0.8830642032348458,0.7995926529403051
XGBoost,FILTER_MUTUAL_INFO,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,50,297,75,0.8266666666666667,0.900763358778626,0.6082764162314183,0.855072463768116,0.9516129032258064,0.2544776486548563,0.9244052659057204,0.7307692307692307
XGBoost,WRAPPER_RFE,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,50,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9485866581230762,0.7894736842105263
XGBoost,WRAPPER_RFE,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,50,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8946986295123298,0.8510802469135803
XGBoost,WRAPPER_RFE,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,50,2344,587,0.8160136286201022,0.8738317757009346,0.7671045670957504,0.8779342723004695,0.8697674418604651,0.534316017833615,0.916560069521823,0.8440675455488076
XGBoost,WRAPPER_RFE,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,50,297,75,0.8133333333333334,0.890625,0.6271306818181819,0.8636363636363636,0.9193548387096774,0.2644784836918971,0.9077453436230584,0.6960297766749379
XGBoost,EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,50,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9466429877583532,0.7763157894736842
XGBoost,EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,50,310,78,0.8461538461538461,0.8888888888888888,0.8194444444444444,0.8888888888888888,0.8888888888888888,0.6388888888888888,0.8912957835398029,0.8371913580246915
XGBoost,EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,50,2344,587,0.8023850085178875,0.8622327790973872,0.7564175943679707,0.8810679611650486,0.8441860465116279,0.5148689859057178,0.9160612870335956,0.8391349429714117
XGBoost,EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,50,297,75,0.84,0.9076923076923076,0.6538461538461539,0.8676470588235294,0.9516129032258064,0.3374234711923948,0.9281848407307556,0.7444168734491315
XGBoost,FILTER_ANOVA + WRAPPER_RFE,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,89,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9254739521156334,0.7236842105263158
XGBoost,FILTER_ANOVA + WRAPPER_RFE,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,91,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.8853327975486948,0.8449074074074074
XGBoost,FILTER_ANOVA + WRAPPER_RFE,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,92,2344,587,0.8126064735945485,0.8714953271028038,0.7627916887086346,0.8755868544600939,0.8674418604651163,0.5256894844030542,0.920409822387028,0.8458006221300548
XGBoost,FILTER_ANOVA + WRAPPER_RFE,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,80,297,75,0.8266666666666667,0.8992248062015504,0.6400885935769657,0.8656716417910447,0.935483870967742,0.2981989813783621,0.9151796093964768,0.7146401985111662
XGBoost,FILTER_ANOVA + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,83,88,23,0.8695652173913043,0.9230769230769232,0.7472527472527473,0.9,0.9473684210526316,0.5034965460952284,0.9400653548649308,0.763157894736842
XGBoost,FILTER_ANOVA + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,90,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8863111688279691,0.8518518518518519
XGBoost,FILTER_ANOVA + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,87,2344,587,0.7836456558773425,0.8511137162954279,0.7277375435059694,0.8581560283687943,0.8441860465116279,0.4557777676954785,0.919197407825994,0.8335950229595614
XGBoost,FILTER_ANOVA + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,88,297,75,0.8266666666666667,0.8992248062015504,0.6400885935769657,0.8656716417910447,0.935483870967742,0.2981989813783621,0.9260593192581584,0.7357320099255583
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,86,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9254739521156334,0.7236842105263158
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,70,310,78,0.8974358974358975,0.9298245614035088,0.8696741854636592,0.8833333333333333,0.9814814814814816,0.7556542691506458,0.8852577093726863,0.8433641975308641
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,75,2344,587,0.8160136286201022,0.8738317757009346,0.7671045670957504,0.8779342723004695,0.8697674418604651,0.534316017833615,0.9079997856367622,0.8375203673529847
XGBoost,FILTER_MUTUAL_INFO + WRAPPER_RFE,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,85,297,75,0.8533333333333334,0.9147286821705426,0.6954595791805094,0.8805970149253731,0.9516129032258064,0.412305734456817,0.9162107310651688,0.7133995037220844
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,85,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.3947368421052631,0.9204570392039836,0.7105263157894737
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,82,310,78,0.8846153846153846,0.918918918918919,0.8594594594594596,0.8947368421052632,0.9444444444444444,0.7225916412701,0.8876590248963846,0.8503086419753086
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,80,2344,587,0.8057921635434412,0.8655660377358491,0.7579363931010534,0.8779904306220095,0.8534883720930233,0.51679562934299,0.9204898997389132,0.8431787883276551
XGBoost,FILTER_MUTUAL_INFO + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,89,297,75,0.8,0.8818897637795275,0.6148579253680246,0.8615384615384616,0.9032258064516128,0.2348684718811671,0.9217417315886092,0.7146401985111662
XGBoost,WRAPPER_RFE + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,76,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9307471876520268,0.736842105263158
XGBoost,WRAPPER_RFE + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,76,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8884244367671706,0.8441358024691358
XGBoost,WRAPPER_RFE + EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,77,2344,587,0.817717206132879,0.8745603751465416,0.7706135209066041,0.8817966903073287,0.8674418604651163,0.5415530072316415,0.9119389801686456,0.8418160272552214
XGBoost,WRAPPER_RFE + EMBEDDED,PAH,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,372,79,297,75,0.8533333333333334,0.916030534351145,0.6685415829650462,0.8695652173913043,0.967741935483871,0.3843131836828443,0.914819587387599,0.7220843672456575
