model,k,method,panel,scenario,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,10,FILTER_ANOVA,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,10,88,23,0.9130434782608695,0.9473684210526315,0.8486842105263157,0.9473684210526315,0.9473684210526315,0.6973684210526315,0.949144939439464,0.8157894736842105
XGBoost,10,FILTER_MUTUAL_INFO,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,10,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9648760704651203,0.8421052631578947
XGBoost,10,WRAPPER_RFE,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,10,88,23,0.7391304347826086,0.8333333333333334,0.6166666666666667,0.8823529411764706,0.7894736842105263,0.24987096773334005,0.9398682758589876,0.7368421052631579
XGBoost,10,EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,10,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9683660230649798,0.8552631578947367
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,18,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9577573120305722,0.8157894736842105
XGBoost,10,FILTER_ANOVA + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,17,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9523948081773563,0.8026315789473685
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,17,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9418582987631379,0.763157894736842
XGBoost,10,FILTER_MUTUAL_INFO + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,18,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9721442408911853,0.868421052631579
XGBoost,10,WRAPPER_RFE + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,18,88,23,0.8260869565217391,0.8947368421052632,0.6973684210526316,0.8947368421052632,0.8947368421052632,0.39473684210526316,0.9585477496631152,0.8157894736842105
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,24,88,23,0.8695652173913043,0.9230769230769231,0.7472527472527473,0.9,0.9473684210526315,0.5034965460952284,0.9533713471182916,0.8026315789473684
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,CFTR,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,111,24,88,23,0.782608695652174,0.8648648648648649,0.6546546546546547,0.8888888888888888,0.8421052631578947,0.3143730417143384,0.9585477496631152,0.8157894736842105
XGBoost,10,FILTER_ANOVA,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,10,310,78,0.8205128205128205,0.8727272727272727,0.784189723320158,0.8571428571428571,0.8888888888888888,0.5698028822981898,0.8531395091520223,0.8221450617283951
XGBoost,10,FILTER_MUTUAL_INFO,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,10,310,78,0.8205128205128205,0.8703703703703703,0.7893518518518519,0.8703703703703703,0.8703703703703703,0.5787037037037037,0.9204832772893718,0.8858024691358025
XGBoost,10,WRAPPER_RFE,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,10,310,78,0.8717948717948718,0.9074074074074074,0.849537037037037,0.9074074074074074,0.9074074074074074,0.6990740740740741,0.8960584882423345,0.8780864197530864
XGBoost,10,EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,10,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.8721419812604578,0.8155864197530864
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,17,310,78,0.8589743589743589,0.8990825688073395,0.8325200078079251,0.8909090909090909,0.9074074074074074,0.6654138425867143,0.8885265610488435,0.8811728395061729
XGBoost,10,FILTER_ANOVA + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,19,310,78,0.8589743589743589,0.9009009009009009,0.8282282282282283,0.8771929824561403,0.9259259259259259,0.6599670323600246,0.8940123505408072,0.8526234567901235
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,16,310,78,0.8717948717948718,0.9074074074074074,0.849537037037037,0.9074074074074074,0.9074074074074074,0.6990740740740741,0.9062120715079405,0.8804012345679012
XGBoost,10,FILTER_MUTUAL_INFO + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,19,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.9206341871601832,0.8765432098765433
XGBoost,10,WRAPPER_RFE + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,18,310,78,0.8846153846153846,0.9174311926605505,0.8629709154792113,0.9090909090909091,0.9259259259259259,0.7263320112742305,0.9036692853131897,0.8734567901234569
XGBoost,10,FILTER_ANOVA + WRAPPER_RFE + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,25,310,78,0.8717948717948718,0.9074074074074074,0.849537037037037,0.9074074074074074,0.9074074074074074,0.6990740740740741,0.8674957155264702,0.8680555555555556
XGBoost,10,FILTER_MUTUAL_INFO + WRAPPER_RFE + EMBEDDED,KANSER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,388,24,310,78,0.8846153846153846,0.9174311926605505,0.8629709154792113,0.9090909090909091,0.9259259259259259,0.7263320112742305,0.8966669454690026,0.8680555555555556
XGBoost,10,FILTER_ANOVA,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,10,2344,587,0.7223168654173765,0.8004895960832313,0.671953481515005,0.8449612403100775,0.7604651162790698,0.353304650293218,0.8845848776218848,0.7583839431195377
XGBoost,10,FILTER_MUTUAL_INFO,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,10,2344,587,0.7427597955706985,0.8208778173190985,0.6823422319223891,0.837772397094431,0.8046511627906977,0.36627797313177374,0.8608225605638686,0.7438009183824619
XGBoost,10,WRAPPER_RFE,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,10,2344,587,0.7887563884156729,0.8523809523809524,0.7405617336755062,0.8731707317073171,0.8325581395348837,0.4835537265568176,0.9059603465703315,0.8155310324396386
XGBoost,10,EMBEDDED,MASTER,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,2931,10,2344,587,0.7819420783645656,0.8446601941747572,0.7394729542302357,0.883248730964467,0.8093023255813954,0.4864819458500405,0.9119929667387134,0.8191971559768922
