model,scenario,panel,n_rows,n_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_KNNImputer,CFTR,111,192,88,23,0.8260869565217391,0.9,0.6166666666666667,0.8571428571428571,0.9473684210526315,0.26549712202679576,0.8291798508444157,0.513157894736842
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,CFTR,111,192,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.9160368979417373,0.6842105263157895
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Medyan,CFTR,111,192,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.16289594138375038,0.880459365420329,0.5789473684210525
XGBoost,XGBOOST_Ordinal_Encoding_AL_Sifir_EK_Medyan,CFTR,111,192,88,23,0.7391304347826086,0.8421052631578947,0.5460526315789473,0.8421052631578947,0.8421052631578947,0.09210526315789473,0.8844197769894362,0.6052631578947368
XGBoost,XGBOOST_Ordinal_Encoding_AL_Sifir_EK_Medyan,KANSER,388,192,310,78,0.8717948717948718,0.9074074074074074,0.849537037037037,0.9074074074074074,0.9074074074074074,0.6990740740740741,0.9285213849687801,0.8942901234567902
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Medyan,KANSER,388,192,310,78,0.8717948717948718,0.9090909090909091,0.8458498023715415,0.8928571428571429,0.9259259259259259,0.6932601734627976,0.8860255396310942,0.8449074074074073
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,KANSER,388,192,310,78,0.8461538461538461,0.8909090909090909,0.8150197628458498,0.875,0.9074074074074074,0.6315315278804936,0.9133028441153467,0.875
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_KNNImputer,KANSER,388,192,310,78,0.8333333333333334,0.8785046728971962,0.8065992752241083,0.8867924528301887,0.8703703703703703,0.6135438523041443,0.8895475838768381,0.8533950617283951
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,MASTER,2931,192,2344,587,0.8194207836456558,0.8767441860465116,0.7695822841060583,0.8767441860465116,0.8767441860465116,0.5391645682121167,0.9319592093782729,0.8587320396978226
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Medyan,MASTER,2931,192,2344,587,0.8194207836456558,0.8767441860465116,0.7695822841060583,0.8767441860465116,0.8767441860465116,0.5391645682121167,0.9243316631642271,0.8491186490890239
XGBoost,XGBOOST_Ordinal_Encoding_AL_Sifir_EK_Medyan,MASTER,2931,192,2344,587,0.807495741056218,0.8672150411280846,0.7586849199448472,0.8764845605700713,0.858139534883721,0.51789455671185,0.9338867078483828,0.8563916456821211
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_KNNImputer,MASTER,2931,192,2344,587,0.8143100511073254,0.8757126567844926,0.7543546448905628,0.8590604026845637,0.8930232558139535,0.5107520132687035,0.920768870044352,0.8325137016738261
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Medyan,PAH,372,192,297,75,0.8933333333333333,0.9384615384615385,0.7692307692307692,0.8970588235294118,0.9838709677419355,0.5795934265936351,0.9081299763556421,0.7307692307692307
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_Korundu,PAH,372,192,297,75,0.88,0.9323308270676691,0.7014595311808933,0.8732394366197183,1.0,0.5183522522584925,0.905255444524398,0.7307692307692308
XGBoost,XGBOOST_Ordinal_Encoding_AL_Sifir_EK_Medyan,PAH,372,192,297,75,0.8666666666666667,0.9242424242424242,0.6843434343434343,0.8714285714285714,0.9838709677419355,0.4424521595673921,0.8993631909779407,0.71712158808933
XGBoost,XGBOOST_Ordinal_Encoding_Eksik_Veri_KNNImputer,PAH,372,192,297,75,0.8533333333333334,0.9172932330827067,0.6351172047766475,0.8591549295774648,0.9838709677419355,0.36159249855128706,0.8828798768245512,0.6724565756823822
