model,method,panel,veri_turu,n_rows,n_selected_features,train_rows,test_rows,accuracy,f1,f1_macro,precision,recall,mcc,pr_auc,roc_auc
XGBoost,FILTER_ANOVA,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.7649063032367973,0.8353221957040573,0.7123039549948857,0.8578431372549019,0.813953488372093,0.427390972292295,0.8930376548202037,0.8028440231076878
XGBoost,FILTER_ANOVA,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8717948717948718,0.9107142857142856,0.8417207792207793,0.8793103448275862,0.9444444444444444,0.6899837579297765,0.8853099281830149,0.8541666666666666
XGBoost,FILTER_ANOVA,PAH,TEMİZLENMİŞ,372,50,297,75,0.9066666666666666,0.9457364341085271,0.8062015503875969,0.9104477611940298,0.9838709677419356,0.6405192406137268,0.9452606237808086,0.8163771712158808
XGBoost,FILTER_ANOVA,CFTR,TEMİZLENMİŞ,111,50,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.8716874355957676,0.5657894736842105
XGBoost,FILTER_MUTUAL_INFO,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.8126064735945485,0.8702830188679245,0.7664298529922444,0.8827751196172249,0.858139534883721,0.5337957713713088,0.9246234546962432,0.848111390905051
XGBoost,FILTER_MUTUAL_INFO,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8974358974358975,0.9272727272727272,0.8766798418972332,0.9107142857142856,0.9444444444444444,0.7549888190451014,0.8581213819349351,0.8503086419753085
XGBoost,FILTER_MUTUAL_INFO,PAH,TEMİZLENMİŞ,372,50,297,75,0.8933333333333333,0.9375,0.7869318181818181,0.9090909090909092,0.967741935483871,0.5896569472475084,0.923662708896026,0.7816377171215881
XGBoost,FILTER_MUTUAL_INFO,CFTR,TEMİZLENMİŞ,111,50,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.9360915047691972,0.7236842105263157
XGBoost,WRAPPER_RFE,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.8211243611584327,0.8783314020857474,0.7703554116538063,0.8752886836027713,0.8813953488372093,0.5407727838569,0.9230761805768324,0.8532958080284403
XGBoost,WRAPPER_RFE,KANSER,TEMİZLENMİŞ,388,50,310,78,0.8846153846153846,0.9174311926605504,0.8629709154792113,0.9090909090909092,0.925925925925926,0.7263320112742305,0.8923977590023567,0.8603395061728394
XGBoost,WRAPPER_RFE,PAH,TEMİZLENMİŞ,372,50,297,75,0.88,0.9291338582677166,0.7689147552208149,0.9076923076923076,0.9516129032258064,0.5457238023121237,0.918207295558882,0.7431761786600497
XGBoost,WRAPPER_RFE,CFTR,TEMİZLENMİŞ,111,50,88,23,0.782608695652174,0.8717948717948718,0.5787545787545787,0.85,0.8947368421052632,0.1628959413837503,0.9422228464961068,0.75
XGBoost,EMBEDDED,MASTER,TEMİZLENMİŞ,2931,50,2344,587,0.8262350936967632,0.8802816901408451,0.7817557519027207,0.8886255924170616,0.872093023255814,0.5639437176055399,0.9152979294596032,0.8335061472374463
