panel,senaryo,n_features,mcc,f1_macro,roc_auc
MASTER,(a) Tum ozellikler,351,0.5169869167658049,0.7456702900295538,0.8314020559502711
MASTER,(b) MASTER-global silme,345,0.5056351415768676,0.7407107953239048,0.83121692495526
MASTER,(c) Hibrit silme,345,0.5056351415768676,0.7407107953239048,0.83121692495526
MASTER,(d) Hibrit + sabit-sutun,288,0.5060433520716495,0.7394244610014654,0.8270439620617372
KANSER,(a) Tum ozellikler,351,0.669141752806367,0.8303108730301668,0.8974901001630562
KANSER,(b) MASTER-global silme,345,0.6698272995173847,0.8307329226678721,0.8969921965991148
KANSER,(c) Hibrit silme,351,0.669141752806367,0.8303108730301668,0.8974901001630562
KANSER,(d) Hibrit + sabit-sutun,283,0.6533210237347669,0.8222108284236042,0.8998165618448637
PAH,(a) Tum ozellikler,351,0.25613981577980016,0.5976010101010101,0.7410669975186104
PAH,(b) MASTER-global silme,345,0.24648077096157936,0.5953468220871265,0.755210918114144
PAH,(c) Hibrit silme,351,0.25613981577980016,0.5976010101010101,0.7410669975186104
PAH,(d) Hibrit + sabit-sutun,260,0.22064496915871104,0.5928793768817094,0.747394540942928
CFTR,(a) Tum ozellikler,351,0.4990264647088406,0.7208405629458261,0.8105555555555556
CFTR,(b) MASTER-global silme,345,0.45744439603610837,0.6917447464815887,0.7927777777777777
CFTR,(c) Hibrit silme,351,0.4990264647088406,0.7208405629458261,0.8105555555555556
CFTR,(d) Hibrit + sabit-sutun,282,0.47801817603105395,0.6945652593021014,0.8038888888888888
