panel,senaryo,n_features,mcc,f1_macro,roc_auc
MASTER,(a) Tum ozellikler,351,0.35153830521890717,0.6581483618738418,0.7497143932908803
MASTER,(b) MASTER-global silme,345,0.30763131592209997,0.6504770694416241,0.7406552941242849
MASTER,(c) Hibrit silme,345,0.30763131592209997,0.6504770694416241,0.7406552941242849
MASTER,(d) Hibrit + sabit-sutun,288,0.27193828893073585,0.6142671833049413,0.6950918489153316
KANSER,(a) Tum ozellikler,351,0.23926221978255,0.5762940745689131,0.7873522679983354
KANSER,(b) MASTER-global silme,345,0.2968711205491232,0.5568837597488384,0.6572513524760715
KANSER,(c) Hibrit silme,351,0.23926221978255,0.5762940745689131,0.7873522679983354
KANSER,(d) Hibrit + sabit-sutun,283,0.10713899956999418,0.4743541069784208,0.6912775697045359
PAH,(a) Tum ozellikler,351,0.022867003033881478,0.49093533159933056,0.609589749516934
PAH,(b) MASTER-global silme,345,0.06151580868007916,0.27764167614786994,0.5721454651066301
PAH,(c) Hibrit silme,351,0.022867003033881478,0.49093533159933056,0.609589749516934
PAH,(d) Hibrit + sabit-sutun,260,-0.1033959806994369,0.2735557499195236,0.514721510959375
CFTR,(a) Tum ozellikler,351,0.08647262629243069,0.5227668575911907,0.561904761904762
CFTR,(b) MASTER-global silme,345,-0.0044156407729248155,0.35923691659332885,0.4174603174603175
CFTR,(c) Hibrit silme,351,0.08647262629243069,0.5227668575911907,0.561904761904762
CFTR,(d) Hibrit + sabit-sutun,282,0.054069240801054096,0.3929330421148593,0.4825396825396826
