,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Variant_ID,2931,2931,VAR_004374,1,,,,,,,
AL_1,294.0,,,,1.2488515707787484e+16,1.2764735484598222e+16,0.0,3584155000000000.0,7639200000000000.0,1.8012725e+16,7.03002e+16
AL_2,294.0,,,,8329117628218408.0,1.0742800734156688e+16,9.48867e-19,136760000000.0,5731165000000000.0,1.0872025e+16,5.80606e+16
AL_3,294.0,,,,9075180472576926.0,1.237902271971264e+16,4.28644e-07,67034973323.25,4701790000000000.0,1.26e+16,6.72608e+16
AL_4,294.0,,,,7108730023428300.0,9852745481001098.0,3.06609e-15,2181340241.25,4022525000000000.0,9329152500000000.0,6.42165e+16
AL_5,294.0,,,,7549281815106819.0,1.0860665178092906e+16,7.12733e-11,20500952202.5,4252775000000000.0,9507870000000000.0,5.69424e+16
AL_6,294.0,,,,7532068401897808.0,1.101914906744941e+16,6.57309e-11,1644656914.0,3276245000000000.0,9869507500000000.0,6.86022e+16
AL_7,1787.0,,,,7383028231326425.0,1.1710260333016686e+16,1.08655e-05,25827388127.0,1646530000000000.0,9999105000000000.0,7.69525e+16
AL_8,1787.0,,,,6639797168492757.0,1.0739711027094206e+16,1.1742200000000001e-23,4388815610.5,1663460000000000.0,9100485000000000.0,7.78038e+16
AL_9,1787.0,,,,7735903562237465.0,1.2008726956156916e+16,5.22097e-19,7751074172.5,2600420000000000.0,1.00761e+16,7.72388e+16
AL_10,1787.0,,,,6892823862396695.0,1.1366518613329504e+16,1.21652e-17,1041836920.0,651097000000000.0,8997300000000000.0,7.55818e+16
AL_11,1787.0,,,,7072735866358966.0,1.1226605949756158e+16,1.4752e-20,2441753426.0,1232610000000000.0,1.001695e+16,7.13626e+16
AL_12,1787.0,,,,6225286721945449.0,1.0536119564155358e+16,1.00668e-16,831812514.0999999,648031000000000.0,8039685000000000.0,6.61776e+16
AL_13,1787.0,,,,6998346809547769.0,1.0945349270910866e+16,2.36635e-15,17291326161.0,1685730000000000.0,9153500000000000.0,7.37642e+16
AL_14,1787.0,,,,7167896918656508.0,1.1047344494158862e+16,1.64986e-12,15195703359.0,2284750000000000.0,1.000118e+16,6.47449e+16
AL_15,1787.0,,,,6247051066038897.0,1.0788551742864114e+16,4.7877899999999994e-20,7215021701.0,493471000000000.0,8354585000000000.0,7.79655e+16
AL_16,1056.0,,,,8099783618654911.0,1.1420968303341018e+16,0.031095412,118835250000.0,3465970000000000.0,1.14752e+16,7.62626e+16
AL_17,1056.0,,,,8589386404353174.0,1.2195598468380838e+16,3.75644e-26,43451057635.75,3775525000000000.0,1.2693825e+16,7.6098e+16
AL_18,1056.0,,,,6716547688228336.0,1.0706905121251624e+16,9.91124e-18,221389723.70000002,1106685000000000.0,9284777500000000.0,6.89693e+16
AL_19,1056.0,,,,7582314389898903.0,1.1378638735008236e+16,1.05628e-10,8859869783.75,2650425000000000.0,1.0818975e+16,7.5888e+16
AL_20,1055.0,,,,6296999073858558.0,1.0134801909066702e+16,5.5494400000000004e-18,663339020.2,798245000000000.0,8854680000000000.0,5.97974e+16
AL_21,1055.0,,,,7105681569854047.0,1.096950824025788e+16,1.57157e-17,1414891818.0,1962080000000000.0,9995885000000000.0,7.60306e+16
AL_22,1055.0,,,,7037970107324622.0,1.1207863755465488e+16,3.84552e-20,580308697.0,1402580000000000.0,9371930000000000.0,7.04164e+16
AL_23,1056.0,,,,8304663001201451.0,1.1875998855406696e+16,8.41033e-38,132300000000.0,3272865000000000.0,1.19096e+16,7.0196e+16
AL_24,1055.0,,,,7848703705410318.0,1.2370241350738868e+16,2.49302e-20,572894094.6500001,2582140000000000.0,9693160000000000.0,6.98816e+16
AL_25,1055.0,,,,6703704258823767.0,1.0620933179720176e+16,6.093309999999999e-39,291942799.35,938227000000000.0,9116365000000000.0,6.74565e+16
AL_26,1846.0,,,,8812586035859221.0,1.2010807207935456e+16,4.14337e-21,159307500000.0,4487910000000000.0,1.2600225e+16,7.59277e+16
CAT_1,1846,30,gnomADe_NFE,454,,,,,,,
AL_27,252.0,,,,90095000000005.72,817171321583622.4,0.0,0.0,10.0,10.0,8762160000000000.0
AL_28,252.0,,,,1.3622930182903788e+16,1.18953241144641e+16,74241754379.0,4884082500000000.0,1.074745e+16,1.86536e+16,7.17178e+16
AL_29,252.0,,,,198999996031751.9,2893541611489986.5,0.0,0.0,10.0,10.0,4.57972e+16
AL_30,252.0,,,,8446458827808620.0,1.130337655719389e+16,3.28664e-11,7143614601.25,4042650000000000.0,1.23069e+16,4.95831e+16
AL_31,252.0,,,,655862261904766.8,3795560587437644.0,0.0,0.0,10.0,10.0,4.26636e+16
