kolon,aykiri_sayisi,aykiri_yuzdesi,min,max,ortalama,medyan,std
EK_2,851,33.09,-5.50666e+16,6.15017e+16,9383307610691118.0,5211620000000000.0,1.5413631162265372e+16
AL_304,383,23.47,0.0,6.19226e+16,2807168804534316.0,10.0,7386275892279784.0
EK_1,594,23.09,617.0,6.1632e+16,1.05987849668857e+16,5408700000000000.0,1.5485060843796136e+16
EK_7,445,17.3,-4.93264e+16,7.96684e+16,1.014436281292575e+16,7603955000000000.0,1.5163139749692288e+16
AL_243,117,11.24,2.8515700000000003e-18,7.69572e+16,7029995771900949.0,239617000000000.0,1.1821809926107942e+16
AL_331,178,10.91,4.54205e-20,7.28415e+16,6313425548632639.0,204401000000000.0,1.092330360287814e+16
AL_67,165,10.9,2.4939499999999998e-22,7.80614e+16,6378250393483315.0,476284000000000.0,1.0763331124599522e+16
AL_106,160,10.77,1.17092e-17,7.02528e+16,6485211055545406.0,282491000000.0,1.129005662355625e+16
AL_291,112,10.76,4.27915e-20,7.7921e+16,7240122774745817.0,1543340000000000.0,1.1811878423744436e+16
AL_235,110,10.57,1.85344e-23,7.5373e+16,6741194806195984.0,1310630000000000.0,1.1168612945695908e+16
AL_302,171,10.48,1.833e-15,7.39574e+16,7016465248487371.0,480128500000000.0,1.174355728789635e+16
AL_311,171,10.48,5.71324e-30,7.07305e+16,6602915173633236.0,706858500000000.0,1.107699926072264e+16
EK_9,243,10.46,-5.87473e+16,7.99852e+16,9841617258813224.0,7764395000000000.0,1.5041625634559196e+16
AL_109,154,10.36,3.87824e-20,7.57455e+16,6709982685616613.0,961926500000000.0,1.1463662628254832e+16
AL_181,153,10.3,9.72039e-12,7.79636e+16,7447360881311547.0,2091600000000000.0,1.1749533222978312e+16
AL_70,155,10.24,4.34572e-13,7.68143e+16,6852459835489402.0,643631500000000.0,1.1649420852885524e+16
AL_24,108,10.24,2.49302e-20,6.98816e+16,7848703705410318.0,2582140000000000.0,1.2370241350738868e+16
AL_10,182,10.18,1.21652e-17,7.55818e+16,6892823862396695.0,651097000000000.0,1.1366518613329504e+16
AL_115,149,10.03,6.3831e-08,7.59852e+16,6956192826676636.0,867135500000000.0,1.1777218651046122e+16
AL_279,104,9.99,1.11442e-13,6.65492e+16,7337053159066629.0,1707230000000000.0,1.1803419618985768e+16
AL_22,105,9.95,3.84552e-20,7.04164e+16,7037970107324622.0,1402580000000000.0,1.1207863755465488e+16
AL_319,162,9.93,4.63288e-20,7.74096e+16,6876111267017874.0,400738500000000.0,1.1473039390993872e+16
AL_13,177,9.9,2.36635e-15,7.37642e+16,6998346809547769.0,1685730000000000.0,1.0945349270910866e+16
AL_46,149,9.84,1.8067000000000003e-25,7.47248e+16,6814595174769579.0,1345615000000000.0,1.0950878483485784e+16
AL_219,102,9.8,1.39087e-18,6.93705e+16,6757065244635219.0,1643870000000000.0,1.100269019261851e+16
AL_49,148,9.78,1.1420499999999999e-27,6.80288e+16,6495820728481654.0,603533500000000.0,1.0892824131093298e+16
AL_58,147,9.71,1.32643e-17,6.68484e+16,7351972521281420.0,1632960000000000.0,1.1668004840033294e+16
AL_207,101,9.7,6.70208e-15,7.73569e+16,6713274287223077.0,355909000000000.0,1.1809463747994622e+16
AL_136,144,9.69,5.11851e-32,7.65787e+16,6975083152034680.0,1454035000000000.0,1.1232954740930118e+16
AL_255,99,9.51,2.7459e-18,7.39148e+16,6667265607524703.0,1030770000000000.0,1.1328556559522906e+16
AL_130,141,9.49,4.2125600000000003e-19,7.6807e+16,6951416353447189.0,1174550000000000.0,1.1074457214442694e+16
AL_9,168,9.4,5.22097e-19,7.72388e+16,7735903562237465.0,2600420000000000.0,1.2008726956156914e+16
AL_154,139,9.35,4.90352e-13,7.40702e+16,6502651610568439.0,798946000000000.0,1.0683964365980788e+16
