,korelasyon
AL_83,-0.21185228321440658
AL_92,-0.1727386288219258
AL_184,-0.16794577761922747
AL_77,-0.16483877428097388
AL_215,-0.14052702911074147
EK_8,0.14023322344739012
AL_188,-0.13917549362801102
AL_73,-0.13558910471134838
AL_157,-0.1352768833046124
AL_26,-0.13416132216038995
AL_124,-0.12742534655189702
AL_296,-0.12730629457692996
AL_287,-0.12210335586626735
AL_266,-0.12113040974214252
AL_224,-0.11999936623172379
AL_260,-0.11868163094785676
AL_14,-0.11816924529284036
AL_79,-0.11742223848269925
AL_118,-0.11622156928585615
AL_178,-0.11347055748587992
AL_16,-0.10971129237775519
AL_262,-0.1092488567648894
AL_95,0.10713781002566346
AL_327,-0.10653041890131482
EK_3,0.10374186531660837
AL_94,-0.10365764857180945
AL_1,-0.10105927460451396
AL_93,-0.09978128230799393
AL_172,-0.09955677354827978
AL_186,-0.09563341329520154
AL_82,-0.09529651920888497
AL_4,0.09339379889378006
AL_24,-0.09177679804965175
AL_136,-0.09034331212836551
AL_271,-0.08728931441585867
AL_64,-0.0872056457308042
AL_19,-0.08665779151517239
AL_40,-0.08541034429070118
AL_251,-0.08365597641198971
AL_169,-0.08361909339333713
AL_226,-0.08350875025725409
AL_88,-0.08049448089093497
AL_211,-0.08024590136629649
AL_42,-0.08014536256539959
AL_8,-0.07945407163381861
AL_115,-0.07893876635803213
EK_4,-0.07884746048243664
AL_32,0.07825661665183808
AL_91,-0.07795562783903055
AL_163,-0.0760389172287396
AL_139,-0.07449167629331417
AL_15,-0.07194982678605927
AL_35,-0.07148853662033751
AL_194,-0.0714215032071203
AL_74,-0.07115580305949397
AL_108,-0.0699797220846586
AL_27,-0.06986842899292263
AL_61,-0.06917471269440652
AL_181,-0.06909474201894793
AL_306,-0.06815616085586271
AL_70,-0.06773237081934355
EK_2,0.06761879576346708
AL_166,-0.0674134893821353
AL_282,-0.06621708179381429
AL_103,-0.0656571792448311
AL_305,-0.06451184013890875
AL_255,-0.0643250057298011
AL_133,-0.06093918069998584
AL_144,-0.0606441971691696
AL_55,-0.059444503116895406
AL_121,-0.05917879249508858
AL_127,-0.05855151669241903
AL_17,-0.05840950076273515
AL_295,-0.05660746194309559
AL_10,-0.056576551059196276
AL_283,-0.055154955556635646
AL_86,-0.05464962147632975
AL_288,0.05420540529620313
AL_203,-0.05296092166251431
AL_142,-0.052766908181401444
AL_189,0.052230535517153634
AL_44,-0.05215477991387245
AL_156,-0.051861015183822606
EK_9,0.05170676847393578
AL_28,0.05147908273584577
AL_7,-0.049948417713934164
AL_43,-0.04976705812845873
AL_219,-0.04971167083315724
AL_135,-0.049374503986283534
AL_196,-0.04925313939716977
AL_232,-0.04837241590690514
AL_175,-0.0477846555446413
AL_257,0.047726702324025115
EK_7,0.04741005188260188
AL_275,-0.04699868098033187
AL_31,0.04682147746881662
AL_205,0.04631014332314551
AL_90,-0.04580889658092031
AL_229,-0.04531972666906279
AL_22,-0.04510916812342241
AL_273,-0.04496807622233265
EK_5,-0.0445541510015104
AL_154,-0.04442751064961215
AL_190,-0.04421755353375985
EK_6,-0.04380611958891325
AL_289,-0.04366932178057308
AL_5,0.04345230472106431
AL_290,0.04339377587108353
AL_222,0.043380349891457164
AL_171,-0.04321040492931601
AL_326,-0.04316301130167486
AL_207,-0.04269463339564053
AL_217,0.0424647744232513
AL_13,-0.04200361706669781
AL_313,-0.041993283508872166
AL_112,-0.04188223175153884
AL_53,-0.04175932494720288
AL_29,-0.04160372406530546
AL_23,-0.041523744560453116
AL_21,-0.04146329545696094
AL_99,-0.04140781044511918
AL_151,-0.04131712506607986
AL_328,0.04065939089286577
AL_160,-0.04035863417407621
AL_65,-0.040037485463558974
AL_50,-0.04003748546355546
AL_38,-0.03943555956386364
AL_12,-0.03933840795785744
AL_274,0.03900969266025405
AL_311,-0.038726596189163916
AL_120,-0.0385927807361857
AL_216,0.03848598670320193
AL_252,0.03807076657443473
AL_294,-0.03800814495394695
AL_210,-0.038008144953946936
AL_285,-0.03800814495394691
AL_240,0.03800814495394689
AL_227,0.03800814495394689
AL_269,0.03800814495394689
AL_267,0.03800814495394689
AL_204,0.03800814495394689
AL_200,0.03800814495394689
AL_230,-0.03759001308253563
AL_298,-0.037471046249127414
AL_60,-0.03721490828560016
AL_278,0.037158815001168466
AL_6,0.03704858279287161
AL_18,-0.036472801274841024
AL_147,0.03628140892010629
AL_297,0.036281212370597914
AL_323,-0.03581174854122052
AL_300,0.035805515433497435
AL_105,0.03548521223994604
AL_317,0.03503816455589795
AL_270,-0.03494969203470984
AL_102,-0.034849843716276516
AL_259,-0.03465062989685328
AL_286,0.03455103567026145
AL_98,0.03437403057519008
AL_72,-0.034269395417897135
AL_291,-0.03399958495686984
AL_66,-0.033966185071470756
AL_322,-0.033585427547515846
AL_201,-0.03343699662639327
AL_48,-0.033337656657016095
AL_187,-0.0328963110871278
AL_56,-0.032169371750597434
AL_123,-0.0320896494171833
AL_11,-0.03186530649742949
AL_106,-0.03154716390196554
AL_330,-0.031375413509626054
AL_141,-0.031099108398574656
AL_89,-0.03094170133036591
AL_177,-0.030939085274679465
AL_81,0.030830188462557032
AL_302,-0.030658279167857194
AL_41,-0.030224069560853276
AL_198,0.02964365999755875
AL_281,0.02963013864097928
AL_242,-0.0293159860758036
AL_63,0.029025999357289858
AL_234,0.02825849316017725
AL_258,-0.0282306432895799
AL_331,-0.028071624815289062
AL_209,-0.028001710662531824
AL_243,-0.027413610411075724
AL_214,0.0271831030077111
AL_162,0.027116477296738727
AL_261,0.026721500469703948
AL_84,0.026124173997475613
AL_301,-0.025959634395249627
AL_148,-0.025754299695157534
AL_159,0.02569997953176184
AL_9,-0.02568312027355535
AL_51,0.02540392112923824
AL_223,0.025298221281345974
AL_304,-0.025231437866242535
AL_71,0.025163246783508005
AL_126,-0.024667223355645473
AL_180,-0.024078415821268837
AL_30,-0.023907324341200253
AL_237,-0.023457103229059615
AL_218,-0.022793880596138842
AL_199,-0.022563391796777275
AL_247,-0.022087694336344884
AL_87,0.02188695406380064
AL_75,0.021886954063798602
AL_57,-0.021713724568743452
AL_329,0.021690963541190583
AL_54,0.021547630163409364
AL_33,0.0215396162994053
AL_293,0.021265022648280268
AL_39,0.021197666564233737
AL_165,0.020767864421724274
AL_49,0.020228148432652696
AL_183,-0.019567401956766147
AL_47,0.01951782892282578
AL_254,0.019445970068830126
AL_241,0.019147918161345732
AL_246,-0.018827911228527647
AL_228,0.01849373648695733
AL_132,0.018340135728510763
AL_62,0.018145825828091666
AL_318,0.018140455546432472
AL_321,0.01801876413262766
