ozellik_1,ozellik_2,korelasyon
AL_200,AL_204,1.0
AL_200,AL_227,1.0
AL_200,AL_240,1.0
AL_200,AL_267,1.0
AL_200,AL_269,1.0
AL_204,AL_227,1.0
AL_240,AL_269,1.0
AL_204,AL_240,1.0
AL_204,AL_267,1.0
AL_204,AL_269,1.0
AL_216,AL_252,1.0
AL_227,AL_240,1.0
AL_227,AL_267,1.0
AL_227,AL_269,1.0
AL_267,AL_269,1.0
AL_240,AL_267,1.0
AL_200,AL_310,-0.9803129992160609
AL_204,AL_310,-0.9803129992160609
AL_227,AL_310,-0.9803129992160609
AL_240,AL_310,-0.9803129992160609
AL_267,AL_310,-0.9803129992160609
AL_269,AL_310,-0.9803129992160609
