,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Variant_ID,388,388,VAR_000596,1,,,,,,,
AL_1,45.0,,,,0.02230328046461652,0.07286172031469267,0.0001800000000103,0.0011458665237307,0.0055800000000032,0.0166288103368476,0.48861
AL_2,45.0,,,,0.023320271431759593,0.049591053592823356,1.9404404449990708e-17,0.0007200022415618,0.0053572811720475,0.0202770794819288,0.2981700004546938
AL_3,45.0,,,,0.026159312779079257,0.0922572627015246,2.685167380351534e-12,0.0003252994576364,0.0028358755132557,0.0122140049535067,0.6148065973730192
AL_4,45.0,,,,0.022766486718867985,0.09179057884586825,4.999801335765212e-13,3.4068116803053987e-06,0.0011004352907735,0.0125140677058436,0.6136887900656858
AL_5,45.0,,,,0.021057366006890215,0.09572635997042166,6.359162242399417e-11,1.2272372156415111e-05,0.0009924490148887,0.0085994690833843,0.6432300258288657
AL_6,45.0,,,,0.02160342177595517,0.07050751827998221,1.2057916436009608e-25,5.713429112207472e-06,0.0012649706685336,0.0117460796066485,0.4573800756568887
AL_7,215.0,,,,0.01084393480780231,0.04823559864504795,6.156001064635772e-07,1.5096696565345435e-05,0.0004987937435882,0.00515627149850835,0.6749112108116243
AL_8,215.0,,,,0.010745700191375055,0.028957212254700757,2.051991347488103e-26,1.7145157003730187e-06,0.0003134129621452,0.00905699571577105,0.3384515580481493
AL_9,215.0,,,,0.00938250620222345,0.04629687231320719,3.504718027892914e-24,6.038235442033661e-07,0.0002214900562464,0.005290157010496999,0.6488956540229464
AL_10,215.0,,,,0.01123511851971793,0.04739284374297097,1.2880279421835166e-22,1.4734300114417719e-07,0.0001231524305755,0.0044399884555852,0.6474615813250701
AL_11,215.0,,,,0.01075093376564509,0.04227527474247776,6.052068575232878e-27,8.999705979722275e-07,9.79952496097712e-05,0.00574102070108915,0.5671233571418114
AL_12,215.0,,,,0.010524556564881311,0.0481518692892097,1.369790575496406e-35,5.868030496447588e-07,0.0001286270817017,0.0032688038496908,0.6619258683158312
AL_13,215.0,,,,0.009678518753788036,0.047533921209591636,1.0429798586909379e-40,5.637021405097329e-06,0.0001260278672473,0.0043010486043796,0.6729300221199946
AL_14,215.0,,,,0.008629344722598813,0.04404419516418746,6.266505583161081e-21,3.681054874207771e-06,0.00025515,0.0044234043921263,0.6258513149679529
AL_15,215.0,,,,0.011272306148372128,0.03673639295944466,1.0892699405357666e-21,3.982285158737708e-06,0.000232486516068,0.006466611514406801,0.45594
AL_16,122.0,,,,0.009558840723279425,0.05744203175984336,3.9668771990415824e-16,1.7752584909645067e-05,0.00029289007409335,0.003585958560387675,0.6310878082663411
AL_17,122.0,,,,0.012192548426253792,0.036068128991206226,4.226969318916427e-24,2.1724209733911503e-05,0.0007473850893843499,0.007866010675099575,0.3491592505089087
AL_18,122.0,,,,0.01230695792507124,0.0565011055273396,4.175381583931764e-23,9.610599678052613e-08,0.00015258550981875,0.004688527405343975,0.6030000000012425
AL_19,122.0,,,,0.013795680380927372,0.058886252968393726,2.7530967955510945e-35,1.4856935256365416e-06,0.0002774796987532,0.00827503493438235,0.6295688005447447
AL_20,122.0,,,,0.01444960726517615,0.060320722247691326,1.907916186714259e-27,3.829977965261893e-07,0.0007167536364217,0.00994468420612445,0.6488508286840476
AL_21,122.0,,,,0.014984652736365038,0.050133173661665566,1.9600171696043722e-22,4.2229182378944974e-07,0.00039437101280145,0.01092458773856745,0.5186210742494995
AL_22,122.0,,,,0.01315415371093551,0.06140456818096168,2.6161562167220922e-14,1.33448721795568e-06,0.0001309510624208,0.00533052635331545,0.6621300000023099
AL_23,122.0,,,,0.012837086711188517,0.06247539305324684,2.5560417413043186e-23,2.646000499923481e-05,0.00029017805496010004,0.00811049019607615,0.6764582529698601
AL_24,122.0,,,,0.012959763805865498,0.05429859688214103,8.760310713862864e-23,4.456878826381419e-05,0.0010795434436135002,0.01109972033461215,0.5869067025342959
