kolon,aykiri_sayisi,aykiri_yuzdesi,min,max,ortalama,medyan,std
AL_319,42,21.21,3.930334858036352e-31,0.6597756019837894,0.009322002431540072,4.438579893864432e-05,0.048648552129052766
AL_266,24,20.51,1.452352315223197e-23,0.6449258208813593,0.0173521037140468,0.0004082084299746,0.06252447189937779
AL_22,25,20.49,2.6161562167220922e-14,0.6621300000023099,0.013154153710935512,0.0001309510624208,0.06140456818096169
AL_115,37,20.22,5.343721294090626e-16,0.6598272512495715,0.01109877833691261,0.0002351773649267,0.05090523585909145
AL_154,36,19.67,3.498825096670583e-38,0.6460690277710707,0.015499703955824739,0.0002437093550268,0.052656382705925965
AL_157,36,19.67,7.187522691454313e-27,0.3626901734913517,0.010552266975023,0.0002523284614649,0.032008005820311825
AL_124,36,19.67,3.6603719313880844e-29,0.3726666137717519,0.011472176731331718,0.0002472639942532,0.0335314868843125
AL_12,42,19.53,1.369790575496406e-35,0.6619258683158312,0.01052455656488131,0.0001286270817017,0.0481518692892097
AL_109,35,19.13,1.2624656789887389e-17,0.7225473411850679,0.01291172213709905,0.0002619670078107,0.055872408407818056
AL_148,35,19.13,1.0475555148400463e-16,0.6498430476212607,0.013438418755543467,0.0003347985091363,0.05172917075759284
AL_13,41,19.07,1.0429798586909379e-40,0.6729300221199946,0.009678518753788041,0.0001260278672473,0.047533921209591636
AL_10,41,19.07,1.2880279421835166e-22,0.6474615813250701,0.011235118519717932,0.0001231524305755,0.04739284374297097
AL_55,46,19.01,3.686862433047137e-20,0.6631064314951169,0.010271558524077922,0.0002273131297747,0.04514420473152703
AL_73,46,19.01,1.9699407590730453e-34,0.6429810281418848,0.010323691681331638,0.00021606190661714998,0.043849613685154255
AL_18,23,18.85,4.175381583931764e-23,0.6030000000012425,0.012306957925071242,0.00015258550981875,0.056501105527339605
AL_243,22,18.8,1.3540956211388205e-17,0.6647652888269016,0.01318331828220458,0.0001290945288077,0.06290879659120707
AL_230,22,18.8,3.7903637689394943e-20,0.6670777670447986,0.01681119467208816,0.0003103005964585,0.06432267389046056
AL_70,45,18.6,9.08753593314934e-31,0.39218352105441,0.009582106602762673,0.00014849972547345,0.030852104398202004
AL_121,34,18.58,5.821162379338976e-10,0.6683421922837255,0.010642499367460475,0.0002193737102722,0.05185099361077079
AL_100,34,18.58,2.2301930608372082e-17,0.3918614060295551,0.01275042290449179,0.0007794247620184,0.035088486426457975
AL_331,36,18.18,1.584063998386737e-25,0.4567483230747201,0.009275462313881253,0.00019498375971499998,0.03660635774056839
AL_142,33,18.03,1.4505011007683309e-21,0.4727716843506779,0.012354375000813309,0.0003107764580078,0.039998745760366564
AL_175,33,18.03,1.5603035289238794e-22,0.342715785221855,0.00919883989175157,0.0002050716726421,0.029672939408322056
AL_16,22,18.03,3.9668771990415824e-16,0.6310878082663411,0.009558840723279427,0.00029289007409335,0.05744203175984336
AL_169,33,18.03,1.3868313440216713e-21,0.5274698269801047,0.009905777349836106,0.0001449766621364,0.04218963730372602
AL_181,33,18.03,7.7192260238040365e-28,0.4013078216215412,0.01186788905108239,0.0003292207678375,0.034824178344464295
AL_21,22,18.03,1.9600171696043722e-22,0.5186210742494995,0.014984652736365036,0.00039437101280145,0.050133173661665566
AL_172,33,18.03,1.712902966348728e-36,0.640502069508715,0.012177028180485385,0.0002239829407058,0.05027420837722467
AL_194,21,17.95,3.8888940171467096e-26,0.6453496868184603,0.013080340393320792,0.000587685592685,0.06114188318327404
AL_275,21,17.95,8.509699729954496e-29,0.5767224668484604,0.01402909389404634,0.0001669729684666,0.05593987922318017
AL_247,21,17.95,1.296927811468394e-13,0.6644877095027508,0.013577876041508456,0.0002191072665501,0.06332179937295963
AL_279,21,17.95,1.2951329809410851e-20,0.6588232338699482,0.01597689406429179,0.0005218288795076,0.06372647414131159
AL_3,8,17.78,2.685167380351534e-12,0.6148065973730192,0.026159312779079257,0.0028358755132557,0.09225726270152458
AL_2,8,17.78,1.9404404449990708e-17,0.2981700004546938,0.023320271431759593,0.0053572811720475,0.049591053592823356
AL_302,35,17.68,5.24419901624122e-39,0.6029809416665199,0.01334757913828535,0.0002840365039432,0.04698346819422969
AL_7,38,17.67,6.156001064635772e-07,0.6749112108116243,0.010843934807802312,0.0004987937435882,0.04823559864504795
AL_11,38,17.67,6.052068575232878e-27,0.5671233571418114,0.010750933765645095,9.79952496097712e-05,0.04227527474247776
AL_133,32,17.49,1.8161915691689602e-12,0.7122471458742253,0.011774617975074807,0.0003237687229884,0.05508658744640492
AL_106,32,17.49,1.8326863872777008e-33,0.5973040713940204,0.012510975644956254,9.054979690599383e-05,0.04787024352798244
AL_79,24,17.27,1.8342000000005488e-06,0.5798733932728521,0.012834618101085644,0.0002665810095367,0.05226783244588687
AL_97,24,17.27,1.393825888435406e-26,0.4686468860150102,0.01062021376134756,0.0002623709093895,0.04312322261143505
AL_190,20,17.09,1.3041321050235773e-23,0.3352594522666806,0.009831977869797419,0.0002336253934266,0.03448744521631441
AL_235,20,17.09,6.29646719602689e-17,0.6434021354758924,0.01378826541146094,0.0002746976849508,0.061608915126086954
AL_163,31,16.94,8.012904284445351e-23,0.4653712994574396,0.008794977021907133,0.0001113436400115,0.037177603067937194
AL_139,31,16.94,8.890553860688825e-29,0.6458634443637651,0.011799165001805124,0.0003262633946563,0.05054992381646203
AL_127,31,16.94,6.3696031180172565e-28,0.6237624748076103,0.015126212525538642,0.0006285177735885,0.05054922032351976
AL_67,41,16.94,5.6831413097652434e-27,0.3903224563601931,0.0075236563774082835,8.525166910667645e-05,0.029020969767629207
AL_103,31,16.94,5.47470001137251e-07,0.6375607881862031,0.010828250546231297,0.000341903260896,0.0492089586693497
AL_130,31,16.94,4.90434962531046e-16,0.6540305058947141,0.01178058586148558,0.0003070758075121,0.050839707146117505
AL_64,41,16.94,3.156188014068365e-29,0.683287246997053,0.010755491204849425,0.0004714107706521,0.046529104847420295
AL_15,36,16.74,1.0892699405357666e-21,0.45594,0.011272306148372132,0.000232486516068,0.03673639295944466
AL_14,36,16.74,6.266505583161081e-21,0.6258513149679529,0.008629344722598811,0.00025515,0.04404419516418746
AL_58,40,16.53,5.979007211939719e-28,0.5214071856312792,0.008743366918190843,0.00019743972167225,0.036264841357639556
AL_61,40,16.53,1.0564548075676945e-21,0.5951849609194042,0.009360089291264454,0.0001513734759887,0.04060625026582848
AL_52,40,16.53,4.0304014298207195e-34,0.5603315343727023,0.013605860706479355,0.00036180662224594997,0.041539285925085594
AL_19,20,16.39,2.7530967955510945e-35,0.6295688005447447,0.013795680380927374,0.0002774796987532,0.058886252968393726
AL_25,20,16.39,7.631425070696536e-39,0.5175818884981543,0.014537384359565081,0.0002492314406435,0.051246196013224166
AL_166,30,16.39,3.1543521670138306e-25,0.5240623575766972,0.011111430757275696,0.0001214874861771,0.042546820686365984
AL_211,19,16.24,1.1103191218261938e-22,0.663656177322647,0.011558396383412663,0.0002801246483126,0.06218515292740513
AL_255,19,16.24,1.6374152921031995e-28,0.450485305831616,0.0102010571359581,0.0001514416765436,0.04491566801570856
AL_239,19,16.24,9.990586576097966e-16,0.5138343025067003,0.01351091178442622,0.0001174651551701,0.051174354971371114
AL_311,32,16.16,1.5266285727053523e-27,0.647547359610653,0.010933468021934865,0.0001690622399926,0.048093697308860074
AL_323,32,16.16,8.004757162926942e-23,0.6728238001571013,0.012227600393312431,0.0004094968502796,0.050902599644144814
AL_40,39,16.12,7.1166952428405805e-22,0.2837514750982894,0.008462771607816858,0.00018189909491845,0.023943520193027396
AL_215,14,15.91,2.106985534517934e-05,0.663654600019012,0.01898143980224574,0.00094000584130205,0.07264716108745675
AL_160,29,15.85,1.1138956250202069e-15,0.6542103580578238,0.010567209485110156,0.0001782773810101,0.050539015113007825
AL_136,29,15.85,1.5765714471947122e-24,0.3529086081160045,0.009698384272610333,0.0004133828775278,0.03146538445821445
AL_85,22,15.83,1.4804480238073675e-25,0.5221329234701849,0.015302336742268106,0.0004264848766026,0.04900848690173911
AL_76,22,15.83,3.828061622803599e-23,0.3456234203151167,0.009859366951531395,0.000377815180553,0.03356154480700356
AL_26,35,15.77,2.2445474178527202e-14,0.675855692935607,0.01280377383414853,0.000815929067846,0.04903106993991382
