,korelasyon
AL_3,0.5355679200174005
EK_9,0.5268212651944103
AL_34,0.525255597820834
EK_7,0.5124096600021988
AL_4,0.47720950968055265
AL_5,0.46569559534116783
AL_1,0.46444070215183775
AL_32,0.461889420310204
AL_36,0.45635418381729437
EK_6,0.45627450769971645
AL_28,0.4527944502126864
EK_2,0.4525248967156718
AL_6,0.44999672223800163
EK_4,0.44736836132408997
AL_38,0.43466152776917016
AL_2,0.4084850069248809
EK_3,0.39289480601485727
EK_5,0.37751754113738084
AL_30,0.36849122502380605
EK_8,0.3513966685015592
AL_77,-0.32474755980875336
AL_35,0.28150161972226634
AL_168,-0.27814309291987643
AL_33,-0.2755699103861016
AL_209,0.25546679642390496
AL_31,0.25323245913323505
AL_27,-0.25170184955372416
AL_68,0.22960920343018737
AL_92,-0.21302033661329983
EK_1,0.21042594039359475
AL_183,-0.2047709336617379
AL_201,0.1996145890063413
AL_242,-0.19189174593425853
AL_138,-0.19021420714352535
AL_250,0.19002566907327947
AL_24,0.1655245581458571
AL_99,-0.16540509938298154
AL_29,0.1635438297074232
AL_189,-0.16353605513040412
AL_83,-0.16328476554503168
AL_60,-0.16211401116242458
AL_50,0.1612389993432808
AL_86,-0.15970845374977038
AL_95,0.15960495403793326
AL_322,-0.1543734823155384
AL_258,-0.15246691520609176
AL_89,-0.15095518205448658
AL_246,-0.14871817077534474
AL_117,0.14854691060271405
AL_235,0.1441964400609966
AL_219,0.1436816320443628
AL_53,0.14356965239285546
AL_225,-0.1405501940749703
AL_65,-0.14000058126467627
AL_277,0.13917275553197025
AL_203,0.1390901522615834
AL_22,0.1350498223301171
AL_199,0.1348590207160365
AL_193,-0.13452626600288348
AL_25,0.13400297724525925
AL_260,0.13377833756451155
AL_207,0.13103333322974314
AL_234,-0.1277720954102972
AL_59,0.12751534261266814
AL_62,0.12751534261266723
AL_241,-0.12625460054747384
AL_215,0.12614487181213832
AL_84,-0.12606979815319597
AL_82,0.12426815415701006
AL_188,0.12357718793891209
AL_154,0.12333168236481697
AL_159,-0.12328369968444935
AL_194,0.1218079239565387
AL_72,-0.12169658361218953
AL_19,0.12093047865399699
AL_16,0.12054775729116504
AL_224,0.1186769673350262
AL_187,-0.11723755909923263
AL_264,-0.11702567942653806
AL_91,0.11685574289334909
AL_81,-0.11621210012270503
AL_20,0.11479124545021795
AL_287,0.11427559124098151
AL_135,-0.11410125017309908
AL_165,0.11037731498146264
AL_247,0.11035328624748492
AL_17,0.11032619127374521
AL_245,-0.10888760851438824
AL_98,-0.10785933896835796
AL_286,-0.10696016169806496
AL_123,-0.10632174587846746
AL_88,0.10618999246769664
AL_147,-0.10347539833579675
AL_295,-0.10236502672046868
AL_96,-0.1023389872978074
AL_18,0.10201074936798996
AL_232,-0.10036195573796267
AL_254,0.09999163549337492
AL_211,0.0999230591221587
AL_278,-0.09775136936746502
AL_75,-0.09764967525970618
AL_141,0.09684063682129589
AL_178,0.09643175547770212
AL_102,-0.09554597701149455
AL_162,-0.09554597701149452
AL_190,0.09536030344092
AL_305,-0.09269289729177314
AL_174,-0.0914871650082566
AL_255,0.09006874785451817
AL_41,0.08997970061981342
AL_97,0.08887588246429852
AL_275,0.08672761803327773
AL_139,0.08636366583448962
AL_23,0.08606060925773808
AL_238,0.08598922577242725
AL_180,-0.08518031958323834
AL_243,0.08509800939748645
AL_56,-0.08353731289312201
AL_279,0.08327488887385943
AL_328,0.08311758820849119
AL_63,-0.08257663766553376
AL_112,0.08188082821154621
AL_156,-0.08179867126401175
AL_281,0.08167870457469212
AL_229,0.08167870457469202
AL_283,0.08157880279779899
AL_262,0.08131143878033692
AL_297,-0.08128672284537215
AL_285,-0.08115855439619071
AL_192,-0.08108251006845367
AL_48,0.08091347538157596
AL_293,-0.08026204396345199
AL_74,0.08014215013114057
AL_124,0.08000365077349429
AL_13,0.07875166803162463
AL_21,0.07777800131718986
AL_230,0.07766717997763632
AL_45,-0.07748853245602431
AL_266,0.0762864199183934
AL_132,-0.07602727436821875
AL_15,0.0758373295444773
AL_172,0.07510158609374304
AL_108,-0.07363505747126455
AL_315,0.07352919018311198
AL_291,0.07305475964926664
AL_222,-0.07275625614578043
AL_237,0.0721542053727096
AL_7,0.07207295965547297
AL_308,0.07186572064107148
AL_71,0.06942126208331005
AL_145,0.06859602174799415
AL_148,0.06688062710815557
AL_106,0.06645509157962472
AL_177,-0.06564925270139249
AL_251,0.0656299826873626
