ozellik_1,ozellik_2,korelasyon
AL_5,AL_109,0.9947948549684433
AL_5,AL_28,0.991532221443968
AL_4,AL_163,0.9912138632413217
AL_5,AL_145,0.9898954741101794
AL_36,AL_88,0.9898390103033148
AL_28,AL_235,0.9897658216568066
AL_5,AL_235,0.9894230572726971
AL_4,AL_28,0.989339962736907
AL_5,AL_88,0.9890413154554266
AL_4,AL_82,0.9886272273537796
AL_5,AL_23,0.9880666022092837
AL_5,AL_133,0.9879359485932279
AL_36,AL_133,0.9878838470144815
AL_36,AL_235,0.9878384592331353
AL_4,AL_203,0.9877067105098571
AL_5,AL_16,0.9874842673550064
AL_36,AL_121,0.9874089059562292
AL_5,AL_160,0.987310709345551
AL_16,AL_36,0.987269250839426
AL_16,AL_28,0.9871085125542876
AL_36,AL_145,0.9864149526549093
AL_4,AL_219,0.9863822894390138
AL_28,AL_215,0.9863057229006178
AL_7,AL_36,0.9862473624473962
AL_28,AL_327,0.9861367422864685
AL_5,AL_243,0.9859971351747002
AL_5,AL_64,0.9858646051260036
AL_23,AL_36,0.9857606764543723
AL_24,AL_28,0.9854807534373683
AL_28,AL_251,0.9854587897236519
AL_28,AL_145,0.9852639607373237
AL_36,AL_64,0.9851967466811064
AL_28,AL_88,0.9849882807316801
AL_4,AL_16,0.9847992542567798
AL_28,AL_287,0.9846638703109498
AL_5,AL_36,0.9845649009542018
AL_1,AL_130,0.9843536697273102
AL_5,AL_118,0.9843279443483977
AL_4,AL_235,0.9843099876062547
AL_1,AL_109,0.9840174721122036
AL_5,AL_319,0.9840168032525434
AL_28,AL_109,0.9840032231041408
AL_5,AL_172,0.9839992473494897
AL_5,AL_7,0.983891040810195
AL_32,AL_172,0.9834945262397209
AL_28,AL_82,0.9834158090196033
AL_4,AL_319,0.9834010341938838
AL_4,AL_5,0.9831825789416928
AL_28,AL_133,0.983088911067452
AL_28,AL_163,0.9830589762302837
AL_4,AL_36,0.9829983749130812
AL_4,AL_327,0.982993175130403
AL_4,AL_11,0.9829527967559339
AL_5,AL_279,0.9827932044991179
AL_28,AL_64,0.9827773654897554
AL_28,AL_172,0.982764502071086
AL_23,AL_28,0.9827565541672646
AL_22,AL_28,0.9827502922377388
AL_36,AL_211,0.9826744594973904
AL_5,AL_283,0.9826267755086201
AL_4,AL_118,0.9824948134918411
AL_3,AL_24,0.9824780614861164
