,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Variant_ID,372,372,VAR_003119,1,,,,,,,
AL_1,14.0,,,,0.0003469998590586357,0.0002100512809708884,0.0001807128561271,0.00019813697063045,0.0002996351391369,0.0004055392220965,0.0009439980685496
AL_2,14.0,,,,0.0005578428103044341,0.0008479343432652402,7.261573788697505e-11,4.990611757872963e-06,6.654349572203436e-05,0.000779645405863,0.0027000000001917
AL_3,14.0,,,,0.00028537446410667006,0.0005285698106909137,5.684994612637175e-09,5.169633968260996e-06,2.299421620576569e-05,5.179898440523786e-05,0.0012603202152941
AL_4,14.0,,,,0.00036850882527840126,0.0005620038331818338,6.840729179251077e-12,1.4674091068222028e-09,3.3197744026594316e-05,0.000787685885780375,0.001800358878516
AL_5,14.0,,,,0.000156755488967678,0.00033383470126796994,2.9720642910885917e-10,2.636846348116138e-07,4.089026922738081e-06,4.966793734660444e-05,0.000948280082158
AL_6,14.0,,,,0.00022430127392177607,0.00037235974514678326,2.999972113151407e-09,3.2481757400694975e-07,2.186199079678354e-05,0.00020466505868088972,0.0009019647572102
AL_7,220.0,,,,3.1289324923533146e-05,0.00010587645479568462,1.655985205602987e-07,1.2325894185150744e-06,5.1652265626132795e-06,2.160073271604775e-05,0.0012348
AL_8,220.0,,,,0.00017924471088825035,0.0006106876625114782,3.967431906131441e-37,2.886663983921199e-09,3.5096660809007194e-06,8.069086806618412e-05,0.0056906542138238
AL_9,220.0,,,,1.7657024354516166e-05,6.154520699068851e-05,1.6830508348526076e-28,2.4850191827862097e-11,7.129415927925596e-08,1.0397293897596095e-05,0.0006843640385051
AL_10,220.0,,,,0.00012430363449413454,0.000606018194425716,5.183139986517424e-36,1.7576711623477795e-09,3.410017002611191e-07,1.3765641759199091e-05,0.0069256293831158
AL_11,220.0,,,,0.0003315963223681819,0.000760447916326045,1.7836018850172085e-21,3.3803708891086055e-08,1.275408903083079e-05,0.000219651642404225,0.0056242051677657
AL_12,220.0,,,,1.3654567594836905e-05,4.9079397961407706e-05,1.0842390781593124e-28,4.038266378162921e-11,6.608547091113514e-08,4.6087841131070405e-06,0.000532758949997
AL_13,220.0,,,,3.368708844920428e-05,0.0001257295307634843,2.0841774022637484e-23,8.0957804081313e-07,3.833963363499382e-06,1.9679492334198572e-05,0.0014958
AL_14,220.0,,,,3.942353426029038e-05,0.00013865404221251112,6.001701787604565e-28,2.33943715053899e-09,2.148422151823631e-06,2.464770854411826e-05,0.0016695044332604
AL_15,220.0,,,,3.385677036126971e-05,0.0001503777092498122,1.7526084492025122e-28,9.567648619409477e-10,4.830660308000964e-07,1.766907860416722e-05,0.0020614811298178
AL_16,122.0,,,,5.8789002072430724e-05,0.00011141259853781234,5.910308305704661e-06,5.9283947735947775e-06,1.4381089482099692e-05,5.654926051681147e-05,0.0007745231166394
AL_17,122.0,,,,0.00012888084593132854,0.00032032380778940515,3.61214074056829e-23,8.194225222630164e-08,2.1708000036968837e-05,8.709911608820224e-05,0.0018599092020274
AL_18,122.0,,,,6.775619816645377e-05,0.00019997465067899528,1.1069269279556326e-25,4.3538886343558887e-10,6.884440789994259e-07,2.6190672686082494e-05,0.001159845042039
AL_19,122.0,,,,4.49528455146394e-05,0.0001463283317128409,4.431587437150436e-21,5.424852315567814e-09,1.6945885731274749e-06,4.257953169094431e-05,0.0014724266849197
AL_20,122.0,,,,0.00016178378543143043,0.0007255059380057664,7.561859858312276e-23,9.499862741167714e-11,3.159205611087101e-07,1.104076179309e-05,0.0059616004255679
AL_21,122.0,,,,0.00014536895756964464,0.0002934243279490474,2.7127110271982766e-20,1.1066376023485407e-08,3.549182212700343e-06,0.000173394237641675,0.0016183277451272
AL_22,122.0,,,,9.029792671853836e-06,3.736527238694328e-05,1.4390074573853627e-31,3.8722551996879794e-10,4.1094614816551316e-08,1.4523472578138452e-06,0.00033921
AL_23,122.0,,,,5.581760389801467e-05,0.00015433669038019708,2.9387268962007683e-14,7.59667857449833e-06,1.4730168932542718e-05,5.2805691837470776e-05,0.0014966096741603
AL_24,122.0,,,,6.19373572322759e-05,0.00018843866306641734,8.40983520052418e-22,5.664534612830998e-10,7.3754954707264e-07,1.0807848560540061e-05,0.0008911681447337
AL_25,122.0,,,,4.470032571426757e-05,0.00017276576326652094,4.251113540877084e-20,4.9816309870071e-10,4.980150929741318e-07,1.367237441884641e-05,0.0018039277264664
AL_26,237.0,,,,0.0003535029551183053,0.0007737994892996167,1.4197647349397677e-12,2.171061842000427e-05,6.261549092681009e-05,0.0002556762399074,0.0067503853902951
CAT_1,237,24,gnomADe_NFE,66,,,,,,,
AL_27,14.0,,,,0.8006910386140035,0.354406083166071,0.0,0.8136720826420207,1.0,1.0,1.0
AL_28,14.0,,,,0.00036880145055068577,0.00022728640661537244,0.000179712460725,0.000196436856272975,0.00024827844190885,0.0005298383014558749,0.0009132606964387
AL_29,14.0,,,,0.36818549190238625,0.42470739456254447,0.0,0.0,0.12795882229438627,0.8069753715191355,1.0
AL_30,14.0,,,,0.0004651877979368092,0.000860477148258096,2.918343234438815e-13,1.0194279909822796e-08,3.0183090322955553e-06,0.000601316361595975,0.0027231869724396
AL_31,14.0,,,,0.23956238422199866,0.3787890811776257,2.874489817858287e-13,0.006211131671364575,0.08515808403736555,0.09932142006815492,0.999999999999965
AL_32,14.0,,,,0.000327460494517784,0.0005638529441450016,3.450541616925876e-09,2.432803579931703e-05,4.95672273547943e-05,0.000134629521885225,0.0014887186312227
AL_33,14.0,,,,0.3115384740834504,0.4368937385953246,1.0739779305218414e-12,0.00844506482075965,0.0957672870576077,0.7000149343773623,1.0
AL_34,14.0,,,,0.00034555350835924366,0.0005570527761207218,4.679385020918971e-21,3.4064274609537595e-11,3.627857379087451e-05,0.0007110856658272,0.0018061963931961
AL_35,14.0,,,,0.18506645519842774,0.3297352927131986,3.0158650867560536e-19,0.0003136990173270153,0.0974793025963321,0.09999999999987799,0.999999966875452
AL_36,14.0,,,,0.0001497759367260269,0.0003407179353160803,2.582848487839988e-08,2.257624683152027e-06,1.3518286235385126e-05,3.784808081247769e-05,0.0010075680456383
AL_37,14.0,,,,0.24375830898407985,0.37891207178939196,2.3257869107791585e-06,0.008144497490068209,0.0941254096346539,0.09999999940857915,0.9999999999999998
