kolon,aykiri_sayisi,aykiri_yuzdesi,min,max,ortalama,medyan,std
AL_271,30,23.08,1.620641088740717e-26,0.0060908760036709,0.00014507098691520477,5.558359508498311e-08,0.0007667280045931897
AL_20,28,22.95,7.561859858312276e-23,0.0059616004255679,0.00016178378543143049,3.159205611087101e-07,0.0007255059380057663
AL_194,28,21.54,6.484088608721149e-33,0.0006311359377964,2.4168769022282906e-05,1.2069171425328697e-07,7.350716269990045e-05
AL_37,3,21.43,2.3257869107791585e-06,0.9999999999999998,0.24375830898407988,0.0941254096346539,0.37891207178939196
AL_38,3,21.43,6.003480170718168e-08,0.0009278186286187,0.00022589155581611897,2.382583451134208e-05,0.00038062720166033283
AL_32,3,21.43,3.450541616925876e-09,0.0014887186312227,0.000327460494517784,4.95672273547943e-05,0.0005638529441450016
AL_3,3,21.43,5.684994612637175e-09,0.0012603202152941,0.00028537446410667006,2.299421620576569e-05,0.0005285698106909138
AL_6,3,21.43,2.999972113151407e-09,0.0009019647572102,0.00022430127392177604,2.186199079678354e-05,0.00037235974514678326
AL_5,3,21.43,2.9720642910885917e-10,0.000948280082158,0.00015675548896767802,4.089026922738081e-06,0.00033383470126796994
AL_31,3,21.43,2.874489817858287e-13,0.999999999999965,0.23956238422199866,0.08515808403736555,0.37878908117762566
AL_27,3,21.43,0.0,1.0,0.8006910386140035,1.0,0.354406083166071
AL_106,43,21.29,2.2627821122579525e-24,0.0020610248060219,0.0001515658924336946,7.603279742463267e-07,0.000365483600258403
AL_25,25,20.49,4.251113540877084e-20,0.0018039277264664,4.4700325714267564e-05,4.980150929741318e-07,0.00017276576326652094
AL_10,45,20.45,5.183139986517424e-36,0.0069256293831158,0.00012430363449413454,3.410017002611191e-07,0.000606018194425716
AL_319,50,20.33,1.470043066881819e-21,0.0004925518802878,1.0346172067743082e-05,4.23735448274401e-08,4.273340602554779e-05
AL_279,26,20.0,8.0686326272049125e-28,0.0005378274000003,1.554022126527959e-05,5.776509430488109e-08,6.690914671785506e-05
AL_64,31,19.87,1.0871593205979177e-23,0.0012885795739842,5.849347560571394e-05,3.364108564217792e-07,0.000172872332833159
AL_100,40,19.8,6.125310451419513e-38,0.0025398331568015,0.00016763270208264934,9.571514858853681e-06,0.00040599179009757897
AL_22,24,19.67,1.4390074573853627e-31,0.00033921,9.029792671853833e-06,4.1094614816551316e-08,3.736527238694328e-05
AL_12,43,19.55,1.0842390781593124e-28,0.000532758949997,1.36545675948369e-05,6.608547091113514e-08,4.90793979614077e-05
AL_97,28,19.44,6.139100957353639e-26,0.0025146000000015,5.519068717650186e-05,1.0939902827637341e-07,0.00023472447311163446
AL_61,30,19.23,7.033674212549226e-46,0.0014754098360759,3.7200532651193426e-05,2.3270105439940695e-07,0.00014787951951877792
AL_24,23,18.85,8.40983520052418e-22,0.0008911681447337,6.19373572322759e-05,7.3754954707264e-07,0.00018843866306641737
AL_58,29,18.59,4.04034377929786e-41,0.0008054632524361,4.625174280131405e-05,6.282444825860675e-07,0.00012026200245307679
AL_46,29,18.59,5.810425323994458e-30,0.0065157871895772,0.00029751828603511804,3.7134280676636556e-06,0.0008741702417866281
AL_230,24,18.46,2.2922338836026453e-27,0.0008418484285132,2.7292812131559995e-05,8.170024377936138e-07,8.62144247357471e-05
AL_147,37,18.32,4.622434228133494e-19,1.0,0.23416703186023563,0.09997862927455325,0.3408447398333213
AL_49,28,17.95,1.3910952926033825e-25,0.0060590324448763,0.00034714934890743923,1.0223694725953493e-06,0.0010153695879755362
AL_243,23,17.69,4.9742105650881176e-24,0.0004992606000037,1.4954108127406398e-05,6.514025707559084e-08,5.9521491102811603e-05
AL_302,43,17.48,3.5998088807014896e-30,0.0036230606525274,0.00012116600108777909,6.549250956303905e-07,0.0003514353810250164
AL_70,27,17.31,1.3339150419658188e-36,0.0021351864340362,3.207790930129255e-05,1.396338692999934e-07,0.00018076164764569574
AL_331,42,17.07,7.642920322302087e-26,0.0020193701719598,2.7953821490240678e-05,2.0085501615288657e-07,0.0001401644239829595
AL_162,34,16.83,5.745316526877485e-15,1.0,0.17148251258215824,0.09770927474433069,0.2689736816283702
AL_124,34,16.83,5.0533493782737855e-27,0.004043902450152,0.00011885871023817195,8.072584158526869e-06,0.00041783082389659776
AL_40,26,16.67,7.537205400767727e-32,0.0020535985890062,0.00013514780381976136,4.000616350022469e-06,0.00032940264517935863
AL_26,39,16.46,1.4197647349397677e-12,0.0067503853902951,0.00035350295511830536,6.261549092681009e-05,0.0007737994892996167
AL_11,36,16.36,1.7836018850172085e-21,0.0056242051677657,0.0003315963223681818,1.275408903083079e-05,0.000760447916326045
AL_163,33,16.34,2.3617589168543907e-29,0.0021573000065361,3.324057796921722e-05,1.238419059597322e-06,0.0001638996494002454
AL_136,33,16.34,2.539170180398454e-25,0.0014301162027278,9.025899928112402e-05,1.0111613225099045e-05,0.00022095286606594607
AL_115,33,16.34,2.848777740468483e-29,0.0022398458507225,5.318085220657576e-05,5.900354881428274e-06,0.00021733364482331627
AL_235,21,16.15,2.8067926744363493e-23,0.0063108550807993,0.00016548467030525445,7.785294356831844e-07,0.000760289407274742
AL_207,21,16.15,7.112127546239085e-26,0.0006047496443717,2.1727811380985393e-05,1.7046132401173153e-07,7.186794913225507e-05
AL_193,21,16.15,3.4566335927733404e-27,1.0,0.19882023292894616,0.08036086133088025,0.34774396729891827
AL_52,25,16.03,2.3920130665225586e-22,0.0084061840614286,0.00040878582938236454,3.3313168972720415e-06,0.001059380813968511
AL_82,23,15.97,3.4791785475170734e-25,0.0007886951014289,3.4584383373229815e-05,1.531342526927941e-06,9.250105958920429e-05
AL_14,35,15.91,6.001701787604565e-28,0.0016695044332604,3.942353426029038e-05,2.148422151823631e-06,0.00013865404221251112
AL_311,39,15.85,1.3984262455254346e-23,0.0067196690554994,0.00011406261384136474,5.30328140441171e-07,0.0005530815630299691
AL_298,39,15.85,1.32369906498723e-23,0.0072812318856918,0.00017723016571562916,1.2084014168400189e-05,0.0005971665535147485
AL_109,32,15.84,1.1095832039111317e-23,0.0057879000535584,0.00011413224537165566,6.1476837690935915e-06,0.000512899338341446
AL_150,32,15.84,1.68849638279104e-22,1.0,0.17366027792704258,0.0998406202975926,0.2530064490928773
AL_17,19,15.57,3.61214074056829e-23,0.0018599092020274,0.00012888084593132854,2.1708000036968837e-05,0.00032032380778940515
AL_199,20,15.38,2.629990210041896e-34,0.005043105,0.0001488458881451659,9.151062047678146e-07,0.0006263632345794601
AL_67,24,15.38,3.9245873584879175e-27,0.0016257814918434,6.913146326181206e-05,6.439464942344818e-07,0.00019518939571213398
AL_260,20,15.38,6.005957902821178e-17,0.0006919821000125,4.357324228743526e-05,1.426687158245181e-05,8.9211459709757e-05
AL_211,20,15.38,8.940008218648303e-20,0.0012462498131074,4.466633840506199e-05,4.601977963537218e-06,0.0001341321713021777
AL_157,31,15.35,5.29978589493248e-28,0.0025894830120628,0.00014677299282827896,7.377797615079334e-06,0.00039057473258016334
AL_139,31,15.35,7.837919420099761e-33,0.0003148966935987,1.2837718387624376e-05,8.929079446440305e-07,3.51668483152765e-05
AL_186,41,15.02,7.6275000450211e-07,0.006658337590493,0.0003547171993957719,8.397440764797673e-05,0.0007937550651078917
AL_15,33,15.0,1.7526084492025122e-28,0.0020614811298178,3.3856770361269705e-05,4.830660308000964e-07,0.00015037770924981221
EK_3,29,14.95,-7.542330220794486,5.81,2.542272588320347,3.480102732859349,2.156625929755384
AL_121,30,14.85,7.951376172594914e-14,0.0014931002538234,3.693037863083565e-05,4.305310281587784e-06,0.00013071034887091455
AL_18,18,14.75,1.1069269279556326e-25,0.001159845042039,6.775619816645378e-05,6.884440789994259e-07,0.0001999746506789953
AL_306,36,14.63,1.663701751480189e-28,0.0008850294000054,1.8050711872445552e-05,9.402176340061094e-08,6.746904916452083e-05
AL_251,18,14.63,8.766414288885526e-06,0.0021288432979345,0.00019460484542984513,6.0394590000000175e-05,0.0003626878952360301
AL_262,19,14.62,3.871333528594827e-28,0.00194229,0.0001562988571014937,7.822160360046586e-06,0.00037029571964537165
AL_266,19,14.62,6.730864224358193e-22,0.0005900332667378,2.4443277168805563e-05,4.246391360568629e-07,7.003859046363653e-05
AL_84,21,14.58,2.0828945319154364e-20,1.0,0.17798621884958013,0.061966034501810346,0.33339300794230775
AL_174,29,14.36,1.4907911673793808e-22,1.0,0.13717542147583264,0.0928582828963514,0.21924080203096116
AL_141,29,14.36,2.9829325212063008e-24,1.0,0.14380295976773896,0.08985217213998725,0.24313463591514148
AL_2,2,14.29,7.261573788697505e-11,0.0027000000001917,0.0005578428103044342,6.654349572203436e-05,0.0008479343432652402
AL_35,2,14.29,3.0158650867560536e-19,0.999999966875452,0.18506645519842774,0.0974793025963321,0.3297352927131986
AL_30,2,14.29,2.918343234438815e-13,0.0027231869724396,0.00046518779793680923,3.0183090322955553e-06,0.000860477148258096
AL_36,2,14.29,2.582848487839988e-08,0.0010075680456383,0.0001497759367260269,1.3518286235385126e-05,0.0003407179353160803
AL_43,22,14.1,3.506166108660429e-27,0.0040085002134316,0.00018509823733441264,3.0253931493816145e-06,0.0004675580144667348
AL_76,20,13.89,9.962696404100953e-19,0.0017291362174107,0.00013079560269653443,1.668600040573865e-05,0.00032478581681815485
AL_169,28,13.86,4.690038084669619e-32,0.0010782016152191,4.122051836812203e-05,1.9045908975590115e-06,0.00011442937857887375
AL_181,28,13.86,8.846453058468459e-30,0.0025709409296425,0.00015443189166324716,1.1173557757777118e-05,0.00038517279545829106
