,korelasyon
AL_29,-0.517730339773319
AL_30,-0.42165086451119493
AL_2,-0.37244839353234344
AL_6,0.30959014619295905
EK_7,0.2842342527576919
AL_37,0.2638018231609584
AL_246,0.25659741650525414
AL_286,0.2534661331851469
AL_5,0.24923028117715998
EK_8,0.2437809023376507
AL_1,-0.24167780223095797
AL_38,0.21455127207959374
AL_28,-0.21304777945609105
AL_27,-0.20775257253825774
EK_2,0.20678785197092103
AL_36,0.20007844648359283
EK_9,0.1983539552077085
AL_40,-0.1975152222356636
AL_72,-0.1968794549915905
AL_35,0.19459978527610663
AL_79,-0.19277802512612352
AL_87,0.18476176721342435
AL_8,-0.1844017094242193
EK_4,0.18245703469480926
EK_3,0.18087540417994372
AL_91,-0.1806994350706097
AL_171,-0.17812755012407672
AL_89,0.1769156709996189
AL_41,0.17366269075057564
EK_6,0.17252797028809944
AL_48,0.17214286227350975
EK_5,0.15871838191427162
AL_3,-0.1580044320747048
AL_59,0.15148642818412292
AL_289,-0.15084986822452603
AL_277,0.14983839566325122
AL_177,0.14513350047799375
AL_120,0.1413176952329534
AL_147,0.14053281328376244
AL_45,-0.13686980145417915
AL_326,0.1331716473449521
AL_210,0.13147204163173698
AL_241,0.13127466360455584
AL_49,0.12837827022425705
AL_266,-0.12728444438660838
AL_53,0.1262127356691364
AL_50,0.11952286093343947
AL_32,-0.1180774799931503
EK_1,0.11669028578555235
AL_24,-0.1126454574109535
AL_190,-0.1122599787877426
AL_81,-0.11153031240735739
AL_85,0.10939047792843783
AL_165,-0.1083183772599148
AL_300,-0.10740276254618719
AL_126,0.10704834045504479
AL_150,0.10698804424879713
AL_313,-0.10665737350167694
AL_154,-0.1063063170890767
AL_328,-0.10530890960935736
AL_26,-0.10491957515535114
AL_250,0.10326834120939136
AL_93,0.10259724250142824
AL_271,-0.1005827588252826
AL_206,0.09878220913029459
AL_65,0.09759000729485338
AL_278,0.09686569930573916
AL_251,-0.09613328058311997
AL_254,0.09605925944485678
AL_63,0.09588028393040572
AL_295,0.09562972047557797
AL_207,0.09412939739600924
AL_184,-0.09367959598069338
AL_92,0.09300395118713722
AL_235,-0.09109119070930782
AL_329,-0.08744164038226689
AL_76,-0.08743076393330687
AL_132,0.0872733655519802
AL_31,-0.08647136058579877
AL_199,-0.08529496642124994
AL_94,-0.08459760790336589
AL_282,0.0845008689581073
AL_118,-0.0836945691784709
AL_153,0.082847802619102
AL_334,-0.08202369734212664
AL_44,0.08152673954592034
AL_82,-0.07969606229269204
AL_138,-0.07945899362023527
AL_58,-0.07931173601637778
AL_333,0.07770981808464063
AL_111,0.07719166444900188
AL_95,-0.07616961444546891
AL_135,0.07547081519253199
AL_302,-0.07484033511545708
AL_322,0.07427723537999258
AL_97,0.07355153325048662
AL_9,-0.07144327042708667
AL_297,-0.06857267972876797
AL_54,0.06847118223421615
AL_78,0.06628763345640935
AL_193,-0.0647233144954531
AL_25,0.06411138668707829
AL_20,-0.06344290207028512
AL_117,0.06329928313556
AL_298,0.0629480911088432
AL_331,0.06293900542759083
AL_189,0.06241332049350785
AL_291,0.06229173563032942
AL_43,-0.06178204487084044
AL_314,-0.06176410610881633
AL_259,0.06105193091180154
AL_84,-0.060930459395446376
AL_18,0.06089725422424201
AL_325,-0.06006631219304512
AL_319,0.0590026131624149
AL_323,0.058662121975390905
