ozellik_1,ozellik_2,korelasyon
AL_3,AL_32,0.9931878553090022
AL_31,AL_32,0.9931293456234054
AL_3,AL_31,0.9921903415210424
AL_13,AL_112,0.9911389661126397
AL_7,AL_103,0.9900186151107805
AL_37,AL_38,0.9879889306340751
AL_112,AL_133,0.9873575985307845
AL_103,AL_296,0.9866316101688629
AL_103,AL_121,0.9866300036833366
AL_112,AL_323,0.9863770701448676
AL_13,AL_133,0.9858471763599745
AL_35,AL_36,0.9846495792933435
AL_7,AL_296,0.9841290813162844
AL_13,AL_121,0.9840947140661138
AL_7,AL_121,0.98331833390347
AL_23,AL_283,0.9819414505887547
AL_121,AL_323,0.981862754637381
AL_121,AL_296,0.981756421142923
AL_13,AL_323,0.9817008132231683
AL_112,AL_121,0.9815187995960704
AL_133,AL_323,0.9808077683308098
AL_5,AL_36,0.9794902483194932
AL_235,AL_271,0.978070966951865
AL_4,AL_34,0.9777614416043942
AL_13,AL_103,0.9773924077841282
AL_88,AL_211,0.9766908775717987
AL_23,AL_247,0.976549080521183
AL_121,AL_133,0.9759031296741397
AL_121,AL_283,0.975701877574488
AL_13,AL_145,0.9756250027812975
AL_247,AL_283,0.9756000333143588
AL_255,AL_291,0.9755509916955812
AL_103,AL_112,0.9753860006279861
AL_13,AL_23,0.9752296561566609
AL_55,AL_73,0.9747249301047298
AL_103,AL_323,0.9745297891626015
AL_7,AL_13,0.9744560465421866
AL_23,AL_145,0.9743938006364875
AL_23,AL_121,0.9743472131695886
AL_23,AL_323,0.9742219314992391
AL_211,AL_283,0.9734553907195319
AL_112,AL_145,0.9734439986462746
AL_5,AL_35,0.9733201714190355
AL_7,AL_112,0.9732718367088278
AL_211,AL_247,0.972651739533175
AL_20,AL_271,0.9711554093176676
AL_6,AL_38,0.9709522805546736
AL_7,AL_323,0.9709309067216322
AL_103,AL_133,0.9707167668763769
AL_88,AL_283,0.9700040128773697
AL_145,AL_323,0.9696505283520809
AL_166,AL_291,0.9690578523550785
AL_163,AL_291,0.9685095457583225
AL_7,AL_133,0.9682656206399188
AL_142,AL_291,0.9681326221946288
AL_13,AL_296,0.9680965379623097
AL_112,AL_296,0.9680924595181507
AL_6,AL_37,0.9678943278579221
AL_219,AL_291,0.967136558247256
AL_103,AL_283,0.96709526454466
AL_7,AL_283,0.9670881121719888
AL_23,AL_296,0.9670571807740553
AL_23,AL_112,0.9663846271949502
AL_163,AL_219,0.9663419629514374
AL_166,AL_219,0.9662023121023278
AL_7,AL_23,0.965594927650304
AL_283,AL_296,0.9653607522106739
AL_296,AL_323,0.96504305671036
AL_243,AL_279,0.9647699294874542
AL_23,AL_103,0.9644784970831649
AL_20,AL_311,0.9643575699528782
AL_133,AL_296,0.9641851879492824
AL_13,AL_283,0.9637105185929741
AL_88,AL_103,0.9636368397566513
AL_291,AL_331,0.963529347416092
AL_14,AL_88,0.9631522373193053
AL_163,AL_255,0.9630335163449667
AL_88,AL_121,0.9626212468924372
AL_7,AL_247,0.9624124729664286
AL_121,AL_211,0.9622281175994294
AL_97,AL_291,0.9620321866446304
AL_121,AL_247,0.9617480039637772
AL_15,AL_291,0.9616808432994416
AL_20,AL_235,0.9616179538021701
AL_20,AL_109,0.9612676510515068
AL_88,AL_296,0.9609179256949565
AL_133,AL_145,0.9608379955862851
AL_7,AL_88,0.9605004467439306
AL_88,AL_247,0.9604925354723899
AL_130,AL_160,0.960421114518019
AL_73,AL_88,0.9603180745192179
AL_55,AL_88,0.9602748461311865
AL_121,AL_145,0.9602225515002002
AL_283,AL_323,0.9602053151641581
AL_166,AL_331,0.9589225848347743
AL_142,AL_219,0.9588599971114489
AL_14,AL_103,0.9584489409042988
AL_103,AL_211,0.958443430332993
AL_166,AL_255,0.9579714336638703
AL_20,AL_199,0.9563569617650854
AL_145,AL_283,0.9561621115782858
AL_199,AL_271,0.9559373258894627
AL_112,AL_283,0.9557910954095976
AL_7,AL_145,0.9556985292746324
AL_97,AL_331,0.9555536000266023
AL_23,AL_133,0.955338604146427
AL_103,AL_247,0.9551735931903399
AL_219,AL_255,0.9550034481702988
AL_23,AL_211,0.9548434559159601
AL_7,AL_211,0.9544799301178986
AL_211,AL_296,0.9540775503493721
AL_7,AL_14,0.9540330718378724
AL_14,AL_296,0.9533934412910183
AL_145,AL_296,0.9533772391920692
AL_103,AL_145,0.9532979672952946
AL_9,AL_306,0.9527970653349561
AL_2,AL_30,0.9527386862963877
AL_142,AL_255,0.9527245025600151
AL_23,AL_88,0.9527132276153665
AL_247,AL_296,0.9526892889118337
AL_142,AL_331,0.9523635061791021
AL_224,AL_260,0.9521962584573466
AL_13,AL_247,0.9521200211440761
AL_206,AL_278,0.9512629023789962
AL_15,AL_255,0.9509544398535997
AL_199,AL_235,0.9508913716758357
AL_109,AL_235,0.9508182526221161
AL_133,AL_283,0.9506310838146943
AL_198,AL_270,0.9506072709689906
