panel,scenario,model,hpo,data_aug,abl_focal_loss,abl_feature_selection,abl_class_weight,abl_l2,abl_smote,abl_feature_subsample,abl_row_subsample,abl_early_stopping,run_id,status,train_n,test_n,test_benign_frac,low_train_minority,best_hp,hpo_cv_mcc,cv_mcc_mean,cv_mcc_std,threshold,f1,macro_f1,mcc,precision,recall,accuracy,auc,reason
CFTR,ek-standard_median,xgboost,random,original,off,off,off,off,off,off,off,off,CFTR__ek-standard_median__xgboost__random__original__base,ok,99.0,12.0,0.833,False,"{""max_depth"": 3, ""learning_rate"": 0.03, ""n_estimators"": 200, ""subsample"": 1.0}",0.3482,0.1636,0.301,0.95,0.25,0.4375,0.0,0.1667,0.5,0.5,0.7,
CFTR,ek-standard_median,xgboost,random,original,off,off,off,off,off,off,off,on,CFTR__ek-standard_median__xgboost__random__original__early_stopping,ok,99.0,12.0,0.833,False,"{""max_depth"": 6, ""learning_rate"": 0.2, ""n_estimators"": 200, ""subsample"": 0.8}",0.1877,0.098,0.2488,0.94,0.5,0.625,0.4472,0.3333,1.0,0.6667,0.85,
CFTR,ek-standard_median,xgboost,random,original,on,off,off,off,off,off,off,off,CFTR__ek-standard_median__xgboost__random__original__focal_loss,ok,99.0,12.0,0.833,False,"{""max_depth"": 6, ""learning_rate"": 0.2, ""n_estimators"": 200, ""subsample"": 0.8}",0.5642,0.3554,0.3931,0.55,0.3333,0.3333,0.2,0.2,1.0,0.3333,0.95,
CFTR,ek-standard_median,xgboost,random,original,on,off,off,off,off,off,off,on,CFTR__ek-standard_median__xgboost__random__original__focal_loss+early_stopping,ok,99.0,12.0,0.833,False,"{""max_depth"": 6, ""learning_rate"": 0.2, ""n_estimators"": 200, ""subsample"": 0.8}",0.3087,0.2181,0.3228,0.57,0.3333,0.3333,0.2,0.2,1.0,0.3333,0.9,
CFTR,ek-standard_median,lightgbm,random,original,off,off,off,off,off,off,off,off,CFTR__ek-standard_median__lightgbm__random__original__base,ok,99.0,12.0,0.833,False,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 400, ""num_leaves"": 31}",0.2598,0.1964,0.35,0.92,0.3333,0.3333,0.2,0.2,1.0,0.3333,0.7,
CFTR,ek-standard_median,lightgbm,random,original,off,off,off,off,off,off,off,on,CFTR__ek-standard_median__lightgbm__random__original__early_stopping,ok,99.0,12.0,0.833,False,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 400, ""num_leaves"": 31}",0.0736,0.0065,0.1234,0.85,0.3333,0.3333,0.2,0.2,1.0,0.3333,0.8,
CFTR,ek-standard_median,lightgbm,random,original,on,off,off,off,off,off,off,off,CFTR__ek-standard_median__lightgbm__random__original__focal_loss,ok,99.0,12.0,0.833,False,"{""max_depth"": 8, ""learning_rate"": 0.03, ""n_estimators"": 200, ""num_leaves"": 63}",0.1221,0.1579,0.322,0.82,0.3333,0.5556,0.1581,0.25,0.5,0.6667,0.65,
CFTR,ek-standard_median,lightgbm,random,original,on,off,off,off,off,off,off,on,CFTR__ek-standard_median__lightgbm__random__original__focal_loss+early_stopping,ok,99.0,12.0,0.833,False,"{""max_depth"": 8, ""learning_rate"": 0.2, ""n_estimators"": 200, ""num_leaves"": 63}",0.2736,0.1538,0.3204,0.63,0.3333,0.3333,0.2,0.2,1.0,0.3333,0.85,
CFTR,ek-standard_median,logreg,random,original,off,off,off,off,off,off,off,off,CFTR__ek-standard_median__logreg__random__original__base,ok,99.0,12.0,0.833,False,"{""C"": 1.0}",0.1847,0.1917,0.3286,0.77,0.3333,0.3333,0.2,0.2,1.0,0.3333,1.0,
CFTR,ek-standard_median,logreg,random,original,off,off,off,off,off,off,off,on,CFTR__ek-standard_median__logreg__random__original__early_stopping,skipped,,,,,,,,,,,,,,,,,logreg 'early_stopping' desteklemiyor
