Variant_ID,AL_7,AL_8,AL_9,AL_10,AL_11,AL_12,AL_13,AL_14,AL_15,AL_21,AL_26,CAT_1,AL_27,AL_28,AL_29,AL_31,AL_33,AL_35,AL_37,AL_39,AL_42,AL_45,AL_48,AL_50,AL_51,AL_53,AL_54,AL_57,AL_60,AL_63,AL_66,AL_67,AL_68,AL_69,AL_72,AL_75,AL_77,AL_78,AL_81,AL_83,AL_84,AL_86,AL_87,AL_90,AL_92,AL_93,AL_95,CAT_2,AL_96,AL_98,CAT_3,CAT_4,EK_1,EK_2,EK_3,AL_99,AL_102,AL_105,AL_108,AL_111,AL_114,AL_117,AL_120,AL_123,AL_126,AL_129,AL_132,AL_135,AL_138,AL_141,AL_144,AL_147,AL_150,AL_151,AL_153,AL_156,AL_159,AL_162,AL_165,AL_168,AL_171,AL_174,AL_177,AL_180,AL_183,AL_184,CAT_5,AL_186,AL_187,AL_189,AL_192,AL_193,AL_196,AL_198,AL_201,AL_202,AL_205,AL_206,AL_209,AL_210,AL_213,AL_214,AL_216,AL_217,AL_218,AL_221,AL_222,AL_223,AL_225,AL_228,AL_229,AL_232,AL_234,AL_237,AL_238,AL_241,AL_242,AL_245,AL_246,AL_249,AL_250,AL_253,AL_254,AL_257,AL_258,AL_259,AL_261,AL_264,AL_265,AL_268,AL_270,AL_273,AL_274,AL_277,AL_278,AL_279,AL_281,AL_282,AL_285,AL_286,AL_289,AL_290,AL_293,AL_294,AL_295,AL_296,AL_297,AL_300,AL_301,AL_304,AL_305,AL_308,AL_310,AL_313,AL_314,AL_317,AL_318,AL_321,AL_322,AL_325,AL_326,AL_329,AL_330,AL_333,AL_334,EK_4,EK_5,EK_6,EK_7,EK_8,EK_9,AA_1,AA_2,DELTA_HIDRO,BLOSUM62,SNV_PATHWAY_COUNT,BAZ_A_C,BAZ_A_G,BAZ_A_T,BAZ_C_A,BAZ_C_G,BAZ_C_T,BAZ_G_A,BAZ_G_C,BAZ_G_T,BAZ_T_A,BAZ_T_C,BAZ_T_G,IS_EXOME,IS_ALLOFUS,POP_NFE,POP_AFR,Label
VAR_000892,8.181885350112544e-05,0.14265835705911184,0.001022845509551108,9.329330602892266e-11,0.000263853641479948,0.0033727854831457787,3.5005182774251215e-06,0.00024823692528992334,0.0016599491753246042,0.0016751536786799564,0.004129867263140419,7.0,1.0,0.025861235485908737,1.0,0.1982132358548012,0.0,0.0,0.0,0.0,0.0,0.365719749203517,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.93796929575925e-13,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,2.0,2.0,0.40247836752630545,0.8126916605174834,0.7685420077281617,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.01635525975661864,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09347740820291098,2.0,0.015326056765582182,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.388447910678839e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12452826410576893,0.0,0.0,0.5366737430150208,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0076590741301275,0.0145545252986565,0.0197746033144094,0.23357286201932798,0.919787849273102,0.3403766934543937,14.0,11.0,0.8323699421965318,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
VAR_000702,0.026576150091391002,2.5456175587697627e-18,0.00213591249492093,0.08351716323907019,0.03650751273229789,0.0002379025363708296,0.0012482733016848724,0.002692541940191638,0.00012226763354494303,0.006936244870671314,6.307277017988166e-06,16.0,0.6,0.22477643746963014,0.6,0.4,0.6,0.6,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.914781227439791e-06,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,0.9728964373833078,0.9412333376098458,0.9090506222840616,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.2584824299359614e-06,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0032920889797951377,3.0,3.6842225515879466e-05,0.6,0.4,0.6,0.8,0.41674655020020274,0.2,0.6,0.6,0.8,0.4,0.6,0.4,0.6,0.6,0.0,0.2,0.4,0.4,0.2,0.8,0.2,0.4,0.2,0.4,0.8,0.4,0.4,0.6,0.6,0.6,0.2,0.4,0.8,0.2,0.2,0.4,0.6,0.8,0.4,0.0,0.6,0.26074938502371825,0.6,0.2,0.6,0.4,0.4,0.02848763807323674,0.8,0.6,0.6,0.6,0.8,0.4,0.4,0.2,1.0,0.0007629502543474999,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.99178458745585,0.949147448763392,1.0,0.5212883695116628,1.0000000000000002,0.9498844415646099,16.0,16.0,0.5780346820809248,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
VAR_004564,0.0025895716208707022,0.028346340562271196,0.012098033067156004,0.0018419311282455615,0.00122636753709081,0.0005443653238752843,0.017731395719174415,0.02583244254672375,0.003235447794229024,0.0017855716066090262,0.016904338130566594,8.0,0.4,0.01316165707127247,0.8,0.6,0.2,0.4,0.2,0.0,0.0,0.6604896053508598,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.7019539999343846e-05,1.0,1.0,0.0,0.6,0.6,0.4,0.6,1.0,0.6,0.6,0.6,0.4,0.6,0.8,1.0,7.0,0.21196718780992843,0.8,4.0,4.0,0.9470741903526703,1.0,0.8677447570640302,0.4,0.8,0.4,0.6,0.8,0.2,0.6,0.2,0.6,0.8,0.2,0.2,0.8,0.4,0.2,0.4,0.4,0.6,0.022945344803806143,0.6,0.8,0.6,0.6,0.4,0.6,0.6,0.5215133645338631,0.4,0.4,0.6,0.01872098624965641,4.0,1.4876834222778334e-09,0.6,0.2,0.42382007265790334,0.8,0.41674655020020274,0.4,0.6,0.4,0.6,0.4,0.6,0.6,0.6,0.8,0.0,0.6,0.2,0.4,0.2,0.8,0.2,0.2,0.2,0.6,0.6,0.6,0.2,0.2,0.4,0.4,0.0,0.6,0.8,0.0,0.2,0.4,0.6,0.6,0.6,0.0,0.8,0.4,0.8,0.2,0.6,0.4,0.2,0.02122473334621404,0.4,0.8,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.009186962042730956,1.0,0.4,0.5087844855260814,0.2,0.2,0.6,0.6,0.4,0.6,1.0,0.6,0.4,0.6,0.4,0.4,0.4,0.6,1.0,0.6,1.0,1.0,1.0,0.43927188941245643,0.9491366432705035,0.7468598174213903,17.0,17.0,0.30635838150289013,0.33333333333333337,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
VAR_001110,0.019019632946447144,0.0006444417621889626,0.015391555172663041,0.0004954431313173326,0.006677720301145641,0.0007268391676424243,0.026346297581129125,0.005520410424312596,0.03441138798980174,0.03248232116313038,0.01634587492881665,8.0,0.6,0.014688195934705278,0.6,0.5133834560321826,0.8,0.43593274764720374,0.4,0.8,0.8,0.44622702002376363,0.2,1.0,0.4,1.0,0.4,0.8,0.6,0.6,0.0,0.0025398680438360093,1.0,0.0,0.6,0.8,0.8,0.2,0.8,1.0,0.6,0.8,0.8,0.6,0.6,0.8,1.0,7.0,0.0,0.4,3.0,3.0,0.7082985073809878,0.9188522945876493,0.9196035972969605,0.2,0.2,0.6,0.6,0.8,0.8,0.8,0.4,1.0,0.4,0.2,0.6,0.4,0.6,0.8,0.8,0.8,0.6,0.0025882493056101318,0.6,0.2,0.6,0.2,0.6,0.4,0.2,0.4,0.2,0.2,0.8,0.0014842377938170262,3.0,0.017252387364128607,0.6,0.4,0.25632040845576576,0.2,0.8,0.8,0.5058714384059708,0.4,0.8,0.2,0.4,0.6,0.2,0.6,0.0,0.6,0.4,0.0,0.0,0.4,0.2,0.6,0.6,0.4,0.6,0.8,0.6,0.6,0.2,0.2,0.4,0.2,0.6,0.6,0.4,0.6,0.6,0.6,0.8,0.4,0.2,0.6,0.8,0.6,0.4,0.8,0.6,0.02322618679042934,0.4,0.4,0.8,0.4,0.6,0.8,0.6,0.8,0.8,0.008154680755442314,0.8,0.2,0.4,0.568069533240625,0.0,0.8,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.8,0.2,0.6,0.4,0.9430394109961976,0.8356305441199172,1.0,0.8822954154419475,0.9579081359845711,1.0,15.0,8.0,0.53757225433526,0.5,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
VAR_004425,0.00285248196536789,0.043216767091471577,2.38410144800769e-06,0.009809392296791002,0.00018321891400212926,0.012340311207713483,0.008855545666171664,0.014632022031797916,0.04093506882458675,0.02371776837700946,0.009999409382908619,8.0,0.4,0.010436066487656763,0.8,0.6,0.2,0.4,0.5068546736067986,0.6,0.8,0.6,0.0,0.6,0.6,1.0,0.4,0.6,0.6,0.4,0.4,0.02129323472127305,1.0,0.2,0.6,0.6,0.4,0.6,1.0,0.8,0.6,0.8,0.4,0.2,0.2,0.4,1.0,7.0,0.4119671878099284,0.6,1.0,1.0,0.6813104307556654,0.9157033951350555,0.9196981456357141,0.6,1.0,0.6,0.4,0.8,0.2,0.6,0.2,0.6,0.8,0.03966018910285986,0.4,0.6,0.2,0.2,0.6,0.2,0.4,0.034274119070068464,0.0,0.6,0.6,0.8,0.2,0.4,0.6,0.4,0.6,0.4,0.4,0.02251896743221048,1.0,0.017884989330846583,0.4,0.4,0.6,0.4,0.2,0.4,0.2491678789567701,0.4,0.2,0.4,0.8,0.6,0.8,0.6,0.0,0.4,0.6,0.6,0.2,0.2,0.8162672178132816,0.2,0.8,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.0,0.4,0.6,0.4,0.6,0.8,0.0,0.4,0.6,0.6,0.6,0.8,0.2,0.6,0.6,0.2,0.8,0.00020424087758673913,0.8,0.4,0.4,0.0,0.6,0.0,0.4,1.0,0.6,0.011431797997978665,0.4,0.4,0.2754057396159145,0.2649261243992168,0.4,0.6,0.6,0.2,0.8,0.6,0.0,0.2,0.6,0.2,0.8,0.8,0.6,0.6,0.4,0.7282974547824598,0.9577467392292528,1.0,0.7845545615638927,1.0000000000000002,0.9533298669263759,11.0,17.0,0.040462427745664664,0.16666666666666669,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
VAR_004540,0.0018655460445775958,0.024980597281174105,0.004034435530695386,0.009809746587687542,0.01245912408919155,0.012874562415784059,0.0032598262642085218,0.006093572612159505,0.03797723406670056,0.02371776837700946,0.0051296861789108215,8.0,0.4,0.004601502723198914,0.8,0.6,0.2,0.4,0.3068546736067986,0.6,0.4,0.5276314122453295,0.2,0.8,0.6,0.8,0.2,0.6,0.6,0.6,0.4,0.010368369466322969,1.0,0.4,0.8,0.6,0.4,0.6,1.0,0.8,0.6,0.8,0.4,0.2,0.2,0.4,1.0,7.0,0.4119671878099284,0.6,1.0,1.0,0.8634206887918734,0.9825711544187725,0.9597957220282922,0.4,0.8,0.4,0.6,0.6,0.2,0.6,0.2,0.8,0.6,0.03966018910285986,0.4,0.4,0.4,0.2,0.8,0.4,0.6,0.014257540149403468,0.0,0.6,0.6,1.0,0.4,0.2,0.4,0.6,0.6,0.6,0.4,0.02251896743221048,1.0,0.02185229154368413,0.6,0.4,0.4,0.6,0.2,0.4,0.4,0.4,0.4,0.6,0.8,0.6,0.8,0.4,0.0,0.4,0.4,0.6,0.2,0.2,0.6162672178132816,0.4,0.8,0.4,0.6,0.4,0.0,0.4,0.2,0.2,0.0,0.4,0.6,0.4,0.6,0.8,0.2,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.6,0.0,0.6,0.021398667859677714,1.0,0.4,0.4,0.0,0.6,0.2,0.2,1.0,0.8,0.012901248410674169,0.4,0.6,0.2754057396159145,0.20772035161116253,0.6,0.4,0.6,0.2,0.6,0.8,0.0,0.2,0.4,0.2,0.6,0.6,0.4,0.6,0.4,0.150297565367578,0.1994336924926329,1.0,0.5505087805092209,1.0000000000000002,0.993266768358803,11.0,17.0,0.040462427745664664,0.16666666666666669,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
VAR_001001,0.009055817956623233,1.9279997179108983e-05,0.002707088168956179,0.007403308258024819,4.28153170673464e-13,0.02104882004048938,0.002336857709844887,0.07954356185868673,0.00026413311570118876,0.012814550034949745,0.07718533219068405,16.0,0.4,0.02485024458261512,0.6,0.4,0.4,0.6,0.2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0767749073397097e-13,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.8171085111154046,0.9591808523691787,0.9176995196220873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009059898027347638,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.00011192564807220251,0.0,0.00012615540149811056,0.6,0.6,0.4,0.6,0.01674655020020276,0.4,0.4,0.2,1.0,0.4,0.6,0.6,0.6,0.6,0.0,0.2,0.2,0.6,0.2,0.8,0.2,0.2,0.4,0.2,0.4,0.2,0.6,0.6,0.4,0.4,0.0,0.6,0.8,0.2,0.4,0.4,0.6,0.6,0.8,0.0,0.6,0.4607493850237182,0.2,0.0,0.4,0.8,0.6,0.015697560121639434,0.6,0.6,0.6,0.8,0.4,0.6,0.6,0.2,1.0,6.42401756678949e-09,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.993330747787124,0.9728844098697728,0.8153867509536014,0.9682821807012394,1.0,16.0,16.0,0.5780346820809248,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
VAR_003704,0.0028508904015926767,0.04315321294468602,2.3790967254129113e-06,0.019726029744544057,0.003358993183272817,1.533981490347683e-05,0.008857333429771328,0.016639689973196835,0.034437350480595694,0.04173664734396725,0.009957496856186106,8.0,0.2,0.00544057507319324,0.6,0.6,0.6,0.4,0.2,0.4,0.0,0.4,0.2,0.8,0.4,1.0,0.8,0.5666907404996389,0.8,0.4,0.8,0.036997364368097765,1.0,0.6,0.4,0.8,0.4,0.4,1.0,1.0,0.6,0.6,0.6,0.2,0.4,0.4,1.0,7.0,0.21196718780992843,0.6,4.0,4.0,0.9209826344105574,0.9556613745695993,0.9087795781463036,0.4,0.8,0.6,0.2,1.0,0.4,0.6,0.2,0.4,0.8,0.23966018910285986,0.4,0.6,0.4,0.2,0.4,0.4,0.6,0.02915942100391833,0.0,0.4,0.6,0.6,0.4,0.2,0.8,0.4,0.6,0.4,0.4,0.025388645479302478,4.0,0.0005495877225415607,0.6,0.4,0.6,0.6,0.2,0.4,0.4,0.2,0.2,0.4,0.8,0.8,0.8,0.4,0.0,0.4,0.5394531399423579,0.8,0.4,0.2,0.6162672178132816,0.4,0.6,0.4,0.6,0.2,0.0,0.4,0.4,0.4,0.2,0.6,0.8,0.2,0.6,1.0,0.2,0.2,0.6,0.6,0.6,0.6,0.4,0.6,0.6,0.0,0.6,0.00020441214830027813,1.0,0.2,0.4,0.0,0.2,0.2,0.2,0.8,0.6,8.4933857729255e-06,0.6,0.4,0.07540573961591455,0.43559359968579814,0.4,0.8,0.6,0.2,0.8,0.4,0.0,0.4,0.8,0.2,0.8,0.8,0.4,0.8,0.4,0.9809342740395351,0.975519093736788,1.0,0.569759086731724,0.956176149404786,0.7970192072250086,11.0,14.0,0.2080924855491329,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
VAR_002393,0.00014009946755606694,2.417524356428536e-17,2.8443431416974857e-07,0.15219307312511887,1.952966313175698e-12,3.4751117299413624e-05,0.04078168715245984,0.0051349925253126,0.07742800625370905,0.028660736392180152,0.0007781835422313763,19.0,0.8,0.014474383013801547,0.4,0.5133834560321826,0.6,0.6359327476472038,0.6,0.2,0.8,0.22342759321844552,0.8,1.0,0.2,0.8,0.6,0.0,0.4,0.4,0.6,0.031103091149117128,1.0,0.8,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,0.8644980284494685,0.9689484532341444,0.8575471520194231,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012787214490601704,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.04124596523355079,4.0,0.0014457827551754426,0.8,0.6,0.2,0.4,0.8,0.867866038734675,0.549980285740707,0.4,0.4,0.6,0.8,0.4,0.6,0.8,0.0,0.8,0.6,0.2,0.4,0.8,0.6,0.4,0.8,0.6,0.6,0.2,0.8,0.4,0.4,0.4,0.4,0.8,0.8,0.6,0.6,0.6,0.4,0.6,0.8,0.6,0.4,1.0,0.8,0.6,0.2,0.6,1.0,0.037259488306896016,0.4,0.6,0.4,0.6,0.2,0.6,0.4,0.8,0.0,0.0025081606187882665,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9875338886161776,1.0,1.0,0.8311821206138635,0.9801551737697856,0.8074507244286898,6.0,3.0,0.5028901734104047,0.16666666666666669,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
VAR_004411,0.0010628162916827995,1.2145417150181129e-11,0.00012457301948863548,0.029147797992676604,2.076013999308748e-10,0.09011660785335521,1.2027570896751465e-06,0.00045911475167183,3.0001563026563344e-09,0.0018502494498670616,0.04509951895769495,16.0,0.4,0.019205959801817062,0.4,0.6396426471709602,0.2,0.8,0.2,0.8,0.2,0.5811436040397864,0.4,1.0,0.31028848940685744,1.0,0.2,0.6,0.4,0.8,0.6382702856601542,0.01692657544797356,1.0,0.4,0.6,0.6,0.4,0.6,0.4,0.6,0.6,0.8,0.4,0.6,0.8,0.8,1.0,7.0,0.0,0.4,2.0,2.0,0.8714836739198082,0.876689456972426,0.8832920127392463,0.6,0.6,0.2,0.2,0.2,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.8,0.6,0.6,0.8,0.006339257709251969,0.6,0.2,0.6,0.8,0.6,0.2,0.2,0.4,0.6,0.4,0.6,0.0032970077410292057,2.0,0.07833370334219149,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6,0.0,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.00047226436319779033,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.002987079651401744,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1477692096463518,0.997816065126301,0.8170219495716026,0.9472527567532341,0.7098081583691163,16.0,11.0,1.0,0.16666666666666669,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
