Variant_ID,AL_7,AL_8,AL_9,AL_10,AL_11,AL_12,AL_13,AL_14,AL_15,AL_21,AL_26,CAT_1,AL_27,AL_28,AL_29,AL_31,AL_33,AL_35,AL_37,AL_39,AL_42,AL_45,AL_48,AL_50,AL_51,AL_53,AL_54,AL_57,AL_60,AL_63,AL_66,AL_67,AL_68,AL_69,AL_72,AL_75,AL_77,AL_78,AL_81,AL_83,AL_84,AL_86,AL_87,AL_90,AL_92,AL_93,AL_95,CAT_2,AL_96,AL_98,CAT_3,CAT_4,EK_1,EK_2,EK_3,AL_99,AL_102,AL_105,AL_108,AL_111,AL_114,AL_117,AL_120,AL_123,AL_126,AL_129,AL_132,AL_135,AL_138,AL_141,AL_144,AL_147,AL_150,AL_151,AL_153,AL_156,AL_159,AL_162,AL_165,AL_168,AL_171,AL_174,AL_177,AL_180,AL_183,AL_184,CAT_5,AL_186,AL_187,AL_189,AL_192,AL_193,AL_196,AL_198,AL_201,AL_202,AL_205,AL_206,AL_209,AL_210,AL_213,AL_214,AL_216,AL_217,AL_218,AL_221,AL_222,AL_223,AL_225,AL_228,AL_229,AL_232,AL_234,AL_237,AL_238,AL_241,AL_242,AL_245,AL_246,AL_249,AL_250,AL_253,AL_254,AL_257,AL_258,AL_259,AL_261,AL_264,AL_265,AL_268,AL_270,AL_273,AL_274,AL_277,AL_278,AL_279,AL_281,AL_282,AL_285,AL_286,AL_289,AL_290,AL_293,AL_294,AL_295,AL_296,AL_297,AL_300,AL_301,AL_304,AL_305,AL_308,AL_310,AL_313,AL_314,AL_317,AL_318,AL_321,AL_322,AL_325,AL_326,AL_329,AL_330,AL_333,AL_334,EK_4,EK_5,EK_6,EK_7,EK_8,EK_9,AA_1,AA_2,DELTA_HIDRO,BLOSUM62,SNV_PATHWAY_COUNT,BAZ_A_C,BAZ_A_G,BAZ_A_T,BAZ_C_A,BAZ_C_G,BAZ_C_T,BAZ_G_A,BAZ_G_C,BAZ_G_T,BAZ_T_A,BAZ_T_C,BAZ_T_G,IS_EXOME,IS_ALLOFUS,POP_NFE,POP_AFR,Label
VAR_000892,5.5836011222432135e-05,0.0482829432152456,0.0006637200058846,6.040383144865877e-11,0.0001496375629502,0.0022325339595743,2.3556038418591326e-06,0.0001553594061163,0.0007568372269975,0.00086877000037,0.0027911943008842,7.0,1.0,0.0145509651449814,1.0,0.1982132358548012,0.0,0.0,0.0,0.0,0.0,0.365719749203517,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1467553922316337e-13,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,2.0,2.0,3.6006569803631137,3.407983003140505,2.3776551975911033,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0097812633672623,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0522952867925824,2.0,0.0103119840341602,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.2088579119244414e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0803684861373574,0.0,0.0,0.5366737430150208,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0076590741301275,0.0145545252986565,0.0197746033144094,0.808092229827343,0.4827669710479367,-0.4213386979216557,14.0,11.0,5.4,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
VAR_000702,0.0179371408767178,8.61568249480266e-19,0.0013859843353275,0.0540741545785524,0.0207042631816382,0.0001574738429618,0.0008400005805146,0.0016851309138753,5.574670483848132e-05,0.003597282766085138,4.262809101974554e-06,16.0,0.6,0.1250894011935884,0.6,0.4,0.6,0.6,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1377045684468778e-06,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0534546807482235,5.303436766250017,4.880160949165722,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3506854544819116e-06,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0018450167708217457,3.0,2.4788923016118487e-05,0.6,0.4,0.6,0.8,0.41674655020020274,0.2,0.6,0.6,0.8,0.4,0.6,0.4,0.6,0.6,1.0,0.2,0.4,0.4,0.2,0.8,0.2,0.4,0.2,0.4,0.8,0.4,0.4,0.6,0.6,0.6,0.2,0.4,0.8,0.2,0.2,0.4,0.6,0.8,0.4,0.0,0.6,0.26074938502371825,0.6,0.2,0.6,0.4,0.4,0.018768317840726488,0.8,0.6,0.6,0.6,0.8,0.4,0.4,0.2,1.0,0.0004929496399896,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.99178458745585,0.949147448763392,1.0,4.25984572907146,0.756,10.995290448108328,16.0,16.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
VAR_004564,0.0017483449240911642,0.00959386312826414,0.007850361079503427,0.001192579640985742,0.0006955016747246752,0.0003603294896871762,0.011931988513522418,0.016167268136701152,0.001475170067300781,0.0009260350647689779,0.011424893160873955,8.0,0.4,0.007493729084434239,0.8,0.6,0.2,0.4,0.2,0.0,0.0,0.6604896053508598,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.643108658664449e-06,1.0,1.0,0.0,0.6,0.6,0.4,0.6,1.0,0.6,0.6,0.6,0.4,0.6,0.8,1.0,7.0,0.21196718780992843,0.8,4.0,4.0,5.942419018516482,6.17,4.1444895768900345,0.4,0.8,0.4,0.6,0.8,0.2,0.6,0.2,0.6,0.8,0.2,0.2,0.8,0.4,0.2,0.4,0.4,0.6,0.013722463838450952,0.6,0.8,0.6,0.6,0.4,0.6,0.6,0.5215133645338631,0.4,0.4,0.6,0.010476044970398085,4.0,1.000972913846135e-09,0.6,0.2,0.42382007265790334,0.8,0.41674655020020274,0.4,0.6,0.4,0.6,0.4,0.6,0.6,0.6,0.8,1.0,0.6,0.2,0.4,0.2,0.8,0.2,0.2,0.2,0.6,0.6,0.6,0.2,0.2,0.4,0.4,0.0,0.6,0.8,0.0,0.2,0.4,0.6,0.6,0.6,0.0,0.8,0.4,0.8,0.2,0.6,0.4,0.2,0.01398334746118006,0.4,0.8,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.00592963008072321,1.0,0.4,0.5087844855260814,0.2,0.2,0.6,0.6,0.4,0.6,1.0,0.6,0.4,0.6,0.4,0.4,0.4,0.6,1.0,0.6,1.0,1.0,1.0,3.2758853070366376,0.5827401023918776,7.192456360204116,17.0,17.0,-3.7,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
VAR_001110,0.0128371673926977,0.00021811231848414933,0.009987513260195447,0.0003207803932593646,0.003787091155239744,0.00048111364716766774,0.017729214614049183,0.003454956123218833,0.015689528240070208,0.01684601629573993,0.01104745262667622,8.0,0.6,0.00834203638748838,0.6,0.5133834560321826,0.8,0.43593274764720374,0.4,0.8,0.8,0.44622702002376363,0.2,1.0,0.4,1.0,0.4,0.8,0.6,0.6,0.0,0.0009913675337008296,1.0,0.0,0.6,0.8,0.8,0.2,0.8,1.0,0.6,0.8,0.8,0.6,0.6,0.8,1.0,7.0,0.0,0.4,3.0,3.0,4.915683581738247,4.973409702823294,5.068112988615203,0.2,0.2,0.6,0.6,0.8,0.8,0.8,0.4,1.0,0.4,0.2,0.6,0.4,0.6,0.8,0.8,0.8,0.6,0.00154790253991909,0.6,0.2,0.6,0.2,0.6,0.4,0.2,0.4,0.2,0.2,0.8,0.000833692740730844,3.0,0.011608096314086918,0.6,0.4,0.25632040845576576,0.2,0.8,0.8,0.5058714384059708,0.4,0.8,0.2,0.4,0.6,0.2,0.6,1.0,0.6,0.4,0.0,0.0,0.4,0.2,0.6,0.6,0.4,0.6,0.8,0.6,0.6,0.2,0.2,0.4,0.2,0.6,0.6,0.4,0.6,0.6,0.6,0.8,0.4,0.2,0.6,0.8,0.6,0.4,0.8,0.6,0.01530195149173813,0.4,0.4,0.8,0.4,0.6,0.8,0.6,0.8,0.8,0.005263417399055723,0.8,0.2,0.4,0.568069533240625,0.0,0.8,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.8,0.2,0.6,0.4,0.9430394109961976,0.8356305441199172,1.0,8.590885598637199,0.6126191356926507,11.934,15.0,8.0,0.2999999999999998,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
VAR_004425,0.0019257859011830264,0.014626782155912541,1.5470330683620035e-06,0.006351204648318264,0.00010390772560076439,0.008168371211453331,0.005959162541021521,0.009157470229240783,0.018663935279882082,0.012300534514485454,0.006758157757454737,8.0,0.4,0.0059791011554620405,0.8,0.6,0.2,0.4,0.5068546736067986,0.6,0.8,0.6,0.0,0.6,0.6,1.0,0.4,0.6,0.6,0.4,0.4,0.008311227680261447,1.0,0.2,0.6,0.6,0.4,0.6,1.0,0.8,0.6,0.8,0.4,0.2,0.2,0.4,1.0,7.0,0.4119671878099284,0.6,1.0,1.0,4.799634852249361,4.926976565711011,5.069796926374325,0.6,1.0,0.6,0.4,0.8,0.2,0.6,0.2,0.6,0.8,0.03966018910285986,0.4,0.6,0.2,0.2,0.6,0.2,0.4,0.020497637475282555,0.0,0.6,0.6,0.8,0.2,0.4,0.6,0.4,0.6,0.4,0.4,0.012600661014871834,1.0,0.012033736221373683,0.4,0.4,0.6,0.4,0.2,0.4,0.2491678789567701,0.4,0.2,0.4,0.8,0.6,0.8,0.6,1.0,0.4,0.6,0.6,0.2,0.2,0.8162672178132816,0.2,0.8,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.0,0.4,0.6,0.4,0.6,0.8,0.0,0.4,0.6,0.6,0.6,0.8,0.2,0.6,0.6,0.2,0.8,0.0001345586354601317,0.8,0.4,0.4,0.0,0.6,0.0,0.4,1.0,0.6,0.007378400101128509,0.4,0.4,0.2754057396159145,0.2649261243992168,0.4,0.6,0.6,0.2,0.8,0.6,0.0,0.2,0.6,0.2,0.8,0.8,0.6,0.6,0.4,0.7282974547824598,0.9577467392292528,1.0,7.418278194423258,0.756,11.05982636865662,11.0,17.0,-8.3,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
VAR_004540,0.0012596923914468215,0.008454722070786739,0.0026179276823039953,0.006351434038062387,0.007065860280508725,0.008522005906254229,0.0021936349600811802,0.00381367043217273,0.017315340100371453,0.012300534514485454,0.00346692760701231,8.0,0.4,0.0027367971630209605,0.8,0.6,0.2,0.4,0.3068546736067986,0.6,0.4,0.5276314122453295,0.2,0.8,0.6,0.8,0.2,0.6,0.6,0.6,0.4,0.004047007438545205,1.0,0.4,0.8,0.6,0.4,0.6,1.0,0.8,0.6,0.8,0.4,0.2,0.2,0.4,1.0,7.0,0.4119671878099284,0.6,1.0,1.0,5.582708961805055,5.912997199889848,5.783948267655315,0.4,0.8,0.4,0.6,0.6,0.2,0.6,0.2,0.8,0.6,0.03966018910285986,0.4,0.4,0.4,0.2,0.8,0.4,0.6,0.0085267221215607,0.0,0.6,0.6,1.0,0.4,0.2,0.4,0.6,0.6,0.6,0.4,0.012600661014871834,1.0,0.014703095842260821,0.6,0.4,0.4,0.6,0.2,0.4,0.4,0.4,0.4,0.6,0.8,0.6,0.8,0.4,1.0,0.4,0.4,0.6,0.2,0.2,0.6162672178132816,0.4,0.8,0.4,0.6,0.4,0.0,0.4,0.2,0.2,0.0,0.4,0.6,0.4,0.6,0.8,0.2,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.6,0.0,0.6,0.014097939559821793,1.0,0.4,0.4,0.0,0.6,0.2,0.2,1.0,0.8,0.008326752562879115,0.4,0.6,0.2754057396159145,0.20772035161116253,0.6,0.4,0.6,0.2,0.6,0.8,0.0,0.2,0.4,0.2,0.6,0.6,0.4,0.6,0.4,0.150297565367578,0.1994336924926329,1.0,4.610406103064717,0.756,11.80788050629348,11.0,17.0,-8.3,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
VAR_001001,0.0061124830873382,6.5253450844333595e-06,0.0017566177478926,0.0047933576717777,2.428156635232519e-13,0.0139327584823246,0.0015725417103772,0.0497824427864938,0.0001204288527728,0.006645895705149599,0.0521661461722205,16.0,0.4,0.01398915110465184,0.6,0.4,0.4,0.6,0.2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.106118831401046e-14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,5.38356659779624,5.5680877740674815,5.034200723891255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054182721647185,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.601215919754125e-05,0.0,8.488240034403716e-05,0.6,0.6,0.4,0.6,0.01674655020020276,0.4,0.4,0.2,1.0,0.4,0.6,0.6,0.6,0.6,1.0,0.2,0.2,0.6,0.2,0.8,0.2,0.2,0.4,0.2,0.4,0.2,0.6,0.6,0.4,0.4,0.0,0.6,0.8,0.2,0.4,0.4,0.6,0.6,0.8,0.0,0.6,0.4607493850237182,0.2,0.0,0.4,0.8,0.6,0.01034191732320643,0.6,0.6,0.6,0.8,0.4,0.6,0.6,0.2,1.0,5.617013291893606e-07,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.993330747787124,0.9728844098697728,7.788175244960652,0.6479570693440032,11.934,16.0,16.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
VAR_003704,0.00192471173792818,0.01460527215591255,1.543785525620661e-06,0.012771846411667865,0.0019049634907141396,1.0153820299788029e-05,0.0059603655808201875,0.010413971850384299,0.0157013655781228,0.02164550488110082,0.006729830937664012,8.0,0.2,0.0032030749757524005,0.6,0.6,0.6,0.4,0.2,0.4,0.0,0.4,0.2,0.8,0.4,1.0,0.8,0.5666907404996389,0.8,0.4,0.8,0.014440902139009,1.0,0.6,0.4,0.8,0.4,0.4,1.0,1.0,0.6,0.6,0.6,0.2,0.4,0.4,1.0,7.0,0.21196718780992843,0.6,4.0,4.0,5.830225327965397,5.516190151519741,4.875333561778736,0.4,0.8,0.6,0.2,1.0,0.4,0.6,0.2,0.4,0.8,0.23966018910285986,0.4,0.6,0.4,0.2,0.4,0.4,0.6,0.017438792212443106,0.0,0.4,0.6,0.6,0.4,0.2,0.8,0.4,0.6,0.4,0.4,0.014205978084195926,4.0,0.00036978460323507475,0.6,0.4,0.6,0.6,0.2,0.4,0.4,0.2,0.2,0.4,0.8,0.8,0.8,0.4,1.0,0.4,0.5394531399423579,0.8,0.4,0.2,0.6162672178132816,0.4,0.6,0.4,0.6,0.2,0.0,0.4,0.4,0.4,0.2,0.6,0.8,0.2,0.6,1.0,0.2,0.2,0.6,0.6,0.6,0.6,0.4,0.6,0.6,0.0,0.6,0.00013467147258549268,1.0,0.2,0.4,0.0,0.2,0.2,0.2,0.8,0.6,6.039008357681446e-06,0.6,0.4,0.07540573961591455,0.43559359968579814,0.4,0.8,0.6,0.2,0.8,0.4,0.0,0.4,0.8,0.2,0.8,0.8,0.4,0.8,0.4,0.9809342740395351,0.975519093736788,1.0,4.8413540712301675,0.6067193320468133,8.131986913104516,11.0,14.0,-5.4,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
VAR_002393,9.517021514354546e-05,8.182148871045789e-18,1.8456819031974717e-07,0.0985391677923115,1.107572811913074e-12,2.3002663493359668e-05,0.0274432216375955,0.0032137418243175,0.0353025251713161,0.014864061896494196,0.0005259397771883,19.0,0.8,0.0082232191947953,0.4,0.5133834560321826,0.6,0.6359327476472038,0.6,0.2,0.8,0.22342759321844552,0.8,1.0,0.2,0.8,0.6,0.0,0.4,0.4,0.6,0.012140234937718377,1.0,0.8,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,5.587341522332714,5.712119159333661,3.962866796272103,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0007647393837058,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.02307666868345006,4.0,0.0009727804689928,0.8,0.6,0.2,0.4,0.8,0.867866038734675,0.549980285740707,0.4,0.4,0.6,0.8,0.4,0.6,0.8,1.0,0.8,0.6,0.2,0.4,0.8,0.6,0.4,0.8,0.6,0.6,0.2,0.8,0.4,0.4,0.4,0.4,0.8,0.8,0.6,0.6,0.6,0.4,0.6,0.8,0.6,0.4,1.0,0.8,0.6,0.2,0.6,1.0,0.024547416578688752,0.4,0.6,0.4,0.6,0.2,0.6,0.4,0.8,0.0,0.0016192717881144,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9875338886161776,1.0,1.0,7.97767397226897,0.6884009899900293,8.327378626686677,6.0,3.0,-0.2999999999999998,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
VAR_004411,0.0007179215761266,4.110635357623537e-12,8.083489095469135e-05,0.0188720793804821,1.1773560287613754e-10,0.0596505139030094,8.093713549600767e-07,0.000287337571055,1.3678912646342183e-09,0.000959578357319601,0.0304807666362369,16.0,0.4,0.0108525863471054,0.4,0.6396426471709602,0.2,0.8,0.2,0.8,0.2,0.5811436040397864,0.4,1.0,0.31028848940685744,1.0,0.2,0.6,0.4,0.8,0.6382702856601542,0.0066068225066191755,1.0,0.4,0.6,0.6,0.4,0.6,0.4,0.6,0.6,0.8,0.4,0.6,0.8,0.8,1.0,7.0,0.0,0.4,2.0,2.0,5.617379797855175,4.351683652339868,4.421391437116907,0.6,0.6,0.2,0.2,0.2,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.8,0.6,0.6,0.8,0.0037911931775983483,0.6,0.2,0.6,0.8,0.6,0.2,0.2,0.4,0.6,0.4,0.6,0.0018477683587139766,2.0,0.0527060489567902,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6,1.0,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0003111387350035,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0019283560822384,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1477692096463518,0.997816065126301,7.807792896441587,0.5763228699071379,6.498445411276088,16.0,11.0,8.3,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
